No,Player,G,Min,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Fgm-a,Pct,3gm-a,Pct,Ftm-a,Pct,eff
38,K. Middleton,4,38.2,15,5.3,5.3,1.3,0,1.8,2.5,5.3,0,5.5-14.3,0.386,1.0-3.0,0.333,3.0-3.3,0.923,16
39,K. Irving,4,34.3,25.3,2.3,3,1,1,2.5,2.5,1.8,0.5,9.8-23.3,0.419,1.8-8.0,0.219,4.0-4.5,0.889,16
40,L. Williams,4,27.3,18,4,1.8,0.8,0,0.8,2,2.5,1.5,6.3-13.3,0.472,1.8-4.0,0.438,3.8-4.5,0.833,16
41,S. Ibaka,4,30.6,12.8,8,1.8,0.5,2.3,1.3,3,6.8,1.3,5.3-13.3,0.396,1.3-4.5,0.278,1.0-1.5,0.667,15.5
42,L. Aldridge,4,36.1,15,5.8,1.5,0.5,0.8,1,2.5,4.3,1.5,5.5-11.3,0.489,0.0-0.8,-,4.0-5.5,0.727,15.3
43,D. Wade,4,34.1,15.5,4,3.3,0.8,1.8,1.5,1.8,3.3,0.8,6.0-14.5,0.414,1.0-2.3,0.444,2.5-2.8,0.909,15
44,D. Howard,3,25.2,6,10.7,1.3,1,1,1.3,3.3,8,2.7,2.3-5.0,0.467,0.0-0.0,-,1.3-2.3,0.571,15
45,T. Prince,3,30,14,4.7,0.7,0.3,0,1,1.3,3.7,1,6.0-9.7,0.621,1.3-2.3,0.571,0.7-0.7,1,15
46,D. Favors,4,32,11.8,6.3,1.3,0.8,0.5,0.8,2.8,5,1.3,5.0-7.5,0.667,0.0-0.0,-,1.8-4.3,0.412,14.8
47,T. Thompson,4,31.2,6.8,11,0.8,0.3,1.3,1.5,2,4.8,6.3,3.0-5.8,0.522,0.0-0.0,-,0.8-1.8,0.429,14.8
48,G. Hill,4,37.8,16.8,4,2.8,0.5,0,2,3.5,3.5,0.5,6.3-12.8,0.49,2.0-4.3,0.471,2.3-3.3,0.692,14.5
49,M. Smart,4,30.1,8.5,6,4.8,1.3,1,2,2.8,4.3,1.8,3.3-8.0,0.406,1.5-4.0,0.375,0.5-0.8,0.667,14.5
50,E. Gordon,4,32.9,15,4.3,1.5,0.8,1,1.3,2.5,3.5,0.8,5.3-11.5,0.457,2.5-5.8,0.435,2.0-2.5,0.8,14.5
51,K. Lowry,4,37.7,14.3,3.8,4.3,1.5,0.8,2,3.3,3.3,0.5,5.0-12.5,0.4,1.5-6.0,0.25,2.8-3.5,0.786,14.3
52,A. Iguodala,3,32,8,6.3,4.3,0.7,0,0.7,1.3,6,0.3,2.7-6.7,0.4,0.0-2.7,-,2.7-3.0,0.889,14.3
53,V. Oladipo,4,36.8,11,5.8,2.5,1.5,1,1,3.5,5,0.8,4.3-11.0,0.386,1.0-4.8,0.211,1.5-1.5,1,14
54,R. Gobert,2,12.1,7.5,6.5,0.5,0,1,1,0.5,5.5,1,3.0-3.0,1,0.0-0.0,-,1.5-2.0,0.75,14
55,S. Adams,4,29.5,8.3,6.3,1.5,1,1.5,0.8,2.5,3.5,2.8,3.8-6.0,0.625,0.0-0.0,-,0.8-2.3,0.333,14
56,J. Ingles,4,34.4,8.5,4.3,5.3,2,0.5,2,2.8,4,0.3,2.8-6.5,0.423,2.0-5.0,0.4,1.0-1.8,0.571,14
57,Z. Randolph,4,31.6,14.3,8,0.8,0.8,0.3,1.5,1.8,7.3,0.8,6.3-14.8,0.424,0.3-1.3,0.2,1.5-1.5,1,14
58,B. Portis,4,19.8,8,6,1.3,0.5,0.8,0.8,1.3,5.3,0.8,3.5-5.5,0.636,1.0-2.0,0.5,0.0-0.0,-,13.8
59,M. Turner,4,33.3,10.8,6.8,0.8,1.8,1.5,1.5,3.8,5.3,1.5,4.8-11.0,0.432,0.0-1.5,-,1.3-2.0,0.625,13
60,J. Crowder,4,34.9,13,4.8,2,0.8,0,1,3.3,3.8,1,5.3-11.8,0.447,1.5-5.5,0.273,1.0-1.0,1,13
61,J. Nurkic,1,16.7,2,11,4,0,1,3,1,11,0,1.0-3.0,0.333,0.0-1.0,-,0.0-0.0,-,13
62,P. Beverley,4,27.9,10.8,5.8,3,2,0,2.5,4,4.8,1,4.0-10.3,0.39,2.0-5.3,0.381,0.8-1.5,0.5,12
