No,Player,G,Min,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Fgm-a,Pct,3gm-a,Pct,Ftm-a,Pct,eff
1,S. Curry,79,34.2,30.1,5.4,6.7,2.1,0.2,3.3,2,4.6,0.9,10.2-20.2,0.504,5.1-11.2,0.454,4.6-5.1,0.908,30.7
2,K. Durant,72,35.8,28.2,8.2,5,0.9,1.2,3.5,1.9,7.6,0.6,9.7-19.2,0.505,2.6-6.7,0.388,6.2-6.9,0.898,29.8
3,R. Westbrook,80,34.4,23.5,7.9,10.5,2,0.3,4.3,2.5,6,1.8,8.2-18.1,0.454,1.3-4.3,0.296,5.8-7.2,0.812,28.6
4,J. Harden,82,38.1,29,6.1,7.5,1.7,0.6,4.6,2.8,5.4,0.8,8.7-19.7,0.439,2.9-8.0,0.36,8.8-10.2,0.86,27.8
5,L. James,76,35.6,25.3,7.4,6.7,1.4,0.6,3.3,1.9,6,1.5,9.7-18.6,0.52,1.1-3.7,0.309,4.7-6.5,0.731,27.5
6,A. Davis,61,35.5,24.3,10.3,1.9,1.3,2,2,2.4,8.1,2.1,9.2-18.6,0.493,0.6-1.8,0.324,5.3-7.0,0.758,26.6
7,D. Cousins,65,34.6,26.9,11.5,3.3,1.6,1.4,3.8,3.6,9,2.4,9.2-20.5,0.451,1.1-3.2,0.333,7.3-10.2,0.718,26.6
8,C. Paul,74,32.7,19.5,4.2,10,2,0.2,2.6,2.5,3.7,0.5,7.0-15.1,0.462,1.6-4.4,0.371,4.0-4.4,0.896,24.8
9,D. Green,81,34.7,14,9.4,7.4,1.5,1.4,3.2,3,7.8,1.6,5.0-10.1,0.49,1.2-3.2,0.388,2.8-4.1,0.696,24
10,K. Leonard,72,33,21.2,6.9,2.6,1.8,1,1.5,1.8,5.5,1.3,7.7-15.2,0.506,1.8-4.0,0.443,4.1-4.6,0.874,23.9
11,K. Towns,82,32,18.3,10.4,2,0.7,1.7,2.2,3,7.7,2.8,7.6-14.0,0.543,0.4-1.1,0.341,2.7-3.4,0.811,23.8
12,P. Gasol,72,31.8,16.5,11,4.1,0.6,2,2.3,2.1,8.8,2.2,6.5-13.8,0.469,0.3-1.0,0.348,3.2-4.0,0.792,23.7
13,H. Whiteside,73,29.1,14.2,11.8,0.4,0.6,3.7,1.9,2.8,8.6,3.3,5.6-9.3,0.605,0.0-0.0,-,2.9-4.5,0.65,23.6
14,B. Griffin,35,33.4,21.4,8.4,4.9,0.8,0.5,2.4,2.7,6.9,1.5,8.6-17.3,0.498,0.2-0.5,0.333,4.0-5.5,0.727,23.4
15,D. Jordan,77,33.7,12.7,13.8,1.2,0.7,2.3,1.4,2.7,10.3,3.5,4.6-6.6,0.704,0.0-0.0,-,3.5-8.0,0.43,22.7
16,J. Wall,77,36.2,19.9,4.9,10.3,1.9,0.8,4.1,2.1,4.4,0.5,7.4-17.5,0.424,1.5-4.2,0.352,3.5-4.5,0.791,22.5
17,P. Millsap,81,32.6,17.1,9,3.3,1.8,1.7,2.4,2.9,6.6,2.4,6.2-13.2,0.47,0.9-2.9,0.319,3.8-5.0,0.757,22.4
18,P. George,81,34.8,23.1,7,4.1,1.9,0.4,3.3,2.8,6,1,7.5-17.9,0.418,2.6-7.0,0.372,5.6-6.5,0.86,21.8
