"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"27",27,27,"12/17/15","@","LAL","W",107,87,34,88,0.386,12,31,0.387,27,42,0.643,23,54,22,9,8,13,17,12.7111111111111,36,84,0.429,5,24,0.208,10,18,0.556,13,46,22,5,5,14,27,10.3222222222222
"28",28,28,"12/19/15","","LAC","W",107,97,34,76,0.447,8,25,0.32,31,49,0.633,13,55,22,7,7,15,29,12.08,34,86,0.395,11,38,0.289,18,29,0.621,7,38,21,10,6,12,36,14.5125
"29",29,29,"12/21/15","","CHO","W",102,95,33,71,0.465,7,28,0.25,29,41,0.707,9,49,18,3,4,19,33,12.08,29,83,0.349,12,41,0.293,25,31,0.806,9,35,20,8,3,11,27,12.1555555555556
"30",30,30,"12/23/15","@","ORL","L",101,104,41,83,0.494,7,29,0.241,12,17,0.706,9,36,19,5,6,11,18,12.9333333333333,44,84,0.524,7,16,0.438,9,13,0.692,11,42,26,5,3,12,15,13.2666666666667
"31",31,31,"12/25/15","","SAS","W",88,84,32,74,0.432,7,15,0.467,17,26,0.654,8,42,23,8,2,17,17,12.6333333333333,36,88,0.409,5,20,0.25,7,8,0.875,14,47,24,11,4,15,20,14.9333333333333
"32",32,32,"12/26/15","@","NOP","L",108,110,38,84,0.452,15,33,0.455,17,20,0.85,10,35,21,8,3,10,20,12.7777777777778,38,75,0.507,13,24,0.542,21,26,0.808,8,40,25,5,8,15,17,13.9142857142857
"33",33,33,"12/29/15","","ATL","L",115,121,39,72,0.542,11,20,0.55,26,39,0.667,7,46,23,6,4,19,21,13.15,43,99,0.434,14,41,0.341,21,25,0.84,17,45,27,10,7,12,24,12.3
"34",34,34,"12/31/15","","GSW","L",110,114,36,78,0.462,12,30,0.4,26,29,0.897,4,33,21,13,5,15,22,12.9333333333333,43,84,0.512,11,23,0.478,17,27,0.63,12,43,35,8,5,18,20,11.5625
"35",35,35,"1/2/16","@","SAS","L",103,121,37,74,0.5,9,22,0.409,20,33,0.606,8,37,26,7,4,15,20,12.6333333333333,45,86,0.523,13,24,0.542,18,19,0.947,8,39,31,9,2,11,22,14.9333333333333
"36",36,36,"1/4/16","@","UTA","W",93,91,33,68,0.485,11,26,0.423,16,21,0.762,6,34,17,8,2,16,16,12.3555555555556,30,75,0.4,12,29,0.414,19,25,0.76,15,44,17,9,4,15,20,7.91
