"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"1",1,1,"10/26/16","","BRK","W",122,117,48,89,0.539,11,32,0.344,15,18,0.833,12,47,36,13,9,19,20,11.7,43,97,0.443,15,44,0.341,16,20,0.8,15,44,22,8,3,16,19,11.03
"2",2,2,"10/27/16","@","CHI","L",99,105,38,76,0.5,8,23,0.348,15,24,0.625,3,36,22,6,6,11,25,12.3,36,92,0.391,11,25,0.44,22,30,0.733,18,55,25,5,1,12,21,13.6875
"3",3,3,"10/29/16","@","CHO","W",104,98,39,81,0.481,15,31,0.484,11,17,0.647,4,42,25,4,6,13,26,11.7,32,79,0.405,9,32,0.281,25,33,0.758,6,38,22,8,6,8,17,13.1777777777778
"4",4,4,"11/2/16","","CHI","W",107,100,41,87,0.471,14,32,0.438,11,17,0.647,10,39,28,10,4,12,24,11.4666666666667,35,81,0.432,7,20,0.35,23,31,0.742,15,49,21,7,7,19,19,12.16
"5",5,5,"11/3/16","@","CLE","L",122,128,46,96,0.479,11,32,0.344,19,22,0.864,10,39,25,4,6,8,28,11.1125,41,84,0.488,14,34,0.412,32,37,0.865,7,42,24,6,6,8,19,14.2777777777778
"6",6,6,"11/6/16","","DEN","L",107,123,41,90,0.456,8,25,0.32,17,21,0.81,11,39,31,3,4,11,24,8.95454545454546,44,84,0.524,11,23,0.478,24,31,0.774,9,47,21,7,6,17,23,14.6333333333333
"7",7,7,"11/9/16","@","WAS","L",93,118,35,81,0.432,10,31,0.323,13,22,0.591,7,31,21,5,4,11,19,10.54,46,92,0.5,10,21,0.476,16,20,0.8,19,54,29,9,7,11,26,12.0625
"8",8,8,"11/11/16","","NYK","W",115,87,35,90,0.389,11,27,0.407,34,43,0.791,19,53,23,16,3,15,18,11.1777777777778,33,94,0.351,6,23,0.261,15,17,0.882,21,57,19,7,11,25,26,11.72
"9",9,9,"11/12/16","@","IND","W",105,99,35,80,0.438,8,25,0.32,27,33,0.818,15,47,22,7,7,13,21,10.7111111111111,36,86,0.419,6,27,0.222,21,28,0.75,11,40,17,9,9,13,22,11.4375
"10",10,10,"11/14/16","@","NOP","L",105,106,38,95,0.4,12,41,0.293,17,20,0.85,11,44,19,9,0,10,27,11.95,35,79,0.443,6,21,0.286,30,36,0.833,8,46,16,9,4,16,17,11.3555555555556
"11",11,11,"11/16/16","","DAL","W",90,83,33,76,0.434,7,21,0.333,17,23,0.739,13,53,18,6,3,19,17,11.95,34,83,0.41,8,23,0.348,7,10,0.7,5,32,16,9,3,9,19,12.325
"12",12,12,"11/18/16","","GSW","L",88,104,31,83,0.373,11,32,0.344,15,19,0.789,7,43,19,6,3,13,12,9.8,44,90,0.489,9,28,0.321,7,12,0.583,9,50,33,10,7,11,20,15.2666666666667
"13",13,13,"11/19/16","@","DET","W",94,92,33,82,0.402,12,31,0.387,16,17,0.941,9,46,22,3,7,8,13,13.8555555555556,37,86,0.43,7,20,0.35,11,16,0.688,11,50,22,5,4,5,13,11.9111111111111
"14",14,14,"11/21/16","@","MIN","W",99,93,38,84,0.452,12,38,0.316,11,14,0.786,6,39,20,5,4,11,21,13.13,36,86,0.419,4,24,0.167,17,25,0.68,16,51,23,5,4,15,19,17.6
"15",15,15,"11/23/16","@","BRK","W",111,92,45,98,0.459,15,38,0.395,6,8,0.75,12,51,26,13,6,13,22,13.8555555555556,34,86,0.395,10,31,0.323,14,22,0.636,9,45,18,7,7,19,12,10.5
"16",16,16,"11/25/16","","SAS","L",103,109,42,91,0.462,12,34,0.353,7,9,0.778,8,36,32,8,4,10,21,13.8555555555556,38,81,0.469,11,24,0.458,22,25,0.88,13,45,24,4,8,16,12,13.26
"17",17,17,"11/28/16","@","MIA","W",112,104,40,83,0.482,11,27,0.407,21,26,0.808,6,40,26,4,3,9,27,12.2333333333333,38,80,0.475,6,30,0.2,22,32,0.688,7,41,24,6,2,13,25,12.9125
"18",18,18,"11/30/16","","DET","L",114,121,40,91,0.44,15,42,0.357,19,20,0.95,9,33,26,6,3,5,17,13.8555555555556,48,87,0.552,9,20,0.45,16,21,0.762,13,52,28,4,8,11,19,11.5666666666667
"19",19,19,"12/2/16","","SAC","W",97,92,36,88,0.409,11,28,0.393,14,15,0.933,11,45,25,10,9,13,22,13.8555555555556,33,88,0.375,6,26,0.231,20,25,0.8,14,51,22,9,10,14,16,13.0777777777778
"20",20,20,"12/3/16","@","PHI","W",107,106,38,76,0.5,8,26,0.308,23,29,0.793,6,37,22,5,3,10,21,13.13,35,76,0.461,15,33,0.455,21,26,0.808,8,38,20,5,3,15,23,10.6888888888889
"21",21,21,"12/5/16","@","HOU","L",106,107,42,99,0.424,11,32,0.344,11,12,0.917,10,42,27,7,4,11,20,13.3777777777778,34,76,0.447,12,38,0.316,27,31,0.871,7,46,20,8,7,16,14,14.4
"22",22,22,"12/7/16","@","ORL","W",117,87,43,84,0.512,7,26,0.269,24,29,0.828,11,49,29,7,4,10,19,11.8444444444444,30,81,0.37,11,26,0.423,16,24,0.667,8,37,20,7,1,12,26,13.2222222222222
