"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"1",1,1,"10/26/16","","CHO","L",96,107,39,92,0.424,3,16,0.188,15,20,0.75,10,46,23,4,5,8,22,12.8444444444444,40,89,0.449,7,23,0.304,20,24,0.833,11,51,27,5,10,10,22,12.6888888888889
"2",2,2,"10/29/16","","BRK","W",110,108,41,88,0.466,8,22,0.364,20,24,0.833,8,44,25,14,5,14,23,12.5111111111111,37,84,0.44,11,34,0.324,23,28,0.821,11,45,23,12,6,18,22,10.5222222222222
"3",3,3,"10/30/16","@","DET","L",83,98,34,87,0.391,4,17,0.235,11,14,0.786,10,40,22,10,4,12,16,12.6454545454545,39,88,0.443,5,20,0.25,15,20,0.75,16,58,23,8,4,15,14,11.8555555555556
"4",4,4,"11/1/16","@","NOP","W",117,113,44,91,0.484,10,32,0.313,19,21,0.905,11,49,30,9,5,15,25,12.6454545454545,36,82,0.439,9,26,0.346,32,41,0.78,9,42,23,13,5,13,17,11.6
"5",5,5,"11/3/16","","IND","W",125,107,47,82,0.573,12,27,0.444,19,24,0.792,12,41,32,10,6,21,23,13.08,38,81,0.469,10,23,0.435,21,27,0.778,10,32,29,14,4,21,23,12.6666666666667
"6",6,6,"11/5/16","","SAC","W",117,91,41,82,0.5,14,33,0.424,21,25,0.84,17,53,28,12,10,15,22,12.6454545454545,33,84,0.393,10,28,0.357,15,19,0.789,13,36,27,8,3,14,19,10.8727272727273
"7",7,7,"11/6/16","@","DAL","L",75,86,30,82,0.366,6,29,0.207,9,12,0.75,9,51,14,11,2,27,26,13.08,33,88,0.375,9,38,0.237,11,12,0.917,10,46,14,12,2,15,20,11.7444444444444
"8",8,8,"11/10/16","","NOP","L",106,112,40,91,0.44,6,18,0.333,20,25,0.8,11,48,23,4,5,11,20,12.6454545454545,39,89,0.438,9,25,0.36,25,27,0.926,11,47,22,9,7,10,19,11.5111111111111
"9",9,9,"11/12/16","","MEM","W",106,96,36,68,0.529,7,18,0.389,27,36,0.75,5,35,20,9,5,12,20,13.2666666666667,35,78,0.449,6,30,0.2,20,21,0.952,3,32,20,8,4,13,26,10.97
"10",10,10,"11/16/16","@","ATL","L",100,107,39,98,0.398,8,32,0.25,14,18,0.778,15,47,25,9,2,14,25,12.1375,35,72,0.486,10,32,0.313,27,31,0.871,3,39,29,6,8,16,17,9.675
"11",11,11,"11/17/16","@","MIA","L",73,96,28,85,0.329,7,23,0.304,10,13,0.769,12,48,20,4,8,13,20,12.59,39,97,0.402,7,30,0.233,11,21,0.524,17,59,19,5,8,7,18,13.9777777777778
"12",12,12,"11/19/16","","GSW","L",121,124,46,89,0.517,10,20,0.5,19,25,0.76,10,41,27,7,1,13,23,12.59,42,95,0.442,14,38,0.368,26,32,0.813,18,45,30,8,5,12,25,15.2666666666667
