"","Date","Start (ET)","Visitor/Neutral","PTS","Home/Neutral","PTS.1"
"2","Tue, Oct 25, 2016","7:30 pm","New York Knicks","88","Cleveland Cavaliers","117"
"3","Tue, Oct 25, 2016","10:30 pm","San Antonio Spurs","129","Golden State Warriors","100"
"4","Tue, Oct 25, 2016","10:00 pm","Utah Jazz","104","Portland Trail Blazers","113"
"5","Wed, Oct 26, 2016","7:30 pm","Brooklyn Nets","117","Boston Celtics","122"
"6","Wed, Oct 26, 2016","7:00 pm","Dallas Mavericks","121","Indiana Pacers","130"
"7","Wed, Oct 26, 2016","10:30 pm","Houston Rockets","114","Los Angeles Lakers","120"
"8","Wed, Oct 26, 2016","8:00 pm","Minnesota Timberwolves","98","Memphis Grizzlies","102"
"9","Wed, Oct 26, 2016","8:00 pm","Charlotte Hornets","107","Milwaukee Bucks","96"
"10","Wed, Oct 26, 2016","8:00 pm","Denver Nuggets","107","New Orleans Pelicans","102"
"11","Wed, Oct 26, 2016","7:00 pm","Miami Heat","108","Orlando Magic","96"
"12","Wed, Oct 26, 2016","8:00 pm","Oklahoma City Thunder","103","Philadelphia 76ers","97"
"13","Wed, Oct 26, 2016","10:00 pm","Sacramento Kings","113","Phoenix Suns","94"
"14","Wed, Oct 26, 2016","7:30 pm","Detroit Pistons","91","Toronto Raptors","109"
"15","Thu, Oct 27, 2016","7:30 pm","Washington Wizards","99","Atlanta Hawks","114"
"16","Thu, Oct 27, 2016","8:00 pm","Boston Celtics","99","Chicago Bulls","105"
"17","Thu, Oct 27, 2016","10:30 pm","Los Angeles Clippers","114","Portland Trail Blazers","106"
"18","Thu, Oct 27, 2016","10:30 pm","San Antonio Spurs","102","Sacramento Kings","94"
"19","Fri, Oct 28, 2016","7:30 pm","Indiana Pacers","94","Brooklyn Nets","103"
"20","Fri, Oct 28, 2016","8:30 pm","Houston Rockets","106","Dallas Mavericks","98"
"21","Fri, Oct 28, 2016","7:30 pm","Orlando Magic","82","Detroit Pistons","108"
"22","Fri, Oct 28, 2016","8:00 pm","Charlotte Hornets","97","Miami Heat","91"
"23","Fri, Oct 28, 2016","9:30 pm","Golden State Warriors","122","New Orleans Pelicans","114"
"24","Fri, Oct 28, 2016","8:00 pm","Phoenix Suns","110","Oklahoma City Thunder","113"
"25","Fri, Oct 28, 2016","7:00 pm","Cleveland Cavaliers","94","Toronto Raptors","91"
"26","Fri, Oct 28, 2016","9:00 pm","Los Angeles Lakers","89","Utah Jazz","96"
"27","Sat, Oct 29, 2016","8:00 pm","Indiana Pacers","101","Chicago Bulls","118"
"28","Sat, Oct 29, 2016","7:00 pm","Boston Celtics","104","Charlotte Hornets","98"
"29","Sat, Oct 29, 2016","7:30 pm","Orlando Magic","99","Cleveland Cavaliers","105"
"30","Sat, Oct 29, 2016","9:00 pm","Portland Trail Blazers","115","Denver Nuggets","113"
"31","Sat, Oct 29, 2016","8:00 pm","Brooklyn Nets","108","Milwaukee Bucks","110"
"32","Sat, Oct 29, 2016","7:30 pm","Memphis Grizzlies","104","New York Knicks","111"
"33","Sat, Oct 29, 2016","12:30 pm","Atlanta Hawks","104","Philadelphia 76ers","72"
"34","Sat, Oct 29, 2016","10:30 pm","Minnesota Timberwolves","103","Sacramento Kings","106"
"35","Sat, Oct 29, 2016","8:00 pm","New Orleans Pelicans","79","San Antonio Spurs","98"
"36","Sun, Oct 30, 2016","6:00 pm","Milwaukee Bucks","83","Detroit Pistons","98"
"37","Sun, Oct 30, 2016","8:00 pm","Dallas Mavericks","92","Houston Rockets","93"
"38","Sun, Oct 30, 2016","4:30 pm","Utah Jazz","75","Los Angeles Clippers","88"
"39","Sun, Oct 30, 2016","8:00 pm","Washington Wizards","103","Memphis Grizzlies","112"
"40","Sun, Oct 30, 2016","6:00 pm","San Antonio Spurs","106","Miami Heat","99"
"41","Sun, Oct 30, 2016","7:00 pm","Los Angeles Lakers","96","Oklahoma City Thunder","113"
"42","Sun, Oct 30, 2016","6:00 pm","Golden State Warriors","106","Phoenix Suns","100"
"43","Mon, Oct 31, 2016","7:30 pm","Sacramento Kings","95","Atlanta Hawks","106"
"44","Mon, Oct 31, 2016","7:30 pm","Chicago Bulls","118","Brooklyn Nets","88"
"45","Mon, Oct 31, 2016","10:30 pm","Phoenix Suns","98","Los Angeles Clippers","116"
"46","Mon, Oct 31, 2016","7:30 pm","Denver Nuggets","102","Toronto Raptors","105"
"47","Tue, Nov 1, 2016","6:00 pm","Houston Rockets","120","Cleveland Cavaliers","128"
"48","Tue, Nov 1, 2016","7:30 pm","New York Knicks","89","Detroit Pistons","102"
"49","Tue, Nov 1, 2016","7:00 pm","Los Angeles Lakers","108","Indiana Pacers","115"
"50","Tue, Nov 1, 2016","7:30 pm","Sacramento Kings","96","Miami Heat","108"
"51","Tue, Nov 1, 2016","8:00 pm","Memphis Grizzlies","80","Minnesota Timberwolves","116"
"52","Tue, Nov 1, 2016","8:00 pm","Milwaukee Bucks","117","New Orleans Pelicans","113"
"53","Tue, Nov 1, 2016","7:00 pm","Orlando Magic","103","Philadelphia 76ers","101"
"54","Tue, Nov 1, 2016","10:00 pm","Golden State Warriors","127","Portland Trail Blazers","104"
"55","Tue, Nov 1, 2016","8:30 pm","Utah Jazz","106","San Antonio Spurs","91"
"56","Wed, Nov 2, 2016","7:30 pm","Los Angeles Lakers","123","Atlanta Hawks","116"
"57","Wed, Nov 2, 2016","8:00 pm","Chicago Bulls","100","Boston Celtics","107"
"58","Wed, Nov 2, 2016","7:30 pm","Detroit Pistons","101","Brooklyn Nets","109"
"59","Wed, Nov 2, 2016","7:00 pm","Philadelphia 76ers","93","Charlotte Hornets","109"
"60","Wed, Nov 2, 2016","10:30 pm","Oklahoma City Thunder","85","Los Angeles Clippers","83"
"61","Wed, Nov 2, 2016","8:00 pm","New Orleans Pelicans","83","Memphis Grizzlies","89"
"62","Wed, Nov 2, 2016","7:30 pm","Houston Rockets","118","New York Knicks","99"
"63","Wed, Nov 2, 2016","10:00 pm","Portland Trail Blazers","115","Phoenix Suns","118"
"64","Wed, Nov 2, 2016","9:00 pm","Dallas Mavericks","81","Utah Jazz","97"
"65","Wed, Nov 2, 2016","7:00 pm","Toronto Raptors","113","Washington Wizards","103"
"66","Thu, Nov 3, 2016","8:00 pm","Boston Celtics","122","Cleveland Cavaliers","128"
"67","Thu, Nov 3, 2016","10:30 pm","Oklahoma City Thunder","96","Golden State Warriors","122"
"68","Thu, Nov 3, 2016","8:00 pm","Indiana Pacers","107","Milwaukee Bucks","125"
"69","Thu, Nov 3, 2016","8:00 pm","Denver Nuggets","102","Minnesota Timberwolves","99"
"70","Thu, Nov 3, 2016","7:00 pm","Sacramento Kings","94","Orlando Magic","102"
"71","Fri, Nov 4, 2016","7:30 pm","Charlotte Hornets","99","Brooklyn Nets","95"
"72","Fri, Nov 4, 2016","8:00 pm","New York Knicks","117","Chicago Bulls","104"
"73","Fri, Nov 4, 2016","8:30 pm","Portland Trail Blazers","105","Dallas Mavericks","95"
"74","Fri, Nov 4, 2016","10:30 pm","Golden State Warriors","97","Los Angeles Lakers","117"
"75","Fri, Nov 4, 2016","8:00 pm","Los Angeles Clippers","99","Memphis Grizzlies","88"
"76","Fri, Nov 4, 2016","8:00 pm","Phoenix Suns","112","New Orleans Pelicans","111"
"77","Fri, Nov 4, 2016","7:30 pm","Miami Heat","87","Toronto Raptors","96"
