No,Player,G,Min,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Fgm-a,Pct,3gm-a,Pct,Ftm-a,Pct,eff
1,R. Westbrook,81,34.6,31.6,10.7,10.4,1.7,0.4,5.4,2.3,9,1.7,10.2-24.0,0.425,2.5-7.2,0.343,8.8-10.4,0.845,34
2,J. Harden,81,36.4,29.1,8.2,11.2,1.5,0.5,5.7,2.7,7,1.2,8.3-18.9,0.44,3.2-9.3,0.347,9.2-10.9,0.847,32.4
3,A. Davis,75,36.1,28,12,2.1,1.3,2.2,2.4,2.2,9.6,2.4,10.3-20.4,0.505,0.5-1.8,0.299,6.9-8.6,0.802,31.4
4,L. James,74,37.8,26.4,8.7,8.7,1.2,0.6,4.1,1.8,7.4,1.3,9.9-18.2,0.548,1.7-4.6,0.363,4.8-7.2,0.674,31
5,K. Towns,82,37,25.1,12.2,2.7,0.7,1.3,2.6,2.9,8.6,3.6,9.8-18.0,0.542,1.2-3.4,0.366,4.3-5.2,0.832,30.3
6,K. Durant,62,33.4,25.1,8.3,4.9,1.1,1.6,2.2,1.9,7.6,0.6,8.9-16.5,0.537,1.9-5.0,0.375,5.4-6.2,0.875,30.2
7,D. Cousins,72,34.2,27,11.1,4.6,1.4,1.3,3.7,3.9,9,2.1,9.0-19.9,0.452,1.8-5.1,0.36,7.2-9.3,0.772,28.6
8,G. Antetokounmpo,80,35.6,22.9,8.8,5.4,1.7,1.9,2.9,3.1,7,1.8,8.2-15.7,0.522,0.6-2.3,0.272,5.9-7.7,0.77,28.4
9,J. Butler,76,37,23.9,6.2,5.5,1.9,0.4,2.1,1.5,4.5,1.7,7.5-16.5,0.455,1.2-3.3,0.367,7.7-8.9,0.865,25.6
10,H. Whiteside,77,32.6,17,14.2,0.7,0.7,2.1,2,2.9,10.3,3.8,7.1-12.6,0.558,0.0-0.0,-,2.9-4.6,0.628,25.5
11,S. Curry,79,33.4,25.3,4.5,6.6,1.8,0.2,3,2.3,3.7,0.8,8.5-18.3,0.468,4.1-10.0,0.411,4.1-4.6,0.898,25.2
12,K. Leonard,74,33.4,25.5,5.8,3.5,1.8,0.7,2.1,1.6,4.7,1.1,8.6-17.7,0.485,2.0-5.2,0.381,6.3-7.2,0.88,25.2
13,N. Jokic,73,27.9,16.7,9.8,4.9,0.8,0.7,2.3,2.9,6.9,2.9,6.8-11.7,0.576,0.6-1.9,0.324,2.6-3.1,0.825,25.1
14,J. Wall,78,36.4,23.1,4.2,10.6,2,0.6,4.1,1.9,3.5,0.7,8.3-18.4,0.452,1.1-3.5,0.328,5.4-6.8,0.801,25.1
15,R. Gobert,81,33.9,14,12.8,1.2,0.6,2.6,1.8,3,8.9,3.9,5.1-7.7,0.663,0.0-0.0,-,3.8-5.9,0.653,24.8
16,C. Paul,61,31.5,18.1,5,9.2,2,0.1,2.4,2.4,4.3,0.7,6.1-12.9,0.476,2.0-5.0,0.411,3.8-4.3,0.892,24.8
