No,Player,EFF
252,T. Mozgov,7.8
253,E. Moore,7.8
254,G. Temple,7.7
255,D. McDermott,7.7
256,T. Splitter,7.7
257,N. Bjelica,7.7
258,T. Ross,7.7
259,K. Garnett,7.6
260,B. Jennings,7.6
261,A. Nicholson,7.6
262,N. Stauskas,7.5
263,B. Marjanovic,7.5
264,D. Dedmon,7.5
265,A. Rivers,7.5
266,W. Johnson,7.5
267,J. Richardson,7.4
268,C. Andersen,7.4
269,Q. Acy,7.4
270,K. O'Quinn,7.4
271,M. Scott,7.3
272,L. Babbitt,7.3
273,D. Cunningham,7.2
274,J. Withey,7.2
275,M. Belinelli,7.2
276,M. Dunleavy,7.2
277,A. Gee,7.1
278,J. Ennis,7.1
279,T. Robinson,7
280,T. Lyles,7
281,S. Mejri,7
282,A. Goodwin,6.9
283,R. Holmes,6.9
284,I. Shumpert,6.9
285,L. Thomas,6.9
286,J. Jerebko,6.9
287,K. Anderson,6.9
288,V. Carter,6.9
289,T. Frazier,6.8
290,J. McGee,6.8
291,E. Brand,6.8
292,J. Hickson,6.7
293,B. Dejean-Jones,6.6
294,S. Hill,6.6
295,W. Ellington,6.6
296,M. Speights,6.5
297,T. Zeller,6.5
298,S. Curry,6.5
299,W. Reed,6.5
300,K. Martin,6.4
301,C. Felicio,6.4
302,R. Price,6.4
303,B. McLemore,6.4
304,C. Brewer,6.4
305,T. Lawson,6.4
306,J. Smith,6.4
307,A. Brooks,6.3
308,T. Black,6.2
309,M. Huertas,6.2
310,D. Motiejunas,6.2
311,J. Martin,6.2
312,A. Tolliver,6.2
313,M. Hezonja,6.1
314,B. Weber,6.1
315,L. Barbosa,6.1
316,G. Green,6.1
317,C. Watson,6.1
318,G. Vasquez,6
319,J. Grant,6
320,R. Jefferson,5.9
321,R. Neto,5.8
322,M. Brown,5.8
323,X. Munford,5.7
324,T. Snell,5.7
325,J. Simmons,5.7
326,C. McCullough,5.7
327,S. Vujacic,5.7
328,S. Blake,5.6
329,A. Williams,5.6
330,J. Johnson,5.5
331,R. Hollins,5.5
332,M. Williams,5.5
333,B. Udrih,5.5
334,J. McRoberts,5.5
335,P. Pierce,5.5
336,N. Vonleh,5.4
337,T. Hardaway Jr.,5.4
338,T. Jones,5.4
339,J. Anderson,5.4
340,N. Powell,5.4
341,T. Ennis,5.3
342,A. Bargnani,5.3
343,J. Terry,5.3
344,A. Miller,5.2
345,J. Sampson,5.2
346,R. Kelly,5.2
347,A. Anderson,5.2
348,P. Hairston,5.1
349,J. Ingles,5.1
350,B. Rush,5
351,C. Hayes,5
352,R. Foye,5
353,C. Budinger,5
354,R. Christmas,5
355,K. Perkins,4.9
356,M. World Peace,4.9
357,N. Young,4.9
358,P. Pressey,4.9
359,K. Seraphin,4.9
360,P. Prigioni,4.7
361,R. Bullock,4.7
362,J. Thompson,4.7
363,J. Holiday,4.7
364,R. Sacre,4.7
365,C. Payne,4.6
366,J. Meeks,4.5
367,M. Muscala,4.5
368,C. Villanueva,4.5
369,T. Daniels,4.4
370,L. Mbah A Moute,4.3
371,T. Prince,4.3
372,C. Wood,4.3
373,N. Collison,4.2
374,M. Harrell,4.2
375,A. Brown,4.1
376,J. O'Bryant,4
377,C. Jefferson,4
378,A. Stepheson,4
379,D. Dukan,4
380,C. Butler,3.9
381,J. McRae,3.9
382,A. Varejao,3.8
383,A. Toupane,3.8
384,C. Johnson,3.8
385,K. Oubre,3.8
386,D. Wright,3.8
387,D. Gooden,3.7
388,K. Hinrich,3.7
389,S. Dinwiddie,3.7
390,G. Robinson,3.7
391,R. Butler,3.7
392,I. Clark,3.7
393,J. Jenkins,3.7
