No,Player,G,Min,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Fgm-a,Pct,3gm-a,Pct,Ftm-a,Pct,eff
1,L. James,21,39.1,26.3,9.5,7.6,2.3,1.3,3.6,2.6,7.5,2,10.4-19.9,0.525,1.5-4.5,0.34,3.9-5.9,0.661,32
2,P. George,7,39.3,27.3,7.6,4.3,2,0.7,3.3,3.4,6.3,1.3,8.0-17.6,0.455,2.6-6.1,0.419,8.7-9.1,0.953,28.6
3,R. Westbrook,18,37.4,26,6.9,11,2.6,0.1,4.3,2.4,4.6,2.3,8.8-21.8,0.405,1.9-5.8,0.324,6.4-7.8,0.829,27.9
4,C. Paul,4,31.3,23.8,4,7.3,2.3,0,1,3,3,1,9.3-19.0,0.487,1.5-5.0,0.3,3.8-3.8,1,26.5
5,K. Leonard,10,33.9,22.5,6.3,2.8,2.6,1.4,1.6,2.1,4.9,1.4,8.3-16.6,0.5,1.7-3.9,0.436,4.2-5.1,0.824,24.8
6,D. Green,23,38.2,15.5,9.9,6,1.6,1.8,2.4,3.5,8.3,1.7,5.2-12.0,0.433,1.7-4.5,0.365,3.4-4.7,0.738,24.3
7,D. Jordan,6,33.1,11.7,16.3,1.8,1.2,2.7,1.2,2.8,11.3,5,4.0-6.3,0.632,0.0-0.0,-,3.7-9.8,0.373,24
8,J. Harden,5,38.6,26.6,5.2,7.6,2.4,0.2,5.2,2.6,3.8,1.4,8.2-20.0,0.41,2.6-8.4,0.31,7.6-9.0,0.844,23.6
9,K. Durant,18,40.3,28.4,7.1,3.3,1,1,3.6,2.1,6.4,0.7,9.7-22.6,0.43,1.7-6.1,0.282,7.2-8.1,0.89,23.4
10,L. Aldridge,10,33.7,21.9,8.3,1,0.4,1.4,1.1,1.8,6.1,2.2,8.8-16.9,0.521,0.2-0.2,1,4.1-4.6,0.891,23.3
11,S. Curry,18,34.1,25,5.5,5.2,1.4,0.3,4.2,2.2,4.7,0.8,8.2-18.7,0.436,4.4-10.9,0.408,4.2-4.6,0.916,22.3
12,K. Irving,21,36.8,25.2,3,4.7,1.7,0.6,2.3,2.2,2.2,0.7,9.6-20.1,0.475,2.4-5.5,0.44,3.7-4.2,0.875,21.8
13,H. Whiteside,10,29.1,12,11,0.3,0.8,2.8,1.3,3.4,8.4,2.6,4.7-6.9,0.681,0.0-0.0,-,2.6-4.4,0.591,21.6
14,D. Lillard,11,39.8,26.5,4.3,6.3,1.3,0.3,3,2.1,3.2,1.1,8.1-22.0,0.368,3.8-9.7,0.393,6.5-7.1,0.91,21
15,J. Valanciunas,12,26.7,13.8,10.8,0.9,0.8,1.2,1.5,2.7,6.8,4,5.7-10.0,0.567,0.0-0.0,-,2.4-3.3,0.744,20.8
16,T. Harris,4,39,14.5,9.5,3,0.8,0.8,1.5,2.8,8,1.5,5.3-11.5,0.457,1.0-3.0,0.333,3.0-3.3,0.923,20.5
17,P. Millsap,10,36.5,16.7,9.4,2.7,1.2,2.3,2.6,2.9,6.6,2.8,5.9-13.7,0.431,0.8-3.3,0.242,4.1-5.5,0.745,20.5
18,D. Wade,14,33.8,21.4,5.6,4.3,0.8,0.9,2.7,1.6,4.8,0.9,8.5-18.1,0.469,0.9-1.6,0.522,3.6-4.6,0.781,19.7
19,D. Howard,5,36,13.2,14,1.6,0.8,1.4,2.4,4.2,8.8,5.2,5.2-9.6,0.542,0.0-0.2,-,2.8-7.6,0.368,19.4
20,R. Jackson,4,36.8,14.3,3.3,9.3,1.5,0.5,2.5,2.5,2.8,0.5,6.3-13.8,0.455,0.8-4.5,0.167,1.0-1.0,1,18.8
21,K. Thompson,24,35.4,24.3,3.7,2.3,1.1,0.4,2,2.2,3,0.6,8.4-18.8,0.445,4.1-9.7,0.422,3.4-4.0,0.854,18.6
22,A. Horford,10,32.7,13.4,6.5,3,1.2,2.4,1.7,2.5,5.2,1.3,5.4-11.6,0.466,1.1-2.9,0.379,1.5-1.6,0.938,18.5
23,M. Plumlee,11,27.8,7,11.8,4.8,0.6,1,2.3,3.8,8.5,3.4,2.5-6.4,0.4,0.0-0.0,-,1.9-3.0,0.636,18.1
24,D. Nowitzki,5,34,20.4,5,1.6,0.4,0.6,1.4,1.8,4.4,0.6,8.2-16.6,0.494,0.8-2.2,0.364,3.2-3.4,0.941,18
25,I. Thomas,6,36.6,24.2,3,5,0.7,0.8,2.3,3,2.7,0.3,7.8-19.8,0.395,2.2-7.7,0.283,6.3-7.8,0.809,17.8
26,A. Aminu,11,33.8,14.6,8.6,1.8,0.7,0.9,1.9,2.8,6.5,2.1,5.1-11.6,0.438,2.5-6.4,0.4,1.9-2.6,0.724,17.5
27,K. Love,20,30.6,14.7,8.8,2.1,0.5,0.4,1.4,1.7,7.1,1.7,4.6-12.0,0.385,2.3-5.6,0.414,3.2-3.8,0.84,17.1
28,K. Lowry,20,38.3,19.1,4.7,6,1.6,0.2,3.2,3.7,3.8,0.9,6.6-16.5,0.397,2.1-6.9,0.304,3.9-5.2,0.75,17.1
29,B. Griffin,4,31.7,15,8.8,4,0.8,0.5,2.3,2.3,7,1.8,5.0-13.3,0.377,0.3-0.5,0.5,4.8-6.3,0.76,17
30,S. Adams,18,30.7,10.1,9.5,0.7,0.5,0.8,0.9,3.1,6.1,3.4,3.8-6.2,0.613,0.0-0.1,-,2.6-4.1,0.63,16.8
31,K. Caldwell-Pope,4,40.3,15.3,4.3,2.8,1.8,0.3,0.5,1.8,3.8,0.5,5.5-12.5,0.44,3.0-6.8,0.444,1.3-1.8,0.714,16.3
32,K. Walker,7,37.1,22.7,3.3,4,1.3,0.6,1.7,1.4,2.9,0.4,8.0-21.9,0.366,2.0-6.0,0.333,4.7-5.0,0.943,16
33,Marcus Morris,4,36,17.8,3.3,2.5,0.5,0,1.3,4.3,2.8,0.5,5.5-11.8,0.468,1.8-4.5,0.389,5.0-5.8,0.87,15.8
34,S. Ibaka,18,33.5,12,6.3,0.6,0.8,1.3,0.5,2.8,5,1.3,4.7-9.1,0.521,1.7-3.8,0.449,0.8-1.1,0.75,15.8
35,C. McCollum,11,40.2,20.5,3.6,3.3,0.9,0.5,1.8,2.7,3,0.6,7.6-17.9,0.426,1.8-5.3,0.345,3.4-4.2,0.804,15.8
36,L. Deng,14,35.3,13.3,5.9,1.6,0.9,0.6,1.6,1.7,4.6,1.4,4.6-9.9,0.471,1.7-4.1,0.421,2.3-2.7,0.842,15.1
37,R. Felton,5,34.5,15,4.6,4.6,1.2,0,2.4,2.8,4.2,0.4,6.4-13.8,0.464,0.8-2.8,0.286,1.4-2.2,0.636,14.8
38,G. Dragic,14,33.7,16.5,4.9,3.9,0.4,0.2,2.2,3.3,4.1,0.8,6.5-14.7,0.442,1.1-3.3,0.348,2.4-3.1,0.767,14.8
39,A. Drummond,4,32.9,16.8,9,0,0.3,1.5,1,2,6,3,7.0-13.5,0.519,0.0-0.3,-,2.8-8.5,0.324,14.3
40,A. Jefferson,7,24.1,13.3,6.1,1.1,0.6,0.4,0.9,1.7,4.1,2,6.0-11.9,0.506,0.0-0.0,-,1.3-1.9,0.692,14.3
41,G. Hill,7,33.6,13.6,2.7,2.1,0.9,0.1,1.1,2.3,1.9,0.9,4.6-8.1,0.561,1.9-3.9,0.481,2.6-3.1,0.818,14.1
42,A. Johnson,6,22.3,8.5,7.2,0.7,0.2,1.3,1.7,2.2,5.3,1.8,3.7-5.5,0.667,0.0-0.3,-,1.2-1.5,0.778,14
43,A. Bradley,1,33.2,18,3,1,1,1,1,2,1,2,7.0-16.0,0.438,1.0-7.0,0.143,3.0-3.0,1,14
44,K. Humphries,4,14,9.3,6,1,0.5,1.3,0.5,2.3,4,2,3.3-7.0,0.464,1.3-2.5,0.5,1.5-1.5,1,13.8
45,J. Jerebko,6,27,9.2,6.8,1.7,0.3,0.7,0.8,2.5,5.7,1.2,3.7-7.7,0.478,1.2-3.7,0.318,0.7-0.8,0.8,13.7
46,B. Biyombo,20,25.3,6.2,9.4,0.4,0.4,1.4,1.1,2.4,6.7,2.7,2.0-3.5,0.58,0.0-0.0,-,2.2-3.6,0.597,13.7
47,D. DeRozan,20,37.3,20.9,4.2,2.7,1.1,0.2,2.3,2.6,3.5,0.7,7.9-19.9,0.394,0.2-1.4,0.148,5.0-6.2,0.813,13.6
48,T. Thompson,21,29.6,6.7,9,0.7,0.4,0.9,0.8,2.6,4.9,4.1,2.3-4.4,0.527,0.0-0.0,-,2.0-3.5,0.575,13.2
49,E. Turner,6,35.7,13.2,5.7,4.5,1.3,1,2.8,3.2,4.3,1.3,5.2-14.2,0.365,0.5-2.3,0.214,2.3-3.0,0.778,13.2
50,M. Turner,7,28.2,10.3,6.4,0.4,0.3,3.3,1.7,3.4,4.1,2.3,4.7-10.1,0.465,0.0-0.3,-,0.9-1.3,0.667,13.1
51,M. Ellis,7,32.2,11.6,3.9,4.3,2.1,0,2.4,2.4,3.3,0.6,4.7-10.9,0.434,1.0-3.0,0.333,1.1-1.4,0.8,13
52,A. Iguodala,24,32,8.9,4.4,3.8,1.2,0.4,1,1.5,2.9,1.5,3.3-6.8,0.476,1.0-2.7,0.385,1.3-2.4,0.561,13
53,K. Bazemore,10,32.5,11.9,6.6,1.9,1.4,0.6,1,1.4,5.8,0.8,4.4-12.1,0.364,1.6-6.2,0.258,1.5-2.2,0.682,13
54,K. Korver,10,31.6,10.3,4.8,1.1,1,0.4,0.8,2.3,4.5,0.3,3.5-7.5,0.467,2.4-5.4,0.444,0.9-0.9,1,12.8
55,M. Smart,6,32.1,12,4.5,3,1.7,0.8,2.5,2.8,3.2,1.3,3.7-10.0,0.367,1.8-5.3,0.344,2.8-3.5,0.81,12.5
56,J. Teague,10,27.9,14.5,1.9,6.2,0.6,0.2,2.5,3,1.6,0.3,4.6-12.2,0.377,0.9-3.7,0.243,4.4-5.2,0.846,12.5
57,E. Kanter,18,18,9.4,6.2,0.3,0.3,0.6,0.9,2.2,3.6,2.6,3.6-6.6,0.551,0.1-0.8,0.143,2.1-2.5,0.844,12.5
58,Z. Pachulia,5,22.4,6.6,5.4,3.2,0.6,0.2,0.4,2.6,3.4,2,1.8-4.8,0.375,0.0-0.0,-,3.0-3.4,0.882,12.2
59,J. Johnson,14,35.2,12.1,4.6,2.5,0.6,0.2,1.3,1.9,4.1,0.5,4.9-11.3,0.43,0.9-3.2,0.289,1.5-1.7,0.875,12.1
60,Z. Randolph,4,29.9,13,8.8,1.8,0.3,0,1.8,2.5,5,3.8,5.8-15.5,0.371,0.0-0.0,-,1.5-1.8,0.857,12
61,V. Carter,4,22.7,11.3,3.8,1.3,0.5,0.3,0.8,2.3,2.5,1.3,3.8-8.3,0.455,1.8-2.5,0.7,2.0-2.0,1,11.8
62,J. Smith,21,34.8,11.5,3.2,1.4,1.2,0.2,0.5,2.6,2.9,0.3,3.9-9.0,0.436,3.1-7.2,0.43,0.6-1.0,0.619,11.7
