No,Player,G,Min,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Fgm-a,Pct,3gm-a,Pct,Ftm-a,Pct,eff
63,T. Parker,10,26.4,10.4,2.2,5.3,0.6,0.2,1.8,1.5,2.1,0.1,4.4-9.8,0.449,0.4-1.6,0.25,1.2-1.4,0.857,11.3
64,D. Green,10,26.7,8.6,3.1,0.7,2.1,0.8,0.6,2,3.1,0,3.0-6.4,0.469,2.4-4.7,0.511,0.2-0.3,0.667,11.2
65,A. Bogut,22,16.6,4.6,5.6,1.4,0.6,1.6,0.9,3.3,3.5,2.1,2.2-3.5,0.623,0.0-0.1,-,0.2-0.6,0.357,11.2
66,M. Barnes,4,34.8,10.8,7,2.8,1.3,0.3,3.3,3.3,5.8,1.3,4.0-11.5,0.348,0.8-4.5,0.167,2.0-2.5,0.8,10.8
67,J. Crawford,6,33.2,17.3,2.2,2.2,1.7,0,1.5,1.5,1.8,0.3,6.5-17.2,0.379,0.7-3.5,0.19,3.7-4.2,0.88,10.7
68,C. Zeller,7,19.6,8.4,5.3,0.3,0.1,0.4,1,2.9,4,1.3,3.0-5.4,0.553,0.0-0.0,-,2.4-3.0,0.81,10.6
69,E. Davis,11,18.6,5.5,6.8,1.3,0.2,0.6,0.9,3,4.5,2.4,1.9-3.6,0.525,0.0-0.2,-,1.7-3.0,0.576,10.5
70,S. Livingston,24,21.4,8.2,3.2,3.3,0.5,0.2,1.2,2,2.6,0.5,3.4-7.0,0.488,0.0-0.0,-,1.3-1.5,0.865,10.4
71,A. Roberson,18,26.2,5.6,5.6,0.8,1.3,1.1,0.6,2.5,4.2,1.4,2.2-4.8,0.465,0.7-2.1,0.324,0.4-1.1,0.4,10.4
72,A. Crabbe,11,27.5,9.5,2.9,1.4,0.6,0.1,0.5,2.1,2.5,0.5,3.5-6.6,0.521,1.4-3.2,0.429,1.3-1.7,0.737,10.4
73,L. Stephenson,4,23.7,13,1.5,1.8,0.3,0,0.8,2.5,1.3,0.3,5.8-11.0,0.523,0.5-1.3,0.4,1.0-1.3,0.8,10.3
74,J. Anderson,5,19,9.4,4,1.4,0.8,0.6,1,2.4,2.2,1.8,3.4-7.4,0.459,0.8-2.4,0.333,1.8-2.8,0.643,10.2
75,S. Hill,7,28.3,7.7,4,1.1,0.3,0,0.4,2.9,3.3,0.7,2.0-4.4,0.452,1.6-2.7,0.579,2.1-2.3,0.938,10.1
76,J. Lin,7,27,12.4,2.3,2.6,0.7,0,1.6,3,1.9,0.4,3.7-9.0,0.413,0.4-2.0,0.214,4.6-5.6,0.821,10.1
77,M. Harkless,11,24.7,11,5.1,0.6,0.9,0.3,1,3.5,3.1,2,4.3-10.0,0.427,1.4-4.0,0.341,1.1-2.3,0.48,10
78,C. Andersen,4,19.7,3.8,7.8,0.8,0.5,0.8,1.3,1,4.5,3.3,1.3-3.0,0.417,0.0-0.0,-,1.3-2.0,0.625,9.8
79,J. Crowder,6,32.9,9.5,6.5,2.2,1.5,0.5,1.2,2.8,5.7,0.8,3.3-12.0,0.278,1.7-6.8,0.244,1.2-1.8,0.636,9.7
80,N. Batum,5,28.8,11.4,3.6,2,0.4,0,1.6,1.2,3.2,0.4,3.4-9.0,0.378,1.2-4.4,0.273,3.4-4.0,0.85,9.6
81,I. Mahinmi,7,24.6,8.1,5.1,1.1,0.7,0.9,2,3.6,3.4,1.7,3.0-6.0,0.5,0.0-0.0,-,2.1-3.6,0.6,9.6
82,D. Schroder,10,19.1,11.7,1.9,3.5,0.4,0.1,2.1,2.4,1.3,0.6,4.7-10.4,0.452,1.2-3.5,0.343,1.1-1.3,0.846,9.6
83,W. Matthews,5,34.7,13,3.6,1.2,1.2,0,0.8,2.8,2.8,0.8,4.0-12.0,0.333,2.0-7.0,0.286,3.0-3.8,0.789,9.4
84,H. Barnes,24,30.9,9,4.7,1.3,0.7,0.2,0.8,1.9,3.5,1.1,3.4-8.9,0.385,1.1-3.2,0.342,1.1-1.4,0.765,9.3
85,C. Aldrich,6,12.8,3.8,5,0.5,1,0.5,0.3,1.8,3.7,1.3,1.7-2.5,0.667,0.0-0.0,-,0.5-1.0,0.5,9.2
86,T. Sefolosha,10,20.3,5.9,4.1,1.7,1,0.6,1,1.7,3.3,0.8,2.2-4.6,0.478,0.7-1.9,0.368,0.8-1.5,0.533,9.2
87,M. Ginobili,10,19.2,6.7,2.7,2.5,0.8,0.3,0.7,2.5,2.1,0.6,2.0-4.7,0.426,0.9-2.2,0.409,1.8-2.3,0.783,9.1
88,J. Green,6,26.4,10.2,3.2,0.7,1,0.3,0.5,2,2.7,0.5,3.5-7.7,0.457,0.7-1.7,0.4,2.5-4.2,0.6,9
89,T. Duncan,10,21.8,5.9,4.8,1.4,0.2,1.3,1.1,1.8,3.8,1,2.2-5.1,0.431,0.0-0.0,-,1.5-2.1,0.714,9
90,M. Beasley,5,16,10.4,4.2,0.6,0.2,0,1.4,1.6,3.4,0.8,4.4-9.2,0.478,0.4-1.2,0.333,1.2-1.4,0.857,9
91,J. Green,4,18.1,6.8,3.8,0.8,0.8,1.3,1,3,2.5,1.3,3.0-5.5,0.545,0.0-0.3,-,0.8-1.5,0.5,9
92,C. Lee,7,36.7,8.6,2.9,1.3,0.9,0.4,0.7,2.7,2.1,0.7,3.0-7.3,0.412,0.6-1.3,0.444,2.0-2.1,0.933,8.9
93,D. Carroll,20,29.8,8.9,4.1,0.9,0.9,0.4,0.9,3.1,2.9,1.2,3.1-8.0,0.39,1.3-4.0,0.329,1.4-1.8,0.75,8.8
94,S. Johnson,4,20.4,8,4,0,0.3,0,0.8,2.5,4,0,3.0-5.8,0.522,1.5-2.5,0.6,0.5-0.5,1,8.8
95,F. Kaminsky,7,27.2,7.1,4.3,1.1,0.9,0.7,0.3,2.1,3.9,0.4,2.0-6.6,0.304,0.7-2.4,0.294,2.4-3.0,0.81,8.7
96,A. Rivers,6,24,10.3,2.7,2.7,0.5,0,1.2,2,2,0.7,4.3-10.2,0.426,0.7-2.8,0.235,1.0-1.5,0.667,8.7
97,C. Joseph,20,22.6,8.5,2.1,2.4,0.9,0.1,1.1,2.4,1.5,0.6,3.5-7.4,0.466,0.4-1.2,0.333,1.2-1.6,0.75,8.5
98,R. Bullock,2,11,6,1,1.5,0.5,0,0,1,1,0,2.5-3.0,0.833,1.0-1.5,0.667,0.0-0.0,-,8.5
99,D. Lee,2,16.3,6,3,0.5,0,0,0,3.5,2.5,0.5,3.0-4.0,0.75,0.0-0.0,-,0.0-0.0,-,8.5
100,J. Winslow,13,25.4,6.9,4.8,0.6,0.6,0.3,0.9,2.7,3.5,1.3,2.5-5.7,0.432,0.4-1.4,0.278,1.6-2.3,0.7,8.5
101,M. Scott,10,16.1,6.5,3.2,0.5,0.3,0.3,0.8,2,2.7,0.5,2.5-4.0,0.625,0.8-1.6,0.5,0.7-0.8,0.875,8.4
102,P. Patterson,20,29.1,7.7,3.9,1.2,0.4,0.5,0.9,1.6,2.4,1.5,2.8-6.8,0.404,1.1-3.5,0.3,1.1-1.3,0.846,8.4
103,C. Frye,17,14,6.7,2.4,0.3,0.4,0.5,0.3,2.2,2.1,0.3,2.4-4.1,0.594,1.5-2.7,0.565,0.4-0.4,0.857,8.3
104,T. Zeller,3,12.7,6,5,0.7,0,0.7,0.7,0.3,3.7,1.3,2.3-5.0,0.467,0.0-0.0,-,1.3-2.0,0.667,8.3
105,J. Redick,6,27.7,13.5,2,0.8,0.2,0.2,0.8,1.8,1.8,0.2,5.7-13.2,0.43,1.8-5.2,0.355,0.3-0.5,0.667,8.2
106,D. Harris,5,24.1,7.8,2.8,1.6,0.6,0,0.6,3.2,2.6,0.2,3.0-6.0,0.5,0.8-2.6,0.308,1.0-2.0,0.5,8.2
107,D. Waiters,18,27.3,8.4,2.6,2.3,0.6,0.2,1.1,2.3,2.3,0.3,3.1-7.3,0.417,1.2-3.1,0.375,1.1-1.7,0.667,8.1
108,M. Williams,7,32.5,5.1,6.7,0.9,0.9,0.4,0.3,1.6,5.7,1,2.0-7.3,0.275,0.9-2.4,0.353,0.3-0.6,0.5,8.1
109,J. Richardson,14,27.6,6.6,3.6,1.6,0.4,0.9,0.9,2.6,2.9,0.7,2.4-6.4,0.371,1.2-3.3,0.37,0.7-1.0,0.714,8
110,D. West,10,17.6,5.8,3.7,1.3,0.6,0.7,0.7,1.9,2.4,1.3,2.5-5.5,0.455,0.3-0.6,0.5,0.5-0.9,0.556,8
111,D. Motiejunas,5,19.7,8.8,5.2,1,0.8,0.4,2.4,2.2,3.2,2,3.2-7.4,0.432,0.8-1.8,0.444,1.6-3.4,0.471,7.8
112,S. Mejri,4,19,4.8,3.3,0.3,0.8,1.3,0,2.8,2,1.3,1.8-2.5,0.7,0.0-0.0,-,1.3-3.0,0.417,7.8
113,D. Powell,4,16,6,4.3,1,0.3,0,0.3,1.3,2,2.3,2.3-4.8,0.474,0.0-0.3,-,1.5-2.8,0.545,7.5
114,R. Jefferson,21,18.2,5.4,3.5,0.7,0.5,0,0.6,1.6,2.8,0.8,2.1-4.0,0.524,0.5-1.3,0.393,0.7-1.0,0.75,7.4
115,T. Rozier,5,19.7,4.8,3.4,1.2,0.2,0.6,0.4,1,2.8,0.6,1.8-4.6,0.391,0.8-2.2,0.364,0.4-0.4,1,7
116,G. Henderson,11,21.2,6.9,3.2,1.5,0.5,0.3,0.5,1.9,2.6,0.5,2.7-7.5,0.366,0.6-1.7,0.368,0.8-1.1,0.75,7
117,P. Beverley,5,25.7,5.8,4.4,2.2,0.4,0.4,0.8,3.4,3.6,0.8,2.0-7.4,0.27,0.6-2.8,0.214,1.2-1.2,1,7
118,B. Diaw,9,17.6,5.2,2.1,2.3,0.2,0.4,0.7,1,1.9,0.2,2.3-5.1,0.457,0.2-0.7,0.333,0.3-0.4,0.75,6.8
119,P. Mills,10,16.7,6.6,1.4,2,0.7,0,0.8,0.3,1.4,0,2.3-5.3,0.434,1.3-3.6,0.361,0.7-1.1,0.636,6.5
120,J. McRoberts,10,13.4,3.8,2.6,0.9,0.5,0.5,0.4,2,1.9,0.7,1.6-3.4,0.471,0.0-0.7,-,0.6-0.6,1,6.1
121,R. Stuckey,7,17.8,6.3,2.1,2,0.6,0.1,0.9,1.3,2,0.1,2.4-6.1,0.395,0.7-1.4,0.5,0.7-1.3,0.556,6
122,L. Barbosa,23,11.1,5.6,1.2,0.7,0.5,0,0.5,1,0.7,0.5,2.2-3.8,0.58,0.5-1.2,0.393,0.7-0.9,0.762,5.7
123,J. Farmar,4,28.3,6.8,1.5,4,0.8,0.3,2.5,1,1.5,0,2.5-7.8,0.323,1.0-3.0,0.333,0.8-0.8,1,5.5
124,J. McRae,2,2.1,4.5,1,0,0,0,0,0,1,0,2.0-2.0,1,0.5-0.5,1,0.0-0.0,-,5.5
125,J. Terry,5,24.8,7,2.2,1.2,0.4,0.2,0.6,2.6,2,0.2,2.6-7.6,0.342,1.2-3.8,0.316,0.6-0.6,1,5.4
126,S. Hawes,5,10.7,3.6,3,0.6,0.2,0.4,0.8,1,2.4,0.6,1.2-2.6,0.462,0.2-0.8,0.25,1.0-1.2,0.833,5.4
127,X. Munford,4,22.3,4.8,2.3,2.5,1.5,0.8,1.3,2,2,0.3,2.3-7.0,0.321,0.3-1.8,0.143,0.0-0.5,-,5.3
128,T. Johnson,5,12.1,4.2,1.4,1.6,0.2,0,0.4,1.6,1,0.4,1.0-2.2,0.455,0.6-1.2,0.5,1.6-2.2,0.727,5.2
129,W. Johnson,6,12.8,2.7,3,0.3,0.2,0.7,0.3,1,2.2,0.8,0.8-2.3,0.357,0.5-1.5,0.333,0.5-0.5,1,5
130,B. Marjanovic,7,6,3.4,2,0.4,0,0.3,0.4,1.4,1.4,0.6,1.1-1.7,0.667,0.0-0.0,-,1.1-1.3,0.889,5
131,J. Sullinger,6,13.6,5.2,4.5,1.2,0.2,0,1,2.7,2.8,1.7,2.2-7.0,0.31,0.3-0.7,0.5,0.5-0.7,0.75,5
132,U. Haslem,9,9.4,2.3,3.4,0.4,0,0.1,0.8,1.4,2.2,1.2,0.9-1.7,0.533,0.0-0.0,-,0.6-0.8,0.714,4.6
133,C. Capela,5,8.7,1.6,4,0.4,0.6,0.4,0.6,1,2.4,1.6,0.6-1.8,0.333,0.0-0.0,-,0.4-1.0,0.4,4.6
134,T. Allen,4,23.4,7.5,2.8,0.8,1.3,0.5,1.5,2.8,1.3,1.5,2.5-8.3,0.303,0.3-1.8,0.143,2.3-3.3,0.692,4.5
135,T. Ross,20,16.8,6.3,1.6,0.6,0.7,0.3,0.8,1.4,1.4,0.2,2.3-6.0,0.383,1.1-3.3,0.323,0.7-1.0,0.65,4.5
136,I. Shumpert,21,17.5,3.3,2.2,0.8,0.5,0.1,0.6,1.7,1.8,0.5,1.2-2.9,0.417,0.6-1.6,0.382,0.3-0.5,0.636,4.5
137,J. Martin,2,23.1,4.5,3.5,0.5,1.5,0,1.5,2,1.5,2,1.5-4.0,0.375,0.0-0.0,-,1.5-3.0,0.5,4.5
138,A. Miller,4,8.8,2.3,1.3,1.8,0,0,0,1,0.8,0.5,0.8-1.8,0.429,0.3-0.8,0.333,0.5-0.5,1,4.3
139,F. Ezeli,23,8.8,4,2.7,0.3,0,0.3,0.6,1.5,1.7,1,1.6-3.0,0.536,0.0-0.0,-,0.8-1.9,0.432,4.3
140,J. Barea,4,25.1,6.3,1.5,5,0,0,2.8,2,1.5,0,2.8-8.5,0.324,0.3-2.0,0.125,0.5-0.5,1,4.3
141,I. Clark,16,9.6,4.1,1.1,1,0.5,0,0.6,1.1,0.9,0.1,1.6-3.3,0.491,0.4-1.1,0.333,0.5-0.6,0.8,4.3
142,M. Speights,24,8.4,5.6,2,0.5,0.1,0.3,0.8,1.8,1.3,0.6,1.9-4.9,0.39,0.8-1.8,0.419,1.0-1.3,0.774,4.3
143,M. Dellavedova,20,12.1,3.9,0.8,2.8,0.1,0.1,0.7,1.6,0.6,0.2,1.3-3.7,0.351,0.4-1.6,0.258,0.9-1.2,0.75,4.2
144,T. Ariza,5,36.2,6.6,4.2,0.8,2.6,0.2,2.4,3.2,2.8,1.4,2.6-10.2,0.255,0.8-5.6,0.143,0.6-0.8,0.75,4.2
145,K. Anderson,10,12.9,2.3,2.4,0.7,0.6,0.3,0.4,1.1,2.2,0.2,0.8-2.5,0.32,0.1-0.3,0.333,0.6-0.7,0.857,4.1
146,J. Lamb,3,3.9,3.7,1.3,0.3,0,0,0,0,1,0.3,1.7-3.0,0.556,0.3-0.3,1,0.0-0.0,-,4
147,L. Mbah A Moute,5,15.7,1.8,2,0.2,0.6,0,0.4,1.8,1.6,0.4,0.8-1.2,0.667,0.0-0.0,-,0.2-0.2,1,3.8
148,A. Stoudemire,9,9.1,3.3,1.4,0,0.6,0.3,1,1.6,1.1,0.3,1.2-2.1,0.579,0.0-0.0,-,0.9-0.9,1,3.8
149,D. Wright,5,3.8,3.2,1.2,0.4,0,0,0,0.4,1.2,0,1.0-2.0,0.5,0.4-1.0,0.4,0.8-0.8,1,3.8
150,N. Powell,18,11.4,3.8,1.5,0.3,0.7,0.1,0.3,1,1.3,0.2,1.5-3.9,0.386,0.4-1.4,0.269,0.4-0.4,0.875,3.7
151,J. Simmons,3,8.5,3.7,1.3,0.7,0.7,0,0.3,1.3,0.3,1,1.3-3.3,0.4,0.7-1.0,0.667,0.3-0.7,0.5,3.7
152,M. Muscala,9,7.4,2.7,1.9,0.3,0,0.1,0.3,0.7,1.1,0.8,1.1-2.2,0.5,0.2-0.7,0.333,0.2-0.2,1,3.6
153,J. Mickey,2,5.1,2,1,1,0,0.5,0,0,0.5,0.5,1.0-2.0,0.5,0.0-0.0,-,0.0-0.0,-,3.5
154,J. Johnson,10,9.8,3,1.5,0.6,0.3,0,0.7,1.3,1.2,0.3,1.2-2.4,0.5,0.4-0.8,0.5,0.2-0.3,0.667,3.4
155,N. Collison,9,8.7,1,1.2,0.6,0.9,0,0.1,1.9,0.9,0.3,0.4-0.7,0.667,0.0-0.0,-,0.1-0.2,0.5,3.2
156,C. Miles,7,13.1,3.4,3.4,0.6,0.1,0.1,0.4,1,2.9,0.6,1.4-5.4,0.263,0.3-2.9,0.1,0.3-0.4,0.667,3.1
157,S. Dinwiddie,1,1.7,2,0,1,0,0,0,0,0,0,1.0-1.0,1,0.0-0.0,-,0.0-0.0,-,3
158,B. Rush,14,7.9,1.6,1.6,0.2,0.1,0.1,0.1,0.6,1.6,0,0.6-1.4,0.45,0.3-0.9,0.333,0.1-0.1,0.5,2.8
159,A. Baynes,4,11,2.5,2,0.5,0,0,0.8,1,1.3,0.8,1.0-2.3,0.444,0.0-0.0,-,0.5-0.8,0.667,2.8
160,K. McDaniels,4,8.4,2.3,1.8,0.3,0,0.8,0,0.8,1.5,0.3,1.0-3.3,0.308,0.3-0.8,0.333,0.0-0.0,-,2.8
