"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"1",1,"2016-04-17","","POR","W",115,95,42,78,0.538,6,17,0.353,25,39,0.641,11,48,23,7,7,9,23,33,83,0.398,10,30,0.333,19,26,0.731,10,40,23,6,2,12,28
"2",2,"2016-04-20","","POR","W",102,81,40,87,0.46,8,21,0.381,14,25,0.56,12,52,20,7,9,9,18,31,91,0.341,5,26,0.192,14,16,0.875,15,52,20,6,3,10,20
"3",3,"2016-04-23","@","POR","L",88,96,36,88,0.409,3,18,0.167,13,23,0.565,11,44,15,11,4,10,17,37,87,0.425,6,25,0.24,16,23,0.696,16,56,15,5,3,16,24
"4",4,"2016-04-25","@","POR","L",84,98,30,84,0.357,7,25,0.28,17,28,0.607,10,42,16,10,4,9,17,36,88,0.409,13,31,0.419,13,15,0.867,16,58,27,5,7,15,25
"5",5,"2016-04-27","","POR","L",98,108,36,86,0.419,6,20,0.3,20,30,0.667,8,45,20,8,3,10,24,37,83,0.446,12,34,0.353,22,34,0.647,9,53,22,8,4,9,23
"6",6,"2016-04-29","@","POR","L",103,106,39,87,0.448,4,16,0.25,21,31,0.677,16,46,15,8,1,8,24,38,86,0.442,14,32,0.438,16,24,0.667,18,46,21,4,2,12,23
