"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"1",1,"2016-04-17","","DET","W",106,101,39,88,0.443,12,35,0.343,16,21,0.762,12,40,25,7,4,4,18,37,73,0.507,15,29,0.517,12,16,0.75,5,37,24,4,2,10,21
"2",2,"2016-04-20","","DET","W",107,90,40,80,0.5,20,38,0.526,7,14,0.5,6,37,23,7,1,12,24,34,78,0.436,4,17,0.235,18,32,0.563,11,40,19,7,4,12,18
"3",3,"2016-04-22","@","DET","W",101,91,39,80,0.488,12,29,0.414,11,15,0.733,12,46,24,3,4,10,17,36,74,0.486,6,23,0.261,13,19,0.684,5,32,22,7,3,7,19
"4",4,"2016-04-24","@","DET","W",100,98,36,86,0.419,13,36,0.361,15,17,0.882,10,41,16,6,1,5,22,37,76,0.487,10,24,0.417,14,21,0.667,7,42,22,3,4,9,18
"5",5,"2016-05-02","","ATL","W",104,93,37,83,0.446,15,31,0.484,15,21,0.714,10,44,27,9,7,8,20,33,87,0.379,11,34,0.324,16,21,0.762,15,48,21,6,7,12,22
"6",6,"2016-05-04","","ATL","W",123,98,41,87,0.471,25,45,0.556,16,23,0.696,12,43,27,8,1,8,22,30,71,0.423,11,27,0.407,27,30,0.9,8,40,18,3,3,16,23
"7",7,"2016-05-06","@","ATL","W",121,108,42,85,0.494,21,39,0.538,16,27,0.593,18,55,26,9,1,18,21,41,84,0.488,16,34,0.471,10,12,0.833,6,28,29,8,7,14,21
"8",8,"2016-05-08","@","ATL","W",100,99,38,88,0.432,16,37,0.432,8,13,0.615,14,41,23,6,7,15,14,40,83,0.482,9,31,0.29,10,14,0.714,9,42,22,10,7,12,16
"9",9,"2016-05-17","","TOR","W",115,84,41,74,0.554,7,20,0.35,26,33,0.788,10,45,22,9,4,16,20,32,76,0.421,5,24,0.208,15,20,0.75,4,23,19,8,1,14,25
"10",10,"2016-05-19","","TOR","W",108,89,38,76,0.5,7,21,0.333,25,37,0.676,7,46,24,5,2,9,16,33,82,0.402,9,33,0.273,14,18,0.778,7,38,17,6,4,12,31
"11",11,"2016-05-21","@","TOR","L",84,99,28,79,0.354,14,41,0.341,14,16,0.875,8,40,15,7,5,9,10,38,83,0.458,12,31,0.387,11,13,0.846,12,54,15,1,4,9,17
"12",12,"2016-05-23","@","TOR","L",99,105,39,83,0.47,13,41,0.317,8,9,0.889,10,38,23,5,2,10,17,42,78,0.538,7,22,0.318,14,19,0.737,9,35,17,8,3,8,16
"13",13,"2016-05-25","","TOR","W",116,78,44,77,0.571,10,21,0.476,18,24,0.75,10,48,23,11,6,16,26,27,69,0.391,3,17,0.176,21,35,0.6,5,27,19,9,3,18,25
"14",14,"2016-05-27","@","TOR","W",113,87,40,74,0.541,17,31,0.548,16,21,0.762,4,38,22,6,6,10,18,33,79,0.418,8,25,0.32,13,17,0.765,7,33,10,6,2,12,19
"15",15,"2016-06-02","@","GSW","L",89,104,32,84,0.381,7,21,0.333,18,20,0.9,15,47,17,7,4,15,17,43,87,0.494,9,27,0.333,9,10,0.9,9,41,29,9,4,9,16
"16",16,"2016-06-05","@","GSW","L",77,110,28,79,0.354,5,23,0.217,16,24,0.667,9,34,15,15,3,17,19,44,81,0.543,15,33,0.455,7,10,0.7,12,46,26,7,9,20,20
"17",17,"2016-06-08","","GSW","W",120,90,48,91,0.527,12,25,0.48,12,17,0.706,17,52,23,8,3,13,25,32,76,0.421,9,33,0.273,17,26,0.654,8,32,21,5,4,18,23
"18",18,"2016-06-10","","GSW","L",97,108,38,81,0.469,6,25,0.24,15,26,0.577,16,40,15,5,6,11,24,33,81,0.407,17,36,0.472,25,31,0.806,14,43,23,7,6,8,22
"19",19,"2016-06-13","@","GSW","W",112,97,44,83,0.53,10,24,0.417,14,23,0.609,8,41,15,11,9,16,22,32,88,0.364,14,43,0.326,19,26,0.731,13,43,18,6,9,17,21
"20",20,"2016-06-16","","GSW","W",115,101,40,77,0.519,10,27,0.37,25,32,0.781,8,45,24,12,7,10,25,33,82,0.402,15,39,0.385,20,29,0.69,9,35,19,5,3,14,25
"21",21,"2016-06-19","@","GSW","W",93,89,33,82,0.402,6,25,0.24,21,25,0.84,9,48,17,7,6,11,15,32,83,0.386,15,41,0.366,10,13,0.769,7,39,22,7,5,10,23
