"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"1",1,"2016-04-16","@","ATL","L",101,102,37,102,0.363,11,35,0.314,16,19,0.842,15,50,27,6,6,10,32,35,86,0.407,5,26,0.192,27,35,0.771,13,53,23,4,9,11,20
"2",2,"2016-04-19","@","ATL","L",72,89,28,88,0.318,5,28,0.179,11,12,0.917,10,43,16,5,10,14,15,32,82,0.39,11,29,0.379,14,16,0.875,3,49,20,7,15,15,16
"3",3,"2016-04-22","","ATL","W",111,103,38,82,0.463,11,32,0.344,24,33,0.727,7,44,23,10,6,15,20,38,86,0.442,9,36,0.25,18,21,0.857,7,41,19,10,7,13,24
"4",4,"2016-04-24","","ATL","W",104,95,40,94,0.426,11,33,0.333,13,19,0.684,12,52,25,7,7,14,19,37,99,0.374,12,42,0.286,9,13,0.692,12,49,18,8,6,14,20
"5",5,"2016-04-26","@","ATL","L",83,110,29,77,0.377,7,29,0.241,18,25,0.72,10,44,19,5,6,20,17,42,96,0.438,14,35,0.4,12,16,0.75,13,51,30,13,3,12,17
"6",6,"2016-04-28","","ATL","L",92,104,34,94,0.362,7,32,0.219,17,18,0.944,10,43,16,5,4,12,29,38,74,0.514,8,24,0.333,20,27,0.741,3,42,26,6,12,18,23
