"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2015-10-27","","DET","L",94,106,37,82,0.451,8,27,0.296,12,15,0.8,7,40,22,9,4,15,25,12.4888888888889,1552.47635835371,37,96,0.385,12,29,0.414,20,26,0.769,23,59,23,5,3,15,15,11.5333333333333,1481.42599164629
"2",2,"2015-10-29","@","NYK","W",112,101,42,83,0.506,10,24,0.417,18,26,0.692,7,39,26,11,4,15,18,11.42,1567.09556113977,38,93,0.409,6,29,0.207,19,21,0.905,16,48,21,10,4,21,24,11.84,1316.69834534152
"3",3,"2015-10-30","","CHO","W",97,94,36,83,0.434,8,23,0.348,17,22,0.773,8,45,23,9,4,15,17,12.1555555555556,1572.34276046052,36,88,0.409,12,30,0.4,10,13,0.769,13,54,23,7,6,18,20,12.37,1435.57631298784
"4",4,"2015-11-01","@","CHO","W",94,92,37,88,0.42,7,29,0.241,13,14,0.929,9,48,22,9,6,11,16,12.9555555555556,1577.34203612762,32,86,0.372,14,37,0.378,14,15,0.933,9,45,27,7,13,11,14,12.7666666666667,1443.21077498055
"5",5,"2015-11-03","@","MIA","W",98,92,37,90,0.411,7,21,0.333,17,22,0.773,16,51,25,10,1,15,14,12.3666666666667,1586.5047165799,38,86,0.442,5,28,0.179,11,16,0.688,13,49,13,10,9,18,21,13.31,1468.42226026038
"6",6,"2015-11-04","","BRK","W",101,87,37,76,0.487,8,22,0.364,19,24,0.792,6,34,27,15,10,13,17,12.3555555555556,1601.94330702208,36,83,0.434,5,21,0.238,10,13,0.769,14,43,24,9,4,19,19,11.1181818181818,1396.51430831938
"7",7,"2015-11-06","@","NOP","W",121,115,41,77,0.532,9,21,0.429,30,35,0.857,6,41,30,10,6,15,21,11.42,1611.53703772801,42,84,0.5,10,30,0.333,21,24,0.875,6,32,30,9,7,12,24,13.8333333333333,1454.28987994695
"8",8,"2015-11-07","","WAS","W",114,99,43,92,0.467,13,33,0.394,15,15,1,10,39,37,12,4,14,15,11.83,1625.94642434529,38,78,0.487,8,24,0.333,15,17,0.882,8,41,27,11,3,24,18,13.0555555555556,1518.13898832049
"9",9,"2015-11-09","","MIN","L",107,117,44,86,0.512,13,31,0.419,6,7,0.857,4,27,30,13,6,17,19,12.9555555555556,1621.87754982524,46,80,0.575,7,15,0.467,18,22,0.818,8,40,27,10,5,19,18,11.94,1326.56530563523
"10",10,"2015-11-11","","NOP","W",106,98,42,86,0.488,10,26,0.385,12,16,0.75,8,44,26,10,7,12,16,13.6875,1632.6961677814,37,83,0.446,14,29,0.483,10,15,0.667,8,40,21,6,0,19,21,10.1125,1444.56825461067
