"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2015-10-28","","DEN","L",85,105,30,87,0.345,8,35,0.229,17,26,0.654,15,44,17,13,8,16,19,10.8444444444444,1607.01053200497,40,79,0.506,13,27,0.481,12,18,0.667,9,49,26,9,10,21,26,11.8777777777778,1453.23774299503
"2",2,"2015-10-30","","GSW","L",92,112,30,82,0.366,5,23,0.217,27,36,0.75,12,49,19,3,9,16,20,12.5333333333333,1586.36656674681,43,93,0.462,9,26,0.346,17,25,0.68,11,47,26,9,4,8,24,14.4111111111111,1781.09373726123
"3",3,"2015-11-01","@","MIA","L",89,109,32,79,0.405,10,36,0.278,15,18,0.833,3,34,20,9,3,17,23,11.3875,1573.16817807648,42,86,0.488,9,22,0.409,16,21,0.762,11,48,24,11,5,12,16,14.1666666666667,1477.58494071266
"4",4,"2015-11-02","","OKC","W",110,105,41,89,0.461,9,29,0.31,19,29,0.655,7,34,22,18,7,12,22,13.4,1580.41073979305,40,84,0.476,10,23,0.435,15,22,0.682,14,55,17,7,9,24,24,14.4222222222222,1591.87054650747
"5",5,"2015-11-04","","ORL","W",119,114,42,88,0.477,11,34,0.324,24,34,0.706,16,48,28,8,1,19,20,13.4,1589.22327696873,46,91,0.505,7,20,0.35,15,19,0.789,9,38,28,12,6,14,25,12.7333333333333,1338.08756176891
"6",6,"2015-11-06","@","SAC","W",116,110,40,82,0.488,15,36,0.417,21,27,0.778,14,49,23,8,4,21,26,10.6125,1599.24238513547,40,93,0.43,9,28,0.321,21,29,0.724,14,43,26,14,3,15,19,13.6,1394.06021020044
"7",7,"2015-11-07","@","LAC","W",109,105,38,86,0.442,7,30,0.233,26,29,0.897,11,47,16,7,3,14,27,12.55,1604.39553947328,42,88,0.477,4,22,0.182,17,25,0.68,11,41,29,8,5,12,23,11.9,1679.43630339807
"8",8,"2015-11-11","","BRK","L",98,106,42,98,0.429,8,34,0.235,6,12,0.5,13,45,25,9,9,7,14,13.0375,1599.60454421298,42,98,0.429,8,17,0.471,14,17,0.824,20,60,25,5,11,11,13,11.65,1385.99017013423
"9",9,"2015-11-13","@","DEN","L",98,107,33,77,0.429,9,29,0.31,23,31,0.742,8,40,19,10,8,20,25,11.4,1593.20993814213,37,81,0.457,9,20,0.45,24,32,0.75,12,46,25,10,4,18,23,11.5,1417.64267867318
"10",10,"2015-11-14","","DAL","L",98,110,32,84,0.381,9,34,0.265,25,32,0.781,12,43,22,9,5,12,23,10.3888888888889,1582.59797541897,43,89,0.483,8,28,0.286,16,21,0.762,8,45,24,6,7,11,21,8.31,1562.59762676976
"11",11,"2015-11-16","","BOS","L",95,111,36,85,0.424,11,32,0.344,12,23,0.522,14,46,23,10,6,22,20,11.4,1569.35603023117,44,93,0.473,11,36,0.306,12,17,0.706,16,49,27,16,3,19,22,11.4545454545455,1568.42349604884
"12",12,"2015-11-18","","POR","W",108,103,32,92,0.348,14,44,0.318,30,35,0.857,13,51,22,11,6,17,20,12.1777777777778,1576.64758403363,35,88,0.398,9,30,0.3,24,29,0.828,10,48,18,11,7,19,27,12.2555555555556,1503.21148675279
"13",13,"2015-11-20","@","MEM","L",84,96,28,74,0.378,6,29,0.207,22,37,0.595,9,49,15,11,9,23,23,11.2,1565.21639389631,36,85,0.424,8,24,0.333,16,19,0.842,8,47,26,16,4,11,30,11.9555555555556,1541.72070982439
"14",14,"2015-11-21","","NYK","L",102,107,35,81,0.432,12,28,0.429,20,28,0.714,16,42,18,6,4,12,26,10.3888888888889,1562.1748151938,34,80,0.425,12,25,0.48,27,34,0.794,19,45,20,4,8,11,22,12.9666666666667,1290.41718397073
"15",15,"2015-11-25","","MEM","L",93,102,30,71,0.423,10,34,0.294,23,27,0.852,6,37,19,14,7,19,22,12.925,1552.87774160078,39,80,0.488,3,16,0.188,21,23,0.913,9,41,21,8,3,17,23,11.9555555555556,1550.21198109015
