"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2015-10-27","","CLE","W",97,95,37,87,0.425,7,19,0.368,16,23,0.696,7,47,13,6,10,13,22,12.55,1569.533975,38,94,0.404,9,29,0.31,10,17,0.588,11,50,26,5,7,10,21,12.8,1642.4440618092
"2",2,"2015-10-28","@","BRK","W",115,100,42,78,0.538,14,28,0.5,17,20,0.85,5,39,20,9,3,19,24,12.55,1560.67430807621,39,93,0.419,0,9,0,22,28,0.786,16,45,19,11,5,13,18,11.07,1457.23522425602
"3",3,"2015-10-30","@","DET","L",94,98,34,84,0.405,7,22,0.318,19,26,0.731,8,50,18,8,8,19,24,12.55,1555.42710875546,39,104,0.375,6,28,0.214,14,28,0.5,20,61,18,9,2,14,19,10.93,1494.5048177615
"4",4,"2015-11-01","","ORL","W",92,87,33,87,0.379,7,28,0.25,19,22,0.864,11,47,23,7,8,13,16,12.55,1550.42783308836,35,90,0.389,7,23,0.304,10,17,0.588,12,43,21,7,11,16,19,12.7888888888889,1339.94063641994
"5",5,"2015-11-03","@","CHO","L",105,130,44,90,0.489,14,30,0.467,3,8,0.375,4,33,26,5,0,12,19,12.55,1571.79333887415,47,91,0.516,14,23,0.609,22,23,0.957,12,52,26,6,4,9,11,12.37,1421.84526919477
"6",6,"2015-11-05","","OKC","W",104,98,40,90,0.444,7,18,0.389,17,21,0.81,11,47,20,3,7,6,17,12.55,1585.29377736631,38,84,0.452,5,13,0.385,17,20,0.85,9,44,21,2,8,9,18,15.7625,1579.99613655952
"7",7,"2015-11-07","","MIN","L",93,102,33,93,0.355,11,32,0.344,16,23,0.696,10,50,20,7,6,18,26,12.55,1566.69423161579,39,96,0.406,7,16,0.438,17,27,0.63,14,58,26,8,7,15,23,12.5111111111111,1322.49643111518
"8",8,"2015-11-09","@","PHI","W",111,88,41,96,0.427,10,25,0.4,19,23,0.826,13,58,28,6,10,14,19,12.14,1566.69423161579,35,100,0.35,5,25,0.2,13,23,0.565,15,52,19,6,9,13,13,8.36,1225.33089666989
"9",9,"2015-11-13","","CHO","W",102,97,37,84,0.44,4,16,0.25,24,31,0.774,10,57,27,4,6,11,16,13.2444444444444,1580.60912845215,36,95,0.379,15,33,0.455,10,12,0.833,9,45,21,9,4,6,21,12.2888888888889,1448.47140653276
"10",10,"2015-11-16","","IND","W",96,95,35,86,0.407,6,15,0.4,20,32,0.625,10,48,26,9,9,8,20,12.32,1592.33485237361,35,87,0.402,9,21,0.429,16,24,0.667,11,50,19,4,5,12,21,9.91,1507.0834339798
"11",11,"2015-11-18","@","PHO","W",103,97,41,83,0.494,9,19,0.474,12,14,0.857,11,47,24,7,2,19,17,11.64,1597.18272930114,37,91,0.407,8,27,0.296,15,21,0.714,14,43,16,12,4,12,14,12.5222222222222,1502.93789386587
"12",12,"2015-11-20","@","GSW","L",94,106,35,88,0.398,7,22,0.318,17,23,0.739,15,43,22,11,2,12,19,12.2333333333333,1621.9086155192,39,79,0.494,10,29,0.345,18,24,0.75,11,49,20,7,6,15,15,16.25,1975.47608161379
"13",13,"2015-11-24","@","POR","W",93,88,33,86,0.384,7,18,0.389,20,23,0.87,6,44,19,6,3,10,18,12.8222222222222,1630.8210967457,31,88,0.352,6,22,0.273,20,27,0.741,16,55,18,5,9,14,21,12.2555555555556,1522.81259921391
"14",14,"2015-11-27","@","IND","L",92,104,32,92,0.348,11,26,0.423,17,20,0.85,9,47,21,7,7,15,23,12.8333333333333,1636.53626907135,37,87,0.425,8,28,0.286,22,29,0.759,8,51,18,8,4,13,18,11.3555555555556,1593.31469880356
"15",15,"2015-11-30","","SAS","W",92,89,37,86,0.43,6,16,0.375,12,20,0.6,12,51,25,4,6,10,21,13.2444444444444,1645.54177678385,37,90,0.411,2,14,0.143,13,18,0.722,12,47,20,5,4,9,17,14.9333333333333,1872.39421997842
"16",16,"2015-12-02","","DEN","W",99,90,36,89,0.404,6,17,0.353,21,27,0.778,15,62,22,3,10,14,17,13.3,1625.41329504574,36,93,0.387,5,15,0.333,13,22,0.591,13,49,26,8,8,7,22,10.9,1297.52919596637
"17",17,"2015-12-05","","CHO","L",96,102,37,89,0.416,9,25,0.36,13,19,0.684,12,52,29,5,5,14,19,12.32,1635.36061234937,37,89,0.416,10,34,0.294,18,25,0.72,13,50,23,10,3,9,18,12.1555555555556,1439.26251454675
"18",18,"2015-12-07","","PHO","L",101,103,41,90,0.456,6,21,0.286,13,18,0.722,16,48,28,11,8,20,19,12.32,1654.19502101176,41,92,0.446,7,17,0.412,14,17,0.824,10,40,18,12,4,18,17,12.7875,1451.15453161437
"19",19,"2015-12-09","@","BOS","L",100,105,39,91,0.429,6,21,0.286,16,23,0.696,15,50,22,7,5,16,18,12.8222222222222,1671.37948889298,38,92,0.413,5,23,0.217,24,28,0.857,13,45,22,10,4,12,22,12.7555555555556,1638.4766308604
"20",20,"2015-12-10","","LAC","W",83,80,31,87,0.356,7,23,0.304,14,16,0.875,13,54,20,8,6,11,12,12.17,1671.37948889298,30,88,0.341,10,22,0.455,10,12,0.833,15,52,22,4,4,13,15,14.2888888888889,1732.30149378887
"21",21,"2015-12-12","","NOP","W",98,94,33,78,0.423,8,20,0.4,24,29,0.828,7,48,17,6,6,13,10,12.17,1688.90039109324,40,89,0.449,6,16,0.375,8,11,0.727,5,41,26,9,6,10,22,12.4,1331.08267276098
"22",22,"2015-12-14","","PHI","W",115,96,43,85,0.506,8,22,0.364,21,26,0.808,10,53,28,7,8,13,15,12.8222222222222,1688.90039109324,38,92,0.413,11,31,0.355,9,13,0.692,9,36,19,6,8,11,17,9.06,949.98819670711
"23",23,"2015-12-16","","MEM","W",98,85,38,86,0.442,9,24,0.375,13,19,0.684,9,45,22,5,6,14,17,12.17,1683.67939196919,32,76,0.421,5,19,0.263,16,28,0.571,5,41,27,6,5,13,20,13.475,1487.07937106981
"24",24,"2015-12-18","","DET","L",144,147,50,120,0.417,5,22,0.227,39,44,0.886,20,62,21,5,9,16,35,12.17,1694.71183377214,56,124,0.452,8,29,0.276,27,46,0.587,19,64,28,7,4,11,35,10.9111111111111,1514.94342438953
