"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2016-10-25","","UTA","W",113,104,39,75,0.52,13,19,0.684,22,22,1,5,34,22,5,3,12,18,13.5333333333333,1540.92902915187,40,82,0.488,8,24,0.333,16,16,1,6,31,19,9,5,11,19,12.0375,1653.62944006608
"2",2,"2016-10-27","","LAC","L",106,114,39,85,0.459,4,18,0.222,24,32,0.75,9,48,18,4,4,14,34,14.275,1528.53074525011,37,91,0.407,8,29,0.276,32,46,0.696,15,48,12,10,4,7,25,14.2777777777778,2012.52454303135
"3",3,"2016-10-29","@","DEN","W",115,113,45,98,0.459,10,32,0.313,15,21,0.714,5,45,23,10,8,15,30,13.4,1535.19384229518,38,100,0.38,6,23,0.261,31,39,0.795,16,61,19,10,5,17,21,14.5444444444444,1166.29418767081
"4",4,"2016-11-01","","GSW","L",104,127,37,86,0.43,14,39,0.359,16,21,0.762,6,32,23,12,4,18,17,12.59,1515.96583192341,50,89,0.562,10,26,0.385,17,23,0.739,7,45,36,14,4,16,19,15.4666666666667,2649.34494045132
"5",5,"2016-11-02","@","PHO","L",115,118,42,101,0.416,12,33,0.364,19,21,0.905,10,53,25,8,8,14,23,13.4,1514.88171534484,44,103,0.427,5,16,0.313,25,30,0.833,14,59,15,10,5,12,20,12.35,1003.10872279595
"6",6,"2016-11-04","@","DAL","W",105,95,36,80,0.45,12,31,0.387,21,26,0.808,7,42,21,9,3,14,20,15.1571428571429,1526.49612387117,34,83,0.41,10,28,0.357,17,20,0.85,7,44,18,5,3,12,21,12.3,1442.25884534024
"7",7,"2016-11-06","@","MEM","W",100,94,32,71,0.451,14,33,0.424,22,27,0.815,5,37,19,7,5,15,25,13.4,1535.00945324315,31,81,0.383,6,26,0.231,26,32,0.813,12,44,15,9,5,13,20,12.4555555555556,1466.91985231482
"8",8,"2016-11-08","","PHO","W",124,121,45,81,0.556,14,31,0.452,20,28,0.714,7,35,22,5,4,20,27,12.5888888888889,1542.10013758134,43,86,0.5,7,21,0.333,28,33,0.848,15,41,18,10,2,16,27,10.92,993.91741131264
"9",9,"2016-11-09","@","LAC","L",80,111,31,88,0.352,6,30,0.2,12,14,0.857,11,47,16,4,3,14,23,11.29,1513.79008922266,38,87,0.437,11,32,0.344,24,33,0.727,14,55,24,9,7,7,15,14.2777777777778,2115.89537364523
"10",10,"2016-11-11","","SAC","W",122,120,45,86,0.523,13,33,0.394,19,27,0.704,7,36,29,8,4,11,24,12.1444444444444,1520.04094375762,43,88,0.489,6,21,0.286,28,35,0.8,13,48,18,7,3,15,21,12.41,1181.14040505198
"11",11,"2016-11-13","","DEN","W",112,105,39,99,0.394,8,29,0.276,26,32,0.813,14,44,21,8,8,7,23,13.5,1530.96187812907,36,91,0.396,11,29,0.379,22,29,0.759,16,59,11,4,6,18,25,13.6777777777778,1101.53568290091
"12",12,"2016-11-15","","CHI","L",88,113,34,95,0.358,9,34,0.265,11,18,0.611,15,49,17,8,4,11,18,13.5,1517.5471543416,41,98,0.418,7,20,0.35,24,28,0.857,19,67,16,7,4,10,19,11.6555555555556,1843.47143719867
"13",13,"2016-11-17","@","HOU","L",109,126,41,90,0.456,10,28,0.357,17,21,0.81,10,41,24,6,4,12,19,12.2777777777778,1501.65725902391,46,95,0.484,14,32,0.438,20,25,0.8,17,54,26,6,6,13,17,14.4,1621.42351789396
"14",14,"2016-11-18","@","NOP","L",101,113,33,88,0.375,12,34,0.353,23,26,0.885,13,48,19,2,1,14,21,13.65,1496.88412852821,45,82,0.549,9,24,0.375,14,20,0.7,1,37,31,9,12,8,21,12.4666666666667,1185.22069091593
