"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2015-10-28","","PHI","W",112,95,39,85,0.459,8,24,0.333,26,27,0.963,10,41,31,10,7,17,23,12.39,1537.43737709668,34,83,0.41,7,22,0.318,20,23,0.87,14,46,12,11,6,22,22,10.9142857142857,1315.63307290332
"2",2,"2015-10-30","","TOR","L",103,113,32,85,0.376,7,26,0.269,32,41,0.78,7,38,23,14,3,17,28,12.84,1527.64911064424,36,82,0.439,11,26,0.423,30,35,0.857,9,53,23,11,3,21,33,13.2444444444444,1520.41614270866
"3",3,"2015-11-01","","SAS","L",87,95,35,98,0.357,6,29,0.207,11,14,0.786,16,45,21,10,5,16,23,12.84,1516.16036292218,36,83,0.434,5,19,0.263,18,25,0.72,10,51,22,10,6,18,16,15.4875,1696.7779777765
"4",4,"2015-11-04","@","IND","L",98,100,35,83,0.422,10,27,0.37,18,22,0.818,15,49,20,7,5,19,22,12.03,1511.34091736186,35,91,0.385,8,23,0.348,22,29,0.759,21,53,18,10,1,14,20,11.1222222222222,1481.14671540825
"5",5,"2015-11-06","","WAS","W",118,98,44,97,0.454,12,30,0.4,18,23,0.783,15,53,24,18,5,17,21,11.99,1527.76205886026,36,88,0.409,8,25,0.32,18,23,0.783,10,45,23,10,8,24,27,11.7272727272727,1532.54837493777
"6",6,"2015-11-10","@","MIL","W",99,83,38,86,0.442,7,30,0.233,16,19,0.842,14,45,21,11,6,12,18,12.03,1543.7709114938,30,73,0.411,6,17,0.353,17,23,0.739,9,41,14,10,2,17,18,11.2222222222222,1439.75394461899
"7",7,"2015-11-11","","IND","L",91,102,32,77,0.416,4,24,0.167,23,32,0.719,8,36,18,10,3,18,26,10.9272727272727,1533.9514520519,38,79,0.481,6,17,0.353,20,31,0.645,10,41,20,9,6,18,28,11.4444444444444,1503.12146924868
"8",8,"2015-11-13","","ATL","W",106,93,42,103,0.408,11,33,0.333,11,12,0.917,17,50,27,10,7,10,18,12.8444444444444,1544.48795915114,36,76,0.474,6,20,0.3,15,20,0.75,5,35,26,3,2,16,14,12.13,1622.15966068217
"9",9,"2015-11-15","@","OKC","W",100,85,39,82,0.476,9,23,0.391,13,20,0.65,12,47,25,12,7,18,26,13.5555555555556,1555.18155086103,28,77,0.364,6,25,0.24,23,29,0.793,10,34,18,10,6,18,20,10.84,1628.44183765617
"10",10,"2015-11-16","@","HOU","W",111,95,44,93,0.473,11,36,0.306,12,17,0.706,16,49,27,16,3,19,22,11.4545454545455,1568.42349604884,36,85,0.424,11,32,0.344,12,23,0.522,14,46,23,10,6,22,20,11.4,1569.35603023117
"11",11,"2015-11-18","","DAL","L",102,106,38,92,0.413,8,26,0.308,18,24,0.75,14,43,22,12,1,14,28,13.5555555555556,1562.03584049116,37,72,0.514,7,20,0.35,25,35,0.714,7,39,22,7,7,17,22,12.1888888888889,1579.64528680897
"12",12,"2015-11-20","","BRK","W",120,95,51,87,0.586,10,29,0.345,8,10,0.8,7,41,39,10,4,16,19,12.84,1585.50661798531,35,89,0.393,8,19,0.421,17,24,0.708,14,44,17,10,0,19,13,11.32,1339.85363767858
