"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2016-10-25","@","GSW","W",129,100,47,98,0.48,12,24,0.5,23,26,0.885,21,55,25,13,3,13,19,12.48,2439.62019828784,40,85,0.471,7,33,0.212,13,18,0.722,8,35,24,11,6,16,19,15.4666666666667,2614.68004274305
"2",2,"2016-10-27","@","SAC","W",102,94,36,79,0.456,6,18,0.333,24,27,0.889,9,40,23,10,8,9,26,12.48,2448.8639848117,28,70,0.4,6,20,0.3,32,38,0.842,6,40,22,7,0,15,21,12.27,1227.26879491826
"3",3,"2016-10-29","","NOP","W",98,79,35,83,0.422,10,24,0.417,18,23,0.783,6,50,21,6,7,9,15,10.5636363636364,2464.2530390954,32,86,0.372,4,22,0.182,11,15,0.733,7,45,14,6,5,9,19,10.8636363636364,1217.75996283877
"4",4,"2016-10-30","@","MIA","W",106,99,37,82,0.451,10,18,0.556,22,26,0.846,14,44,20,4,5,15,26,11.1,2474.05758245052,37,80,0.463,7,20,0.35,18,26,0.692,6,36,19,7,6,12,24,13.2,1572.64115237723
"5",5,"2016-11-01","","UTA","L",91,106,33,76,0.434,6,20,0.3,19,21,0.905,4,34,19,6,5,9,15,12.48,2473.38264802106,38,76,0.5,15,31,0.484,15,18,0.833,2,39,22,5,8,10,20,11.33,1647.53081740268
"6",6,"2016-11-04","@","UTA","W",100,86,37,83,0.446,6,20,0.3,20,22,0.909,9,49,17,9,8,11,25,11.1363636363636,2488.85255980705,30,80,0.375,11,26,0.423,15,24,0.625,9,42,15,7,4,12,19,12.0555555555556,1648.96887543158
"7",7,"2016-11-05","","LAC","L",92,116,30,74,0.405,10,25,0.4,22,25,0.88,7,40,19,5,5,15,18,10.3666666666667,2484.53230988817,47,91,0.516,9,23,0.391,13,14,0.929,7,41,24,8,6,8,19,14.2777777777778,2058.3553311544
"8",8,"2016-11-09","","HOU","L",99,101,33,84,0.393,7,23,0.304,26,30,0.867,10,39,22,14,5,10,15,12.68,2484.33068835485,37,78,0.474,10,30,0.333,17,22,0.773,8,45,25,7,4,19,24,14.2875,1599.67938258423
"9",9,"2016-11-11","","DET","W",96,86,36,81,0.444,9,20,0.45,15,19,0.789,10,45,24,8,2,8,13,12.6333333333333,2495.47239221136,32,76,0.421,5,25,0.2,17,21,0.81,9,42,14,2,4,11,14,11.8555555555556,1503.38776165232
"10",10,"2016-11-12","@","HOU","W",106,100,41,76,0.539,5,18,0.278,19,24,0.792,2,35,21,6,11,10,19,14.1888888888889,2504.42995834536,34,89,0.382,15,47,0.319,17,21,0.81,16,46,22,6,4,14,19,13.1666666666667,1590.72181645023
"11",11,"2016-11-14","","MIA","W",94,90,33,82,0.402,8,15,0.533,20,27,0.741,14,52,24,4,7,17,15,13.88,2511.24453887605,37,84,0.44,4,15,0.267,12,21,0.571,10,41,22,14,8,13,23,12.7888888888889,1536.60154324821
"12",12,"2016-11-16","@","SAC","W",110,105,43,88,0.489,11,30,0.367,13,17,0.765,9,37,29,11,7,11,21,13.26,2518.06020307449,36,76,0.474,9,20,0.45,24,31,0.774,10,46,21,5,3,16,17,12.8,1174.32474085354
"13",13,"2016-11-18","@","LAL","W",116,107,44,78,0.564,10,24,0.417,18,19,0.947,3,34,30,8,6,12,18,14.1888888888889,2525.87208488641,39,87,0.448,12,25,0.48,17,21,0.81,15,45,24,6,1,13,21,10.7,645.244157198498
"14",14,"2016-11-21","","DAL","W",96,91,35,75,0.467,8,20,0.4,18,25,0.72,8,39,24,9,1,13,18,10.87,2533.02830962579,35,74,0.473,8,27,0.296,13,20,0.65,10,40,16,10,3,17,23,10.1666666666667,1414.49490929792
"15",15,"2016-11-23","@","CHO","W",119,114,44,86,0.512,13,31,0.419,18,20,0.9,8,34,28,9,8,9,18,13.26,2541.92947368963,45,89,0.506,11,20,0.55,13,18,0.722,12,44,30,3,3,15,16,12.2666666666667,1408.94952613918
"16",16,"2016-11-25","@","BOS","W",109,103,38,81,0.469,11,24,0.458,22,25,0.88,13,45,24,4,8,16,12,13.26,2551.5176657958,42,91,0.462,12,34,0.353,7,9,0.778,8,36,32,8,4,10,21,13.8555555555556,1794.57074242559
"17",17,"2016-11-26","@","WAS","W",112,100,40,75,0.533,9,24,0.375,23,29,0.793,6,38,22,7,6,14,17,13.8222222222222,2563.60945556434,42,88,0.477,6,22,0.273,10,14,0.714,12,40,21,11,1,12,26,12.6625,1386.77218638822
"18",18,"2016-11-29","","ORL","L",83,95,28,76,0.368,5,20,0.25,22,26,0.846,10,45,19,9,4,18,17,13.88,2563.63123316228,39,86,0.453,6,15,0.4,11,12,0.917,9,40,25,12,4,13,21,12.9111111111111,1068.82259008221
"19",19,"2016-11-30","@","DAL","W",94,87,33,71,0.465,11,19,0.579,17,24,0.708,7,42,16,7,6,11,11,11.74,2572.26062701444,33,77,0.429,10,30,0.333,11,14,0.786,8,37,16,5,3,11,18,11.7888888888889,1370.42151891316
"20",20,"2016-12-02","","WAS","W",107,105,39,80,0.488,8,20,0.4,21,33,0.636,12,37,27,11,4,15,17,13.3888888888889,2577.01334926257,41,81,0.506,7,11,0.636,16,18,0.889,9,43,25,13,3,18,26,13.2142857142857,1378.58406252157
"21",21,"2016-12-05","@","MIL","W",97,96,40,93,0.43,8,28,0.286,9,14,0.643,12,46,26,6,5,14,22,14.1222222222222,2580.75632123011,30,73,0.411,6,24,0.25,30,34,0.882,7,43,16,4,7,14,16,12.48,1124.24723755436
"22",22,"2016-12-06","@","MIN","W",105,91,39,74,0.527,11,24,0.458,16,19,0.842,3,35,21,8,3,11,20,12.97,2591.73554234299,36,82,0.439,7,20,0.35,12,18,0.667,11,41,19,4,2,15,20,13.7333333333333,891.321087738419
"23",23,"2016-12-08","@","CHI","L",91,95,39,97,0.402,9,28,0.321,4,5,0.8,11,44,21,11,8,12,18,13.88,2592.03266050157,35,80,0.438,4,17,0.235,21,27,0.778,10,50,24,7,5,19,13,12.6777777777778,1897.05199147225
"24",24,"2016-12-10","","BRK","W",130,101,50,94,0.532,14,26,0.538,16,18,0.889,8,49,38,11,7,10,18,11.8333333333333,2608.68427842209,36,87,0.414,7,27,0.259,22,25,0.88,11,47,21,6,2,16,16,10.1181818181818,722.563801069152
"25",25,"2016-12-14","","BOS","W",108,101,44,80,0.55,8,22,0.364,12,14,0.857,5,38,33,9,3,16,17,13.1888888888889,2618.4239964996,37,84,0.44,10,31,0.323,17,20,0.85,8,35,25,12,3,12,13,11.16,1812.66694171313
