Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,10/27/15,,DET,L,94,106,37,82,0.451,8,27,0.296,12,15,0.8,7,40,22,9,4,15,25,,37,96,0.385,12,29,0.414,20,26,0.769,23,59,23,5,3,15,15
2,2,10/29/15,@,NYK,W,112,101,42,83,0.506,10,24,0.417,18,26,0.692,7,39,26,11,4,15,18,,38,93,0.409,6,29,0.207,19,21,0.905,16,48,21,10,4,21,24
3,3,10/30/15,,CHO,W,97,94,36,83,0.434,8,23,0.348,17,22,0.773,8,45,23,9,4,15,17,,36,88,0.409,12,30,0.4,10,13,0.769,13,54,23,7,6,18,20
4,4,11/1/15,@,CHO,W,94,92,37,88,0.42,7,29,0.241,13,14,0.929,9,48,22,9,6,11,16,,32,86,0.372,14,37,0.378,14,15,0.933,9,45,27,7,13,11,14
5,5,11/3/15,@,MIA,W,98,92,37,90,0.411,7,21,0.333,17,22,0.773,16,51,25,10,1,15,14,,38,86,0.442,5,28,0.179,11,16,0.688,13,49,13,10,9,18,21
6,6,11/4/15,,BRK,W,101,87,37,76,0.487,8,22,0.364,19,24,0.792,6,34,27,15,10,13,17,,36,83,0.434,5,21,0.238,10,13,0.769,14,43,24,9,4,19,19
7,7,11/6/15,@,NOP,W,121,115,41,77,0.532,9,21,0.429,30,35,0.857,6,41,30,10,6,15,21,,42,84,0.5,10,30,0.333,21,24,0.875,6,32,30,9,7,12,24
8,8,11/7/15,,WAS,W,114,99,43,92,0.467,13,33,0.394,15,15,1,10,39,37,12,4,14,15,,38,78,0.487,8,24,0.333,15,17,0.882,8,41,27,11,3,24,18
9,9,11/9/15,,MIN,L,107,117,44,86,0.512,13,31,0.419,6,7,0.857,4,27,30,13,6,17,19,,46,80,0.575,7,15,0.467,18,22,0.818,8,40,27,10,5,19,18
10,10,11/11/15,,NOP,W,106,98,42,86,0.488,10,26,0.385,12,16,0.75,8,44,26,10,7,12,16,,37,83,0.446,14,29,0.483,10,15,0.667,8,40,21,6,0,19,21
11,11,11/13/15,@,BOS,L,93,106,36,76,0.474,6,20,0.3,15,20,0.75,5,35,26,3,2,16,14,,42,103,0.408,11,33,0.333,11,12,0.917,17,50,27,10,7,10,18
12,12,11/15/15,,UTA,L,96,97,37,76,0.487,8,22,0.364,14,17,0.824,8,33,26,9,5,15,16,,39,76,0.513,7,21,0.333,12,17,0.706,10,40,21,7,7,17,15
13,13,11/17/15,@,BRK,L,88,90,33,76,0.434,12,29,0.414,10,14,0.714,8,44,22,7,7,20,17,,37,84,0.44,9,20,0.45,7,13,0.538,9,44,22,14,3,11,14
14,14,11/18/15,,SAC,W,103,97,38,89,0.427,9,30,0.3,18,24,0.75,12,45,23,9,6,11,15,,38,86,0.442,5,16,0.313,16,18,0.889,13,52,26,7,1,20,22
15,15,11/21/15,@,CLE,L,97,109,32,86,0.372,11,28,0.393,22,25,0.88,12,38,22,10,4,12,20,,41,85,0.482,11,29,0.379,16,19,0.842,11,51,27,4,8,14,22
16,16,11/24/15,,BOS,W,121,97,45,80,0.563,12,24,0.5,19,22,0.864,6,43,33,8,7,20,25,,34,82,0.415,9,21,0.429,20,26,0.769,10,33,23,14,2,16,19
17,17,11/25/15,@,MIN,L,95,99,31,82,0.378,8,31,0.258,25,35,0.714,15,53,14,10,7,14,20,,34,82,0.415,9,21,0.429,22,29,0.759,7,45,22,9,4,11,23
18,18,11/27/15,@,MEM,W,116,101,35,75,0.467,14,39,0.359,32,36,0.889,6,40,25,4,3,10,21,,35,80,0.438,12,30,0.4,19,21,0.905,5,37,20,3,1,13,25
19,19,11/28/15,@,SAS,L,88,108,37,87,0.425,6,26,0.231,8,13,0.615,12,43,28,9,5,18,17,,40,85,0.471,9,17,0.529,19,20,0.95,12,49,25,11,9,16,14
20,20,11/30/15,,OKC,W,106,100,39,90,0.433,10,28,0.357,18,20,0.9,14,51,23,9,8,12,15,,37,93,0.398,7,19,0.368,19,22,0.864,13,48,19,8,8,11,19
21,21,12/2/15,,TOR,L,86,96,33,90,0.367,8,27,0.296,12,16,0.75,13,43,22,8,7,12,20,,36,79,0.456,6,25,0.24,18,24,0.75,8,50,12,10,5,12,18
22,22,12/4/15,,LAL,W,100,87,37,74,0.5,10,26,0.385,16,20,0.8,9,43,24,11,9,17,11,,32,86,0.372,13,27,0.481,10,13,0.769,15,42,19,10,7,16,14
23,23,12/9/15,@,DAL,W,98,95,39,81,0.481,6,20,0.3,14,18,0.778,6,47,26,7,7,14,19,,36,100,0.36,7,31,0.226,16,19,0.842,20,51,18,7,3,9,15
24,24,12/10/15,@,OKC,L,94,107,35,78,0.449,10,28,0.357,14,23,0.609,5,34,21,9,7,9,19,,39,80,0.488,9,17,0.529,20,26,0.769,10,52,24,6,2,14,16
25,25,12/12/15,,SAS,L,78,103,30,80,0.375,5,24,0.208,13,16,0.813,7,33,21,15,3,17,15,,36,74,0.486,10,20,0.5,21,22,0.955,6,49,26,11,2,23,16
26,26,12/14/15,,MIA,L,88,100,33,84,0.393,8,33,0.242,14,15,0.933,7,37,25,7,4,14,21,,40,89,0.449,7,16,0.438,13,15,0.867,15,54,26,6,5,15,16
