Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,10/28/15,,SAS,W,112,106,42,86,0.488,7,19,0.368,21,22,0.955,11,45,21,7,4,19,19,,45,93,0.484,5,15,0.333,11,13,0.846,7,36,22,11,9,13,18
2,2,10/30/15,@,ORL,W,139,136,50,110,0.455,8,27,0.296,31,38,0.816,22,62,19,8,9,20,28,,47,106,0.443,12,33,0.364,30,38,0.789,14,49,25,10,10,16,31
3,3,11/1/15,,DEN,W,117,93,45,86,0.523,13,25,0.52,14,18,0.778,13,50,32,9,10,19,23,,35,92,0.38,9,26,0.346,14,19,0.737,14,35,20,8,3,13,17
4,4,11/2/15,@,HOU,L,105,110,40,84,0.476,10,23,0.435,15,22,0.682,14,55,17,7,9,24,24,,41,89,0.461,9,29,0.31,19,29,0.655,7,34,22,18,7,12,22
5,5,11/4/15,,TOR,L,98,103,39,82,0.476,8,23,0.348,12,14,0.857,11,41,26,8,10,19,29,,33,79,0.418,5,14,0.357,32,39,0.821,12,45,12,14,3,14,16
6,6,11/5/15,@,CHI,L,98,104,38,84,0.452,5,13,0.385,17,20,0.85,9,44,21,2,8,9,18,,40,90,0.444,7,18,0.389,17,21,0.81,11,47,20,3,7,6,17
7,7,11/8/15,,PHO,W,124,103,49,94,0.521,4,20,0.2,22,30,0.733,17,52,26,14,8,15,25,,38,84,0.452,7,16,0.438,20,26,0.769,7,33,18,7,1,23,25
8,8,11/10/15,@,WAS,W,125,101,44,86,0.512,15,23,0.652,22,29,0.759,10,53,27,4,2,12,22,,38,97,0.392,5,24,0.208,20,26,0.769,12,41,17,8,5,8,22
9,9,11/13/15,,PHI,W,102,85,39,97,0.402,8,25,0.32,16,21,0.762,16,55,20,9,13,13,19,,30,86,0.349,5,17,0.294,20,28,0.714,12,43,16,11,7,17,17
10,10,11/15/15,,BOS,L,85,100,28,77,0.364,6,25,0.24,23,29,0.793,10,34,18,10,6,18,20,,39,82,0.476,9,23,0.391,13,20,0.65,12,47,25,12,7,18,26
11,11,11/16/15,@,MEM,L,114,122,41,81,0.506,10,24,0.417,22,31,0.71,12,44,22,7,6,19,28,,37,84,0.44,12,17,0.706,36,39,0.923,12,34,23,11,4,10,22
12,12,11/18/15,,NOP,W,110,103,38,85,0.447,7,17,0.412,27,40,0.675,16,50,19,6,4,14,16,,43,95,0.453,8,32,0.25,9,9,1,10,40,21,8,4,11,25
13,13,11/20/15,,NYK,L,90,93,35,92,0.38,3,29,0.103,17,23,0.739,21,49,12,9,4,14,19,,33,72,0.458,12,20,0.6,15,23,0.652,6,36,23,10,5,20,20
14,14,11/22/15,,DAL,W,117,114,47,90,0.522,9,22,0.409,14,18,0.778,14,41,25,8,6,16,23,,44,83,0.53,10,19,0.526,16,28,0.571,9,36,26,8,4,17,17
15,15,11/23/15,@,UTA,W,111,89,42,77,0.545,11,27,0.407,16,18,0.889,6,36,22,12,10,16,31,,28,73,0.384,5,19,0.263,28,40,0.7,13,41,15,11,3,21,18
16,16,11/25/15,,BRK,W,110,99,41,78,0.526,10,24,0.417,18,21,0.857,4,42,26,11,7,19,11,,43,94,0.457,3,13,0.231,10,12,0.833,11,45,20,10,3,17,19
