"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"1",1,"10/25/16","","UTA","W",113,104,39,75,0.52,13,19,0.684,22,22,1,5,34,22,5,3,12,18,40,82,0.488,8,24,0.333,16,16,1,6,31,19,9,5,11,19
"2",2,"10/27/16","","LAC","L",106,114,39,85,0.459,4,18,0.222,24,32,0.75,9,48,18,4,4,14,34,37,91,0.407,8,29,0.276,32,46,0.696,15,48,12,10,4,7,25
"3",3,"10/29/16","@","DEN","W",115,113,45,98,0.459,10,32,0.313,15,21,0.714,5,45,23,10,8,15,30,38,100,0.38,6,23,0.261,31,39,0.795,16,61,19,10,5,17,21
"4",4,"11/1/16","","GSW","L",104,127,37,86,0.43,14,39,0.359,16,21,0.762,6,32,23,12,4,18,17,50,89,0.562,10,26,0.385,17,23,0.739,7,45,36,14,4,16,19
"5",5,"11/2/16","@","PHO","L",115,118,42,101,0.416,12,33,0.364,19,21,0.905,10,53,25,8,8,14,23,44,103,0.427,5,16,0.313,25,30,0.833,14,59,15,10,5,12,20
"6",6,"11/4/16","@","DAL","W",105,95,36,80,0.45,12,31,0.387,21,26,0.808,7,42,21,9,3,14,20,34,83,0.41,10,28,0.357,17,20,0.85,7,44,18,5,3,12,21
"7",7,"11/6/16","@","MEM","W",100,94,32,71,0.451,14,33,0.424,22,27,0.815,5,37,19,7,5,15,25,31,81,0.383,6,26,0.231,26,32,0.813,12,44,15,9,5,13,20
"8",8,"11/8/16","","PHO","W",124,121,45,81,0.556,14,31,0.452,20,28,0.714,7,35,22,5,4,20,27,43,86,0.5,7,21,0.333,28,33,0.848,15,41,18,10,2,16,27
"9",9,"11/9/16","@","LAC","L",80,111,31,88,0.352,6,30,0.2,12,14,0.857,11,47,16,4,3,14,23,38,87,0.437,11,32,0.344,24,33,0.727,14,55,24,9,7,7,15
"10",10,"11/11/16","","SAC","W",122,120,45,86,0.523,13,33,0.394,19,27,0.704,7,36,29,8,4,11,24,43,88,0.489,6,21,0.286,28,35,0.8,13,48,18,7,3,15,21
"11",11,"11/13/16","","DEN","W",112,105,39,99,0.394,8,29,0.276,26,32,0.813,14,44,21,8,8,7,23,36,91,0.396,11,29,0.379,22,29,0.759,16,59,11,4,6,18,25
"12",12,"11/15/16","","CHI","L",88,113,34,95,0.358,9,34,0.265,11,18,0.611,15,49,17,8,4,11,18,41,98,0.418,7,20,0.35,24,28,0.857,19,67,16,7,4,10,19
"13",13,"11/17/16","@","HOU","L",109,126,41,90,0.456,10,28,0.357,17,21,0.81,10,41,24,6,4,12,19,46,95,0.484,14,32,0.438,20,25,0.8,17,54,26,6,6,13,17
"14",14,"11/18/16","@","NOP","L",101,113,33,88,0.375,12,34,0.353,23,26,0.885,13,48,19,2,1,14,21,45,82,0.549,9,24,0.375,14,20,0.7,1,37,31,9,12,8,21
"15",15,"11/20/16","@","BRK","W",129,109,49,85,0.576,15,36,0.417,16,21,0.762,8,50,23,4,7,15,30,37,93,0.398,10,35,0.286,25,31,0.806,11,36,22,5,3,9,20
"16",16,"11/22/16","@","NYK","L",103,107,38,86,0.442,6,22,0.273,21,26,0.808,11,44,18,5,5,16,13,45,96,0.469,9,29,0.31,8,8,1,10,43,26,8,5,13,23
"17",17,"11/23/16","@","CLE","L",125,137,47,90,0.522,13,29,0.448,18,19,0.947,9,38,27,6,6,9,23,48,90,0.533,21,36,0.583,20,27,0.741,9,41,30,6,4,10,15
"18",18,"11/25/16","","NOP","W",119,104,47,100,0.47,12,32,0.375,13,17,0.765,12,52,30,7,5,11,20,36,76,0.474,13,23,0.565,19,29,0.655,2,34,20,3,8,14,14
"19",19,"11/27/16","","HOU","L",114,130,40,83,0.482,12,33,0.364,22,29,0.759,8,35,24,7,2,14,24,46,82,0.561,17,36,0.472,21,28,0.75,7,36,26,7,8,11,23
"20",20,"11/30/16","","IND","W",131,109,51,94,0.543,12,32,0.375,17,19,0.895,14,40,29,13,2,6,23,36,72,0.5,6,14,0.429,31,35,0.886,4,32,19,3,4,15,14
"21",21,"12/3/16","","MIA","W",99,92,36,89,0.404,9,24,0.375,18,24,0.75,12,47,19,6,9,8,17,38,86,0.442,6,22,0.273,10,15,0.667,8,46,23,6,6,13,14
"22",22,"12/5/16","@","CHI","W",112,110,45,93,0.484,9,24,0.375,13,18,0.722,10,38,25,9,8,9,27,35,83,0.422,7,23,0.304,33,38,0.868,15,50,16,8,11,15,17
"23",23,"12/7/16","@","MIL","L",107,115,37,85,0.435,17,40,0.425,16,19,0.842,10,44,25,7,4,15,22,40,77,0.519,10,24,0.417,25,37,0.676,5,41,19,8,7,10,13
"24",24,"12/8/16","@","MEM","L",86,88,25,82,0.305,7,28,0.25,29,40,0.725,13,52,13,6,3,12,23,31,87,0.356,6,20,0.3,20,30,0.667,15,58,13,8,2,12,28
"25",25,"12/10/16","@","IND","L",111,118,40,82,0.488,16,37,0.432,15,16,0.938,9,41,22,6,4,17,20,40,83,0.482,15,29,0.517,23,28,0.821,10,39,24,11,9,13,13
"26",26,"12/12/16","@","LAC","L",120,121,44,87,0.506,10,21,0.476,22,25,0.88,13,42,25,6,7,15,24,42,89,0.472,11,23,0.478,26,28,0.929,13,38,26,9,8,12,20
