Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2016-04-17,@,LAC,L,95,115,33,83,.398,10,30,.333,19,26,.731,10,40,23,6,2,12,28,,42,78,.538,6,17,.353,25,39,.641,11,48,23,7,7,9,23
2,2,2016-04-20,@,LAC,L,81,102,31,91,.341,5,26,.192,14,16,.875,15,52,20,6,3,10,20,,40,87,.460,8,21,.381,14,25,.560,12,52,20,7,9,9,18
3,3,2016-04-23,,LAC,W,96,88,37,87,.425,6,25,.240,16,23,.696,16,56,15,5,3,16,24,,36,88,.409,3,18,.167,13,23,.565,11,44,15,11,4,10,17
4,4,2016-04-25,,LAC,W,98,84,36,88,.409,13,31,.419,13,15,.867,16,58,27,5,7,15,25,,30,84,.357,7,25,.280,17,28,.607,10,42,16,10,4,9,17
5,5,2016-04-27,@,LAC,W,108,98,37,83,.446,12,34,.353,22,34,.647,9,53,22,8,4,9,23,,36,86,.419,6,20,.300,20,30,.667,8,45,20,8,3,10,24
6,6,2016-04-29,,LAC,W,106,103,38,86,.442,14,32,.438,16,24,.667,18,46,21,4,2,12,23,,39,87,.448,4,16,.250,21,31,.677,16,46,15,8,1,8,24
7,7,2016-05-01,@,GSW,L,106,118,39,97,.402,10,31,.323,18,21,.857,10,40,26,7,6,9,19,,43,91,.473,11,31,.355,21,24,.875,16,55,27,8,8,12,22
8,8,2016-05-03,@,GSW,L,99,110,36,81,.444,13,30,.433,14,21,.667,6,39,22,5,5,17,25,,42,91,.462,8,24,.333,18,20,.900,10,48,21,4,9,10,23
9,9,2016-05-07,,GSW,W,120,108,40,86,.465,17,30,.567,23,29,.793,11,41,19,5,4,10,19,,42,88,.477,14,29,.483,10,17,.588,11,42,29,4,6,12,20
10,10,2016-05-09,,GSW,L,125,132,43,106,.406,15,39,.385,24,33,.727,18,52,22,8,3,18,29,,44,95,.463,17,40,.425,27,33,.818,10,49,22,13,10,14,27
11,11,2016-05-11,@,GSW,L,121,125,38,92,.413,16,36,.444,29,39,.744,13,47,20,9,4,10,23,,43,84,.512,14,32,.438,25,29,.862,9,44,28,5,4,16,25
