Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2016-04-17,,CHO,W,123,91,49,85,.576,9,18,.500,16,21,.762,14,42,27,7,4,6,24,,28,65,.431,6,17,.353,29,37,.784,7,28,11,5,2,11,17
2,2,2016-04-20,,CHO,W,115,103,44,76,.579,9,16,.563,18,22,.818,3,35,19,6,6,8,25,,38,89,.427,1,16,.063,26,33,.788,15,39,9,3,1,7,16
3,3,2016-04-23,@,CHO,L,80,96,27,79,.342,7,22,.318,19,30,.633,12,53,13,1,8,14,20,,35,90,.389,5,18,.278,21,22,.955,9,47,18,5,4,3,24
4,4,2016-04-25,@,CHO,L,85,89,30,76,.395,11,29,.379,14,21,.667,10,46,20,2,8,17,26,,30,75,.400,4,16,.250,25,30,.833,6,36,10,7,7,9,20
5,5,2016-04-27,,CHO,L,88,90,34,81,.420,5,18,.278,15,19,.789,6,50,17,7,6,14,16,,33,84,.393,12,24,.500,12,15,.800,5,41,21,8,3,12,14
6,6,2016-04-29,@,CHO,W,97,90,38,83,.458,8,16,.500,13,15,.867,11,46,14,4,10,12,24,,32,76,.421,5,17,.294,21,25,.840,5,31,12,8,5,9,17
7,7,2016-05-01,,CHO,W,106,73,43,89,.483,9,24,.375,11,16,.688,10,58,24,2,8,9,16,,27,84,.321,7,22,.318,12,12,1.000,3,36,14,4,1,7,14
8,8,2016-05-03,@,TOR,W,102,96,40,89,.449,8,11,.727,14,21,.667,11,52,12,12,4,17,17,,40,89,.449,5,21,.238,11,15,.733,4,41,19,10,6,15,25
9,9,2016-05-05,@,TOR,L,92,96,39,79,.494,5,14,.357,9,13,.692,9,45,14,6,7,21,21,,39,93,.419,4,18,.222,14,26,.538,13,39,14,15,1,9,21
10,10,2016-05-07,,TOR,L,91,95,33,77,.429,4,18,.222,21,24,.875,8,38,11,8,2,9,24,,33,70,.471,8,18,.444,21,28,.750,6,35,16,5,0,13,22
11,11,2016-05-09,,TOR,W,94,87,36,80,.450,1,15,.067,21,25,.840,6,39,15,9,5,11,15,,33,84,.393,6,20,.300,15,19,.789,7,39,12,7,2,14,23
12,12,2016-05-11,@,TOR,L,91,99,31,77,.403,6,21,.286,23,28,.821,13,44,12,4,2,13,22,,35,81,.432,7,17,.412,22,26,.846,11,39,16,10,7,9,20
13,13,2016-05-13,,TOR,W,103,91,40,84,.476,7,21,.333,16,20,.800,7,41,15,2,6,7,18,,34,82,.415,4,16,.250,19,25,.760,8,43,10,4,4,8,18
14,14,2016-05-15,@,TOR,L,89,116,32,72,.444,7,25,.280,18,23,.783,7,30,16,6,7,13,29,,39,85,.459,9,20,.450,29,43,.674,20,50,17,8,4,9,23
