Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2016-04-17,,MEM,W,106,74,42,81,.519,10,22,.455,12,13,.923,9,44,22,13,9,12,11,,31,79,.392,8,18,.444,4,6,.667,10,35,17,7,5,16,16
2,2,2016-04-19,,MEM,W,94,68,31,66,.470,9,17,.529,23,28,.821,3,44,19,8,10,17,18,,28,86,.326,2,15,.133,10,18,.556,16,44,14,14,2,13,24
3,3,2016-04-22,@,MEM,W,96,87,35,77,.455,12,26,.462,14,19,.737,7,39,24,10,12,9,20,,34,82,.415,4,18,.222,15,19,.789,15,48,17,4,4,14,17
4,4,2016-04-24,@,MEM,W,116,95,40,81,.494,10,22,.455,26,31,.839,13,41,21,8,6,10,21,,35,78,.449,5,13,.385,20,27,.741,14,37,18,6,5,17,29
5,5,2016-04-30,,OKC,W,124,92,51,84,.607,9,15,.600,13,18,.722,5,43,39,5,10,8,16,,35,85,.412,6,23,.261,16,21,.762,11,38,23,6,2,10,13
6,6,2016-05-02,,OKC,L,97,98,40,94,.426,6,23,.261,11,13,.846,9,37,19,10,6,10,16,,38,79,.481,5,19,.263,17,21,.810,9,48,16,8,8,18,19
7,7,2016-05-06,@,OKC,W,100,96,33,76,.434,10,19,.526,24,34,.706,4,37,19,8,6,8,19,,34,82,.415,10,30,.333,18,20,.900,11,42,14,5,5,14,23
8,8,2016-05-08,@,OKC,L,97,111,40,85,.471,2,12,.167,15,16,.938,9,34,12,11,2,12,21,,40,79,.506,9,23,.391,22,29,.759,10,40,23,6,3,12,18
9,9,2016-05-10,,OKC,L,91,95,35,88,.398,8,18,.444,13,17,.765,10,36,19,11,6,7,19,,34,78,.436,7,20,.350,20,26,.769,15,54,18,6,6,20,22
10,10,2016-05-12,@,OKC,L,99,113,40,93,.430,6,17,.353,13,16,.813,10,40,19,7,3,10,21,,40,85,.471,6,22,.273,27,31,.871,14,50,21,7,7,10,18
