Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2016-04-16,@,OKC,L,70,108,25,84,.298,4,18,.222,16,26,.615,9,33,16,5,0,12,25,,36,80,.450,12,35,.343,24,28,.857,14,56,23,7,6,18,25
2,2,2016-04-18,@,OKC,W,85,84,35,82,.427,5,19,.263,10,19,.526,11,45,14,8,4,12,17,,31,92,.337,7,32,.219,15,18,.833,19,54,11,9,4,15,19
3,3,2016-04-21,,OKC,L,102,131,36,76,.474,6,23,.261,24,35,.686,6,29,24,9,3,12,27,,45,78,.577,15,27,.556,26,35,.743,9,42,28,10,5,14,27
4,4,2016-04-23,,OKC,L,108,119,43,83,.518,8,23,.348,14,17,.824,7,33,25,3,2,11,27,,44,83,.530,7,16,.438,24,34,.706,12,42,26,6,3,9,19
5,5,2016-04-25,@,OKC,L,104,118,38,81,.469,8,24,.333,20,24,.833,13,35,24,5,3,9,24,,41,81,.506,10,30,.333,26,32,.813,14,42,19,6,5,8,22
