"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"1",1,"10/28/15","@","ORL","W",88,87,33,84,0.393,7,28,0.25,15,25,0.6,15,49,17,8,9,17,14,37,100,0.37,5,26,0.192,8,12,0.667,17,56,20,9,6,14,22
"2",2,"10/30/15","@","MIL","W",118,113,35,68,0.515,12,21,0.571,36,44,0.818,8,37,25,7,5,21,20,42,82,0.512,7,24,0.292,22,28,0.786,6,32,33,9,2,16,32
"3",3,"10/31/15","","NYK","L",110,117,38,90,0.422,6,22,0.273,28,33,0.848,11,43,17,9,3,17,32,41,86,0.477,9,19,0.474,26,32,0.813,9,40,21,8,5,18,30
"4",4,"11/4/15","","SAS","W",102,99,42,87,0.483,8,23,0.348,10,14,0.714,4,33,27,11,3,10,19,37,81,0.457,7,22,0.318,18,20,0.9,9,49,21,5,3,20,21
"5",5,"11/6/15","@","BOS","L",98,118,36,88,0.409,8,25,0.32,18,23,0.783,10,45,23,10,8,24,27,44,97,0.454,12,30,0.4,18,23,0.783,15,53,24,18,5,17,21
"6",6,"11/7/15","@","ATL","L",99,114,38,78,0.487,8,24,0.333,15,17,0.882,8,41,27,11,3,24,18,43,92,0.467,13,33,0.394,15,15,1,10,39,37,12,4,14,15
"7",7,"11/10/15","","OKC","L",101,125,38,97,0.392,5,24,0.208,20,26,0.769,12,41,17,8,5,8,22,44,86,0.512,15,23,0.652,22,29,0.759,10,53,27,4,2,12,22
"8",8,"11/14/15","","ORL","W",108,99,39,83,0.47,12,29,0.414,18,26,0.692,7,49,29,6,6,11,23,38,87,0.437,4,18,0.222,19,24,0.792,6,45,19,7,2,12,22
"9",9,"11/17/15","","MIL","W",115,86,37,70,0.529,12,22,0.545,29,41,0.707,6,42,25,8,3,12,19,31,72,0.431,10,21,0.476,14,24,0.583,6,34,22,5,3,19,27
"10",10,"11/21/15","@","DET","W",97,95,38,78,0.487,7,19,0.368,14,20,0.7,9,42,22,10,0,11,19,36,79,0.456,8,26,0.308,15,21,0.714,8,38,20,3,2,13,17
"11",11,"11/24/15","","IND","L",106,123,38,83,0.458,13,33,0.394,17,24,0.708,10,40,27,9,1,21,18,44,80,0.55,19,26,0.731,16,23,0.696,7,41,25,11,0,20,18
"12",12,"11/25/15","@","CHO","L",87,101,31,87,0.356,10,32,0.313,15,18,0.833,11,41,15,13,4,14,20,39,83,0.47,8,26,0.308,15,15,1,9,51,22,5,6,19,17
