"","Date","Start (ET)","Visitor/Neutral","PTS","Home/Neutral","PTS.1"
"2","Tue, Oct 27, 2015","8:00 pm","Detroit Pistons","106","Atlanta Hawks","94"
"3","Tue, Oct 27, 2015","8:00 pm","Cleveland Cavaliers","95","Chicago Bulls","97"
"4","Tue, Oct 27, 2015","10:30 pm","New Orleans Pelicans","95","Golden State Warriors","111"
"5","Wed, Oct 28, 2015","7:30 pm","Philadelphia 76ers","95","Boston Celtics","112"
"6","Wed, Oct 28, 2015","7:30 pm","Chicago Bulls","115","Brooklyn Nets","100"
"7","Wed, Oct 28, 2015","7:30 pm","Utah Jazz","87","Detroit Pistons","92"
"8","Wed, Oct 28, 2015","8:00 pm","Denver Nuggets","105","Houston Rockets","85"
"9","Wed, Oct 28, 2015","10:30 pm","Minnesota Timberwolves","112","Los Angeles Lakers","111"
"10","Wed, Oct 28, 2015","8:00 pm","Cleveland Cavaliers","106","Memphis Grizzlies","76"
"11","Wed, Oct 28, 2015","7:30 pm","Charlotte Hornets","94","Miami Heat","104"
"12","Wed, Oct 28, 2015","8:00 pm","New York Knicks","122","Milwaukee Bucks","97"
"13","Wed, Oct 28, 2015","8:00 pm","San Antonio Spurs","106","Oklahoma City Thunder","112"
"14","Wed, Oct 28, 2015","7:00 pm","Washington Wizards","88","Orlando Magic","87"
"15","Wed, Oct 28, 2015","10:00 pm","Dallas Mavericks","111","Phoenix Suns","95"
"16","Wed, Oct 28, 2015","10:00 pm","New Orleans Pelicans","94","Portland Trail Blazers","112"
"17","Wed, Oct 28, 2015","10:00 pm","Los Angeles Clippers","111","Sacramento Kings","104"
"18","Wed, Oct 28, 2015","7:30 pm","Indiana Pacers","99","Toronto Raptors","106"
"19","Thu, Oct 29, 2015","7:00 pm","Memphis Grizzlies","112","Indiana Pacers","103"
"20","Thu, Oct 29, 2015","10:30 pm","Dallas Mavericks","88","Los Angeles Clippers","104"
"21","Thu, Oct 29, 2015","8:00 pm","Atlanta Hawks","112","New York Knicks","101"
"22","Fri, Oct 30, 2015","8:00 pm","Charlotte Hornets","94","Atlanta Hawks","97"
"23","Fri, Oct 30, 2015","7:30 pm","Toronto Raptors","113","Boston Celtics","103"
"24","Fri, Oct 30, 2015","7:00 pm","Miami Heat","92","Cleveland Cavaliers","102"
"25","Fri, Oct 30, 2015","9:00 pm","Minnesota Timberwolves","95","Denver Nuggets","78"
"26","Fri, Oct 30, 2015","7:30 pm","Chicago Bulls","94","Detroit Pistons","98"
"27","Fri, Oct 30, 2015","9:30 pm","Golden State Warriors","112","Houston Rockets","92"
"28","Fri, Oct 30, 2015","8:00 pm","Washington Wizards","118","Milwaukee Bucks","113"
"29","Fri, Oct 30, 2015","7:00 pm","Oklahoma City Thunder","139","Orlando Magic","136"
"30","Fri, Oct 30, 2015","7:00 pm","Utah Jazz","99","Philadelphia 76ers","71"
"31","Fri, Oct 30, 2015","10:30 pm","Portland Trail Blazers","92","Phoenix Suns","110"
"32","Fri, Oct 30, 2015","10:00 pm","Los Angeles Lakers","114","Sacramento Kings","132"
"33","Fri, Oct 30, 2015","8:30 pm","Brooklyn Nets","75","San Antonio Spurs","102"
"34","Sat, Oct 31, 2015","7:00 pm","Utah Jazz","97","Indiana Pacers","76"
"35","Sat, Oct 31, 2015","10:30 pm","Sacramento Kings","109","Los Angeles Clippers","114"
"36","Sat, Oct 31, 2015","8:00 pm","Brooklyn Nets","91","Memphis Grizzlies","101"
"37","Sat, Oct 31, 2015","7:30 pm","Golden State Warriors","134","New Orleans Pelicans","120"
"38","Sat, Oct 31, 2015","10:00 pm","Phoenix Suns","101","Portland Trail Blazers","90"
"39","Sat, Oct 31, 2015","7:00 pm","New York Knicks","117","Washington Wizards","110"
"40","Sun, Nov 1, 2015","3:30 pm","San Antonio Spurs","95","Boston Celtics","87"
"41","Sun, Nov 1, 2015","7:00 pm","Orlando Magic","87","Chicago Bulls","92"
"42","Sun, Nov 1, 2015","2:00 pm","Atlanta Hawks","94","Charlotte Hornets","92"
"43","Sun, Nov 1, 2015","9:30 pm","Dallas Mavericks","103","Los Angeles Lakers","93"
"44","Sun, Nov 1, 2015","6:00 pm","Houston Rockets","89","Miami Heat","109"
"45","Sun, Nov 1, 2015","7:00 pm","Denver Nuggets","93","Oklahoma City Thunder","117"
"46","Sun, Nov 1, 2015","6:00 pm","Milwaukee Bucks","87","Toronto Raptors","106"
"47","Mon, Nov 2, 2015","7:30 pm","Milwaukee Bucks","103","Brooklyn Nets","96"
"48","Mon, Nov 2, 2015","10:30 pm","Memphis Grizzlies","69","Golden State Warriors","119"
"49","Mon, Nov 2, 2015","8:00 pm","Oklahoma City Thunder","105","Houston Rockets","110"
"50","Mon, Nov 2, 2015","10:30 pm","Phoenix Suns","96","Los Angeles Clippers","102"
"51","Mon, Nov 2, 2015","8:00 pm","Portland Trail Blazers","106","Minnesota Timberwolves","101"
"52","Mon, Nov 2, 2015","7:30 pm","San Antonio Spurs","94","New York Knicks","84"
"53","Mon, Nov 2, 2015","7:00 pm","Cleveland Cavaliers","107","Philadelphia 76ers","100"
"54","Tue, Nov 3, 2015","7:00 pm","Chicago Bulls","105","Charlotte Hornets","130"
"55","Tue, Nov 3, 2015","8:30 pm","Toronto Raptors","102","Dallas Mavericks","91"
"56","Tue, Nov 3, 2015","7:30 pm","Indiana Pacers","94","Detroit Pistons","82"
"57","Tue, Nov 3, 2015","10:30 pm","Denver Nuggets","120","Los Angeles Lakers","109"
"58","Tue, Nov 3, 2015","7:30 pm","Atlanta Hawks","98","Miami Heat","92"
"59","Tue, Nov 3, 2015","8:00 pm","Orlando Magic","103","New Orleans Pelicans","94"
"60","Tue, Nov 3, 2015","10:00 pm","Memphis Grizzlies","103","Sacramento Kings","89"
"61","Wed, Nov 4, 2015","8:00 pm","Brooklyn Nets","87","Atlanta Hawks","101"
"62","Wed, Nov 4, 2015","8:00 pm","New York Knicks","86","Cleveland Cavaliers","96"
"63","Wed, Nov 4, 2015","10:30 pm","Los Angeles Clippers","108","Golden State Warriors","112"
"64","Wed, Nov 4, 2015","8:00 pm","Orlando Magic","114","Houston Rockets","119"
"65","Wed, Nov 4, 2015","7:00 pm","Boston Celtics","98","Indiana Pacers","100"
"66","Wed, Nov 4, 2015","8:00 pm","Philadelphia 76ers","87","Milwaukee Bucks","91"
"67","Wed, Nov 4, 2015","8:00 pm","Toronto Raptors","103","Oklahoma City Thunder","98"
"68","Wed, Nov 4, 2015","9:00 pm","Sacramento Kings","97","Phoenix Suns","118"
"69","Wed, Nov 4, 2015","9:00 pm","Portland Trail Blazers","108","Utah Jazz","92"
"70","Wed, Nov 4, 2015","7:00 pm","San Antonio Spurs","99","Washington Wizards","102"
"71","Thu, Nov 5, 2015","8:00 pm","Oklahoma City Thunder","98","Chicago Bulls","104"
"72","Thu, Nov 5, 2015","8:30 pm","Charlotte Hornets","108","Dallas Mavericks","94"
"73","Thu, Nov 5, 2015","9:00 pm","Utah Jazz","96","Denver Nuggets","84"
"74","Thu, Nov 5, 2015","8:00 pm","Miami Heat","96","Minnesota Timberwolves","84"
"75","Thu, Nov 5, 2015","10:30 pm","Memphis Grizzlies","96","Portland Trail Blazers","115"
"76","Fri, Nov 6, 2015","7:30 pm","Washington Wizards","98","Boston Celtics","118"
"77","Fri, Nov 6, 2015","7:30 pm","Los Angeles Lakers","104","Brooklyn Nets","98"
"78","Fri, Nov 6, 2015","7:30 pm","Philadelphia 76ers","102","Cleveland Cavaliers","108"
"79","Fri, Nov 6, 2015","10:30 pm","Denver Nuggets","104","Golden State Warriors","119"
"80","Fri, Nov 6, 2015","8:00 pm","Miami Heat","87","Indiana Pacers","90"
"81","Fri, Nov 6, 2015","8:00 pm","Atlanta Hawks","121","New Orleans Pelicans","115"
"82","Fri, Nov 6, 2015","7:30 pm","Milwaukee Bucks","99","New York Knicks","92"
"83","Fri, Nov 6, 2015","7:00 pm","Toronto Raptors","87","Orlando Magic","92"
"84","Fri, Nov 6, 2015","9:30 pm","Detroit Pistons","100","Phoenix Suns","92"
"85","Fri, Nov 6, 2015","10:30 pm","Houston Rockets","116","Sacramento Kings","110"
"86","Sat, Nov 7, 2015","7:30 pm","Washington Wizards","99","Atlanta Hawks","114"
"87","Sat, Nov 7, 2015","6:00 pm","Minnesota Timberwolves","102","Chicago Bulls","93"
"88","Sat, Nov 7, 2015","8:30 pm","New Orleans Pelicans","98","Dallas Mavericks","107"
"89","Sat, Nov 7, 2015","10:30 pm","Houston Rockets","109","Los Angeles Clippers","105"
"90","Sat, Nov 7, 2015","8:30 pm","Brooklyn Nets","86","Milwaukee Bucks","94"
"91","Sat, Nov 7, 2015","7:00 pm","Orlando Magic","105","Philadelphia 76ers","97"
"92","Sat, Nov 7, 2015","10:00 pm","Golden State Warriors","103","Sacramento Kings","94"
"93","Sat, Nov 7, 2015","8:30 pm","Charlotte Hornets","94","San Antonio Spurs","114"
"94","Sat, Nov 7, 2015","9:00 pm","Memphis Grizzlies","79","Utah Jazz","89"
"95","Sun, Nov 8, 2015","3:30 pm","Indiana Pacers","97","Cleveland Cavaliers","101"
"96","Sun, Nov 8, 2015","6:00 pm","Toronto Raptors","76","Miami Heat","96"
"97","Sun, Nov 8, 2015","3:30 pm","Los Angeles Lakers","95","New York Knicks","99"
"98","Sun, Nov 8, 2015","7:00 pm","Phoenix Suns","103","Oklahoma City Thunder","124"
"99","Sun, Nov 8, 2015","9:00 pm","Detroit Pistons","120","Portland Trail Blazers","103"
"100","Mon, Nov 9, 2015","8:00 pm","Minnesota Timberwolves","117","Atlanta Hawks","107"
"101","Mon, Nov 9, 2015","9:00 pm","Portland Trail Blazers","104","Denver Nuggets","108"
"102","Mon, Nov 9, 2015","10:30 pm","Detroit Pistons","95","Golden State Warriors","109"
"103","Mon, Nov 9, 2015","7:00 pm","Orlando Magic","84","Indiana Pacers","97"
"104","Mon, Nov 9, 2015","10:30 pm","Memphis Grizzlies","92","Los Angeles Clippers","94"
"105","Mon, Nov 9, 2015","7:00 pm","Chicago Bulls","111","Philadelphia 76ers","88"
"106","Mon, Nov 9, 2015","10:00 pm","San Antonio Spurs","106","Sacramento Kings","88"
"107","Tue, Nov 10, 2015","7:00 pm","Utah Jazz","114","Cleveland Cavaliers","118"
"108","Tue, Nov 10, 2015","7:30 pm","Los Angeles Lakers","88","Miami Heat","101"
"109","Tue, Nov 10, 2015","8:00 pm","Boston Celtics","99","Milwaukee Bucks","83"
"110","Tue, Nov 10, 2015","8:00 pm","Charlotte Hornets","104","Minnesota Timberwolves","95"
"111","Tue, Nov 10, 2015","8:00 pm","Dallas Mavericks","105","New Orleans Pelicans","120"
"112","Tue, Nov 10, 2015","7:30 pm","New York Knicks","111","Toronto Raptors","109"
"113","Tue, Nov 10, 2015","7:00 pm","Oklahoma City Thunder","125","Washington Wizards","101"
"114","Wed, Nov 11, 2015","8:00 pm","New Orleans Pelicans","98","Atlanta Hawks","106"
"115","Wed, Nov 11, 2015","7:30 pm","Indiana Pacers","102","Boston Celtics","91"
"116","Wed, Nov 11, 2015","7:00 pm","New York Knicks","93","Charlotte Hornets","95"
"117","Wed, Nov 11, 2015","8:00 pm","Los Angeles Clippers","108","Dallas Mavericks","118"
"118","Wed, Nov 11, 2015","9:00 pm","Milwaukee Bucks","102","Denver Nuggets","103"
"119","Wed, Nov 11, 2015","8:00 pm","Brooklyn Nets","106","Houston Rockets","98"
