"","Date","Start (ET)","Visitor/Neutral","PTS","Home/Neutral","PTS.1"
"120","Wed, Nov 11, 2015","8:00 pm","Golden State Warriors","100","Memphis Grizzlies","84"
"121","Wed, Nov 11, 2015","7:00 pm","Los Angeles Lakers","99","Orlando Magic","101"
"122","Wed, Nov 11, 2015","7:00 pm","Toronto Raptors","119","Philadelphia 76ers","103"
"123","Wed, Nov 11, 2015","10:30 pm","San Antonio Spurs","113","Portland Trail Blazers","101"
"124","Wed, Nov 11, 2015","10:00 pm","Detroit Pistons","92","Sacramento Kings","101"
"125","Thu, Nov 12, 2015","7:30 pm","Utah Jazz","91","Miami Heat","92"
"126","Thu, Nov 12, 2015","8:00 pm","Golden State Warriors","129","Minnesota Timberwolves","116"
"127","Thu, Nov 12, 2015","10:30 pm","Los Angeles Clippers","104","Phoenix Suns","118"
"128","Fri, Nov 13, 2015","7:30 pm","Atlanta Hawks","93","Boston Celtics","106"
"129","Fri, Nov 13, 2015","8:00 pm","Charlotte Hornets","97","Chicago Bulls","102"
"130","Fri, Nov 13, 2015","8:30 pm","Los Angeles Lakers","82","Dallas Mavericks","90"
"131","Fri, Nov 13, 2015","9:00 pm","Houston Rockets","98","Denver Nuggets","107"
"132","Fri, Nov 13, 2015","7:00 pm","Minnesota Timberwolves","103","Indiana Pacers","107"
"133","Fri, Nov 13, 2015","8:00 pm","Portland Trail Blazers","100","Memphis Grizzlies","101"
"134","Fri, Nov 13, 2015","7:30 pm","Cleveland Cavaliers","90","New York Knicks","84"
"135","Fri, Nov 13, 2015","8:00 pm","Philadelphia 76ers","85","Oklahoma City Thunder","102"
"136","Fri, Nov 13, 2015","7:00 pm","Utah Jazz","93","Orlando Magic","102"
"137","Fri, Nov 13, 2015","10:00 pm","Brooklyn Nets","109","Sacramento Kings","111"
"138","Fri, Nov 13, 2015","7:30 pm","New Orleans Pelicans","81","Toronto Raptors","100"
"139","Sat, Nov 14, 2015","10:30 pm","Brooklyn Nets","99","Golden State Warriors","107"
"140","Sat, Nov 14, 2015","8:00 pm","Dallas Mavericks","110","Houston Rockets","98"
"141","Sat, Nov 14, 2015","3:30 pm","Detroit Pistons","96","Los Angeles Clippers","101"
"142","Sat, Nov 14, 2015","8:30 pm","Cleveland Cavaliers","105","Milwaukee Bucks","108"
"143","Sat, Nov 14, 2015","9:00 pm","Denver Nuggets","81","Phoenix Suns","105"
"144","Sat, Nov 14, 2015","8:30 pm","Philadelphia 76ers","83","San Antonio Spurs","92"
"145","Sat, Nov 14, 2015","7:00 pm","Orlando Magic","99","Washington Wizards","108"
"146","Sun, Nov 15, 2015","6:00 pm","Utah Jazz","97","Atlanta Hawks","96"
"147","Sun, Nov 15, 2015","5:00 pm","Portland Trail Blazers","94","Charlotte Hornets","106"
"148","Sun, Nov 15, 2015","9:30 pm","Detroit Pistons","85","Los Angeles Lakers","97"
"149","Sun, Nov 15, 2015","3:30 pm","Memphis Grizzlies","114","Minnesota Timberwolves","106"
"150","Sun, Nov 15, 2015","12:00 pm","New Orleans Pelicans","87","New York Knicks","95"
"151","Sun, Nov 15, 2015","7:00 pm","Boston Celtics","100","Oklahoma City Thunder","85"
"152","Sun, Nov 15, 2015","9:00 pm","Toronto Raptors","101","Sacramento Kings","107"
"153","Mon, Nov 16, 2015","8:00 pm","Indiana Pacers","95","Chicago Bulls","96"
"154","Mon, Nov 16, 2015","8:00 pm","Boston Celtics","111","Houston Rockets","95"
"155","Mon, Nov 16, 2015","8:00 pm","Oklahoma City Thunder","114","Memphis Grizzlies","122"
"156","Mon, Nov 16, 2015","7:00 pm","Dallas Mavericks","92","Philadelphia 76ers","86"
"157","Mon, Nov 16, 2015","9:00 pm","Los Angeles Lakers","101","Phoenix Suns","120"
"158","Mon, Nov 16, 2015","8:30 pm","Portland Trail Blazers","80","San Antonio Spurs","93"
"159","Tue, Nov 17, 2015","7:30 pm","Atlanta Hawks","88","Brooklyn Nets","90"
"160","Tue, Nov 17, 2015","7:30 pm","Cleveland Cavaliers","99","Detroit Pistons","104"
"161","Tue, Nov 17, 2015","10:30 pm","Toronto Raptors","110","Golden State Warriors","115"
"162","Tue, Nov 17, 2015","7:30 pm","Minnesota Timberwolves","103","Miami Heat","91"
"163","Tue, Nov 17, 2015","8:00 pm","Denver Nuggets","115","New Orleans Pelicans","98"
"164","Tue, Nov 17, 2015","7:30 pm","Charlotte Hornets","94","New York Knicks","102"
"165","Tue, Nov 17, 2015","7:00 pm","Milwaukee Bucks","86","Washington Wizards","115"
"166","Wed, Nov 18, 2015","8:00 pm","Sacramento Kings","97","Atlanta Hawks","103"
"167","Wed, Nov 18, 2015","7:30 pm","Dallas Mavericks","106","Boston Celtics","102"
"168","Wed, Nov 18, 2015","7:00 pm","Brooklyn Nets","111","Charlotte Hornets","116"
"169","Wed, Nov 18, 2015","8:00 pm","Portland Trail Blazers","103","Houston Rockets","108"
"170","Wed, Nov 18, 2015","8:00 pm","New Orleans Pelicans","103","Oklahoma City Thunder","110"
"171","Wed, Nov 18, 2015","7:00 pm","Minnesota Timberwolves","101","Orlando Magic","104"
"172","Wed, Nov 18, 2015","7:00 pm","Indiana Pacers","112","Philadelphia 76ers","85"
"173","Wed, Nov 18, 2015","10:30 pm","Chicago Bulls","103","Phoenix Suns","97"
"174","Wed, Nov 18, 2015","8:30 pm","Denver Nuggets","98","San Antonio Spurs","109"
"175","Wed, Nov 18, 2015","9:00 pm","Toronto Raptors","89","Utah Jazz","93"
"176","Thu, Nov 19, 2015","8:00 pm","Milwaukee Bucks","100","Cleveland Cavaliers","115"
"177","Thu, Nov 19, 2015","10:30 pm","Golden State Warriors","124","Los Angeles Clippers","117"
"178","Thu, Nov 19, 2015","7:30 pm","Sacramento Kings","109","Miami Heat","116"
"179","Fri, Nov 20, 2015","7:30 pm","Brooklyn Nets","95","Boston Celtics","120"
"180","Fri, Nov 20, 2015","7:00 pm","Philadelphia 76ers","88","Charlotte Hornets","113"
"181","Fri, Nov 20, 2015","8:30 pm","Utah Jazz","93","Dallas Mavericks","102"
"182","Fri, Nov 20, 2015","9:00 pm","Phoenix Suns","114","Denver Nuggets","107"
"183","Fri, Nov 20, 2015","10:30 pm","Chicago Bulls","94","Golden State Warriors","106"
"184","Fri, Nov 20, 2015","10:30 pm","Toronto Raptors","102","Los Angeles Lakers","91"
"185","Fri, Nov 20, 2015","8:00 pm","Houston Rockets","84","Memphis Grizzlies","96"
"186","Fri, Nov 20, 2015","8:00 pm","Detroit Pistons","96","Minnesota Timberwolves","86"
"187","Fri, Nov 20, 2015","8:00 pm","San Antonio Spurs","90","New Orleans Pelicans","104"
"188","Fri, Nov 20, 2015","8:00 pm","New York Knicks","93","Oklahoma City Thunder","90"
"189","Fri, Nov 20, 2015","10:00 pm","Los Angeles Clippers","91","Portland Trail Blazers","102"
"190","Sat, Nov 21, 2015","7:30 pm","Atlanta Hawks","97","Cleveland Cavaliers","109"
"191","Sat, Nov 21, 2015","7:30 pm","Washington Wizards","97","Detroit Pistons","95"
"192","Sat, Nov 21, 2015","8:00 pm","New York Knicks","107","Houston Rockets","102"
"193","Sat, Nov 21, 2015","7:00 pm","Milwaukee Bucks","86","Indiana Pacers","123"
"194","Sat, Nov 21, 2015","8:00 pm","Philadelphia 76ers","91","Miami Heat","96"
"195","Sat, Nov 21, 2015","5:00 pm","Sacramento Kings","97","Orlando Magic","91"
"196","Sat, Nov 21, 2015","8:30 pm","Memphis Grizzlies","82","San Antonio Spurs","92"
"197","Sun, Nov 22, 2015","6:00 pm","Boston Celtics","101","Brooklyn Nets","111"
"198","Sun, Nov 22, 2015","8:00 pm","Golden State Warriors","118","Denver Nuggets","105"
"199","Sun, Nov 22, 2015","3:30 pm","Toronto Raptors","91","Los Angeles Clippers","80"
"200","Sun, Nov 22, 2015","9:30 pm","Portland Trail Blazers","107","Los Angeles Lakers","93"
"201","Sun, Nov 22, 2015","6:00 pm","Phoenix Suns","116","New Orleans Pelicans","122"
"202","Sun, Nov 22, 2015","7:00 pm","Dallas Mavericks","114","Oklahoma City Thunder","117"
"203","Mon, Nov 23, 2015","7:00 pm","Sacramento Kings","122","Charlotte Hornets","127"
"204","Mon, Nov 23, 2015","7:00 pm","Orlando Magic","103","Cleveland Cavaliers","117"
"205","Mon, Nov 23, 2015","7:30 pm","New York Knicks","78","Miami Heat","95"
"206","Mon, Nov 23, 2015","8:00 pm","Detroit Pistons","88","Milwaukee Bucks","109"
"207","Mon, Nov 23, 2015","8:00 pm","Philadelphia 76ers","95","Minnesota Timberwolves","100"
"208","Mon, Nov 23, 2015","8:30 pm","Phoenix Suns","84","San Antonio Spurs","98"
"209","Mon, Nov 23, 2015","9:00 pm","Oklahoma City Thunder","111","Utah Jazz","89"
"210","Tue, Nov 24, 2015","8:00 pm","Boston Celtics","97","Atlanta Hawks","121"
"211","Tue, Nov 24, 2015","9:00 pm","Los Angeles Clippers","111","Denver Nuggets","94"
"212","Tue, Nov 24, 2015","10:30 pm","Los Angeles Lakers","77","Golden State Warriors","111"
"213","Tue, Nov 24, 2015","8:00 pm","Dallas Mavericks","96","Memphis Grizzlies","110"
"214","Tue, Nov 24, 2015","10:00 pm","Chicago Bulls","93","Portland Trail Blazers","88"
"215","Tue, Nov 24, 2015","7:00 pm","Indiana Pacers","123","Washington Wizards","106"
"216","Wed, Nov 25, 2015","7:30 pm","Philadelphia 76ers","80","Boston Celtics","84"
"217","Wed, Nov 25, 2015","7:00 pm","Washington Wizards","87","Charlotte Hornets","101"
"218","Wed, Nov 25, 2015","7:30 pm","Miami Heat","81","Detroit Pistons","104"
"219","Wed, Nov 25, 2015","8:00 pm","Memphis Grizzlies","102","Houston Rockets","93"
"220","Wed, Nov 25, 2015","10:30 pm","Utah Jazz","102","Los Angeles Clippers","91"
"221","Wed, Nov 25, 2015","8:00 pm","Sacramento Kings","129","Milwaukee Bucks","118"
"222","Wed, Nov 25, 2015","8:00 pm","Atlanta Hawks","95","Minnesota Timberwolves","99"
"223","Wed, Nov 25, 2015","8:00 pm","Brooklyn Nets","99","Oklahoma City Thunder","110"
"224","Wed, Nov 25, 2015","7:00 pm","New York Knicks","91","Orlando Magic","100"
"225","Wed, Nov 25, 2015","9:00 pm","New Orleans Pelicans","120","Phoenix Suns","114"
"226","Wed, Nov 25, 2015","8:30 pm","Dallas Mavericks","83","San Antonio Spurs","88"
"227","Wed, Nov 25, 2015","7:30 pm","Cleveland Cavaliers","99","Toronto Raptors","103"
"228","Fri, Nov 27, 2015","7:30 pm","Washington Wizards","78","Boston Celtics","111"
"229","Fri, Nov 27, 2015","7:00 pm","Cleveland Cavaliers","95","Charlotte Hornets","90"
"230","Fri, Nov 27, 2015","9:00 pm","San Antonio Spurs","91","Denver Nuggets","80"
"231","Fri, Nov 27, 2015","8:00 pm","Philadelphia 76ers","114","Houston Rockets","116"
"232","Fri, Nov 27, 2015","8:00 pm","Chicago Bulls","92","Indiana Pacers","104"
"233","Fri, Nov 27, 2015","10:30 pm","New Orleans Pelicans","90","Los Angeles Clippers","111"
"234","Fri, Nov 27, 2015","8:00 pm","Atlanta Hawks","116","Memphis Grizzlies","101"
"235","Fri, Nov 27, 2015","7:30 pm","Miami Heat","97","New York Knicks","78"
"236","Fri, Nov 27, 2015","8:00 pm","Detroit Pistons","87","Oklahoma City Thunder","103"
"237","Fri, Nov 27, 2015","7:00 pm","Milwaukee Bucks","90","Orlando Magic","114"
"238","Fri, Nov 27, 2015","9:30 pm","Golden State Warriors","135","Phoenix Suns","116"
"239","Fri, Nov 27, 2015","10:00 pm","Minnesota Timberwolves","101","Sacramento Kings","91"
"240","Sat, Nov 28, 2015","7:30 pm","Brooklyn Nets","88","Cleveland Cavaliers","90"
"241","Sat, Nov 28, 2015","8:30 pm","Denver Nuggets","81","Dallas Mavericks","92"
"242","Sat, Nov 28, 2015","10:30 pm","Sacramento Kings","101","Golden State Warriors","120"
"243","Sat, Nov 28, 2015","10:00 pm","Los Angeles Lakers","96","Portland Trail Blazers","108"
"244","Sat, Nov 28, 2015","8:30 pm","Atlanta Hawks","88","San Antonio Spurs","108"
"245","Sat, Nov 28, 2015","9:00 pm","New Orleans Pelicans","87","Utah Jazz","101"
"246","Sat, Nov 28, 2015","7:00 pm","Toronto Raptors","84","Washington Wizards","82"
"247","Sun, Nov 29, 2015","6:00 pm","Detroit Pistons","83","Brooklyn Nets","87"
"248","Sun, Nov 29, 2015","2:00 pm","Milwaukee Bucks","82","Charlotte Hornets","87"
"249","Sun, Nov 29, 2015","3:30 pm","Minnesota Timberwolves","99","Los Angeles Clippers","107"
"250","Sun, Nov 29, 2015","9:30 pm","Indiana Pacers","107","Los Angeles Lakers","103"
"251","Sun, Nov 29, 2015","6:00 pm","Philadelphia 76ers","84","Memphis Grizzlies","92"
"252","Sun, Nov 29, 2015","7:30 pm","Houston Rockets","116","New York Knicks","111"
"253","Sun, Nov 29, 2015","6:00 pm","Boston Celtics","91","Orlando Magic","110"
"254","Sun, Nov 29, 2015","6:00 pm","Phoenix Suns","107","Toronto Raptors","102"
"255","Mon, Nov 30, 2015","8:00 pm","Oklahoma City Thunder","100","Atlanta Hawks","106"
"256","Mon, Nov 30, 2015","8:00 pm","San Antonio Spurs","89","Chicago Bulls","92"
"257","Mon, Nov 30, 2015","7:30 pm","Houston Rockets","105","Detroit Pistons","116"
"258","Mon, Nov 30, 2015","10:30 pm","Portland Trail Blazers","87","Los Angeles Clippers","102"
"259","Mon, Nov 30, 2015","7:30 pm","Boston Celtics","105","Miami Heat","95"
"260","Mon, Nov 30, 2015","8:00 pm","Denver Nuggets","74","Milwaukee Bucks","92"
"261","Mon, Nov 30, 2015","10:00 pm","Dallas Mavericks","98","Sacramento Kings","112"
"262","Mon, Nov 30, 2015","9:00 pm","Golden State Warriors","106","Utah Jazz","103"
"263","Tue, Dec 1, 2015","7:30 pm","Phoenix Suns","91","Brooklyn Nets","94"
"264","Tue, Dec 1, 2015","7:00 pm","Washington Wizards","97","Cleveland Cavaliers","85"
"265","Tue, Dec 1, 2015","8:00 pm","Orlando Magic","96","Minnesota Timberwolves","93"
"266","Tue, Dec 1, 2015","8:00 pm","Memphis Grizzlies","113","New Orleans Pelicans","104"
"267","Tue, Dec 1, 2015","7:00 pm","Los Angeles Lakers","91","Philadelphia 76ers","103"
"268","Tue, Dec 1, 2015","10:00 pm","Dallas Mavericks","115","Portland Trail Blazers","112"
"269","Wed, Dec 2, 2015","8:00 pm","Toronto Raptors","96","Atlanta Hawks","86"
"270","Wed, Dec 2, 2015","8:00 pm","Denver Nuggets","90","Chicago Bulls","99"
"271","Wed, Dec 2, 2015","7:00 pm","Golden State Warriors","116","Charlotte Hornets","99"
"272","Wed, Dec 2, 2015","7:30 pm","Phoenix Suns","122","Detroit Pistons","127"
"273","Wed, Dec 2, 2015","8:00 pm","New Orleans Pelicans","101","Houston Rockets","108"
"274","Wed, Dec 2, 2015","10:30 pm","Indiana Pacers","103","Los Angeles Clippers","91"
"275","Wed, Dec 2, 2015","7:30 pm","Philadelphia 76ers","87","New York Knicks","99"
"276","Wed, Dec 2, 2015","8:30 pm","Milwaukee Bucks","70","San Antonio Spurs","95"
"277","Wed, Dec 2, 2015","7:00 pm","Los Angeles Lakers","108","Washington Wizards","104"
"278","Thu, Dec 3, 2015","9:30 pm","San Antonio Spurs","103","Memphis Grizzlies","83"
"279","Thu, Dec 3, 2015","7:00 pm","Oklahoma City Thunder","95","Miami Heat","97"
"280","Thu, Dec 3, 2015","10:00 pm","Indiana Pacers","111","Portland Trail Blazers","123"
"281","Thu, Dec 3, 2015","10:00 pm","Boston Celtics","114","Sacramento Kings","97"
"282","Thu, Dec 3, 2015","7:30 pm","Denver Nuggets","106","Toronto Raptors","105"
"283","Thu, Dec 3, 2015","9:00 pm","Orlando Magic","103","Utah Jazz","94"
"284","Fri, Dec 4, 2015","8:00 pm","Los Angeles Lakers","87","Atlanta Hawks","100"
"285","Fri, Dec 4, 2015","8:30 pm","Houston Rockets","100","Dallas Mavericks","96"
"286","Fri, Dec 4, 2015","7:30 pm","Milwaukee Bucks","95","Detroit Pistons","102"
"287","Fri, Dec 4, 2015","9:30 pm","Cleveland Cavaliers","108","New Orleans Pelicans","114"
"288","Fri, Dec 4, 2015","7:00 pm","Brooklyn Nets","91","New York Knicks","108"
"289","Fri, Dec 4, 2015","7:00 pm","Phoenix Suns","106","Washington Wizards","109"
