"","Date","Atlanta Hawks","Boston Celtics","Brooklyn Nets","Charlotte Hornets","Chicago Bulls","Cleveland Cavaliers","Dallas Mavericks","Denver Nuggets","Detroit Pistons","Golden State Warriors","Houston Rockets","Indiana Pacers","Los Angeles Clippers","Los Angeles Lakers","Memphis Grizzlies","Miami Heat","Milwaukee Bucks","Minnesota Timberwolves","New Orleans Pelicans","New York Knicks","Oklahoma City Thunder","Orlando Magic","Philadelphia 76ers","Phoenix Suns","Portland Trail Blazers","Sacramento Kings","San Antonio Spurs","Toronto Raptors","Utah Jazz","Washington Wizards"
"1","Initial",1561.84355,1519.678625,1469.5529,1569.533975,1426.797875,1645.314425,1543.68725,1443.02135,1472.0588,1742.966075,1617.226925,1504.903475,1647.157325,1338.679625,1582.509125,1468.145075,1458.70355,1324.2185,1521.178175,1318.01345,1563.671375,1360.168625,1333.391825,1476.3812,1543.804175,1439.96015,1666.97255,1501.545425,1542.71405,1535.828375
"2","Tue, Oct 27, 2015",1552.47635835371,1519.678625,1469.5529,1569.533975,1429.6682381908,1642.4440618092,1543.68725,1443.02135,1481.42599164629,1760.44977200307,1617.226925,1504.903475,1647.157325,1338.679625,1582.509125,1468.145075,1458.70355,1324.2185,1503.69447799693,1318.01345,1563.671375,1360.168625,1333.391825,1476.3812,1543.804175,1439.96015,1666.97255,1501.545425,1542.71405,1535.828375
"3","Wed, Oct 28, 2015",1552.47635835371,1537.43737709668,1457.23522425602,1560.67430807621,1441.98591393478,1666.87266651294,1559.57999051865,1453.23774299503,1488.09521681456,1760.44977200307,1607.01053200497,1495.82102374379,1658.23081938631,1334.76051152689,1558.08052029626,1477.00474192379,1445.39945187243,1328.13761347311,1488.42498561038,1331.31754812757,1570.23849037229,1354.97149735744,1315.63307290332,1460.48845948135,1559.07366738655,1428.88665561369,1660.40543462771,1510.62787625621,1536.04482483173,1541.02550264256
"4","Thu, Oct 29, 2015",1567.09556113977,1537.43737709668,1457.23522425602,1560.67430807621,1441.98591393478,1666.87266651294,1544.09450123548,1453.23774299503,1488.09521681456,1760.44977200307,1607.01053200497,1484.90505108782,1673.71630866948,1334.76051152689,1568.99649295223,1477.00474192379,1445.39945187243,1328.13761347311,1488.42498561038,1316.69834534152,1570.23849037229,1354.97149735744,1315.63307290332,1460.48845948135,1559.07366738655,1428.88665561369,1660.40543462771,1510.62787625621,1536.04482483173,1541.02550264256
"5","Fri, Oct 30, 2015",1572.34276046052,1527.64911064424,1432.35142882929,1555.42710875546,1435.57631298784,1679.4908563944,1544.09450123548,1442.5811340257,1494.5048177615,1781.09373726123,1586.36656674681,1484.90505108782,1673.71630866948,1318.09071723172,1568.99649295223,1464.38655204233,1437.10700312466,1338.79422244244,1488.42498561038,1316.69834534152,1577.63488931708,1347.57509841265,1288.032250992,1473.59127886671,1545.97084800119,1445.55644990886,1685.28923005444,1520.41614270866,1563.64564674304,1549.31795139033
"6","Sat, Oct 31, 2015",1572.34276046052,1527.64911064424,1420.3607010739,1555.42710875546,1435.57631298784,1679.4908563944,1544.09450123548,1442.5811340257,1494.5048177615,1798.67564969409,1586.36656674681,1465.40911104551,1682.50188630417,1318.09071723172,1580.98722070762,1464.38655204233,1437.10700312466,1338.79422244244,1470.84307317753,1320.99129632269,1577.63488931708,1347.57509841265,1288.032250992,1482.87911875285,1536.68300811505,1436.77087227417,1685.28923005444,1520.41614270866,1583.14158678535,1545.02500040915
"7","Sun, Nov 1, 2015",1577.34203612762,1516.16036292218,1420.3607010739,1550.42783308836,1443.21077498055,1679.4908563944,1557.91006620016,1421.10291511874,1494.5048177615,1798.67564969409,1573.16817807648,1465.40911104551,1682.50188630417,1304.27515226704,1580.98722070762,1477.58494071266,1420.07694169016,1338.79422244244,1470.84307317753,1320.99129632269,1599.11310822404,1339.94063641994,1288.032250992,1482.87911875285,1536.68300811505,1436.77087227417,1696.7779777765,1537.44620414315,1583.14158678535,1545.02500040915
"8","Mon, Nov 2, 2015",1577.34203612762,1516.16036292218,1411.95289876156,1550.42783308836,1443.21077498055,1691.08586106687,1557.91006620016,1421.10291511874,1494.5048177615,1838.29699525124,1580.41073979305,1465.40911104551,1691.97491714249,1304.27515226704,1541.36587515046,1477.58494071266,1428.4847440025,1329.58950309075,1470.84307317753,1306.67891276756,1591.87054650747,1339.94063641994,1276.43724631953,1473.40608791453,1545.88772746674,1436.77087227417,1711.09036133163,1537.44620414315,1583.14158678535,1545.02500040915
"9","Tue, Nov 3, 2015",1586.5047165799,1516.16036292218,1411.95289876156,1571.79333887415,1421.84526919477,1691.08586106687,1547.37403215125,1434.43716751429,1483.58665895909,1838.29699525124,1580.41073979305,1476.32726984792,1691.97491714249,1290.94089987149,1556.70329600292,1468.42226026038,1428.4847440025,1329.58950309075,1463.88361065288,1306.67891276756,1591.87054650747,1346.90009894459,1276.43724631953,1473.40608791453,1545.88772746674,1421.43345142172,1711.09036133163,1547.98223819207,1583.14158678535,1545.02500040915
"10","Wed, Nov 4, 2015",1601.94330702208,1511.34091736186,1396.51430831938,1571.79333887415,1421.84526919477,1704.56920714902,1547.37403215125,1434.43716751429,1483.58665895909,1845.68245465785,1589.22327696873,1481.14671540825,1684.58945773588,1290.94089987149,1556.70329600292,1468.42226026038,1435.9145697554,1329.58950309075,1463.88361065288,1293.19556668541,1585.49353792886,1338.08756176891,1269.00742056663,1490.76022096906,1558.83035873499,1404.07931836718,1707.14584530461,1554.35924677068,1570.19895551709,1548.96951643617
"11","Thu, Nov 5, 2015",1601.94330702208,1511.34091736186,1396.51430831938,1585.29377736631,1427.3426705641,1704.56920714902,1533.87359365909,1420.0362412293,1483.58665895909,1845.68245465785,1589.22327696873,1481.14671540825,1684.58945773588,1290.94089987149,1541.99981791833,1482.87083953962,1435.9145697554,1315.14092381151,1463.88361065288,1293.19556668541,1579.99613655952,1338.08756176891,1269.00742056663,1490.76022096906,1573.53383681957,1404.07931836718,1707.14584530461,1554.35924677068,1584.59988180208,1548.96951643617
"12","Fri, Nov 6, 2015",1611.53703772801,1527.76205886026,1390.55852080504,1585.29377736631,1427.3426705641,1714.58017401028,1533.87359365909,1402.58603495432,1492.5298580193,1863.13266093283,1599.24238513547,1487.20239664724,1684.58945773588,1296.89668738583,1541.99981791833,1476.81515830063,1446.40345132143,1315.14092381151,1454.28987994695,1282.70668511939,1579.99613655952,1342.30017087143,1258.99645370537,1481.81702190885,1573.53383681957,1394.06021020044,1707.14584530461,1550.14663766816,1584.59988180208,1532.54837493777
"13","Sat, Nov 7, 2015",1625.94642434529,1527.76205886026,1381.19917487393,1566.69423161579,1419.98716326043,1714.58017401028,1544.30081606837,1402.58603495432,1492.5298580193,1876.39703981312,1604.39553947328,1487.20239664724,1679.43630339807,1296.89668738583,1531.54850920982,1476.81515830063,1455.76279725254,1322.49643111518,1443.86265753767,1282.70668511939,1579.99613655952,1352.81489336353,1248.48173121326,1481.81702190885,1573.53383681957,1380.79583132016,1725.74539105513,1550.14663766816,1595.05119051059,1518.13898832049
"14","Sun, Nov 8, 2015",1625.94642434529,1527.76205886026,1381.19917487393,1566.69423161579,1419.98716326043,1722.47199010909,1544.30081606837,1402.58603495432,1504.60539481044,1876.39703981312,1604.39553947328,1479.31058054844,1679.43630339807,1290.22060213532,1531.54850920982,1491.87713839506,1455.76279725254,1322.49643111518,1443.86265753767,1289.3827703699,1598.65157823999,1352.81489336353,1248.48173121326,1463.16158022838,1561.45830002844,1380.79583132016,1725.74539105513,1535.08465757373,1595.05119051059,1518.13898832049
"15","Mon, Nov 9, 2015",1621.87754982524,1527.76205886026,1381.19917487393,1566.69423161579,1443.1379978038,1722.47199010909,1544.30081606837,1407.14957386817,1487.89606844189,1893.10636618167,1604.39553947328,1493.30200980678,1685.08821789419,1290.22060213532,1525.8965947137,1491.87713839506,1455.76279725254,1326.56530563523,1443.86265753767,1289.3827703699,1598.65157823999,1338.82346410519,1225.33089666989,1463.16158022838,1556.89476111459,1359.8046174633,1746.73660491199,1535.08465757373,1595.05119051059,1518.13898832049
"16","Tue, Nov 10, 2015",1621.87754982524,1543.7709114938,1381.19917487393,1579.74817701895,1443.1379978038,1729.70175515537,1532.7766010392,1407.14957386817,1487.89606844189,1893.10636618167,1604.39553947328,1493.30200980678,1685.08821789419,1275.18781666642,1525.8965947137,1506.90992386396,1439.75394461899,1313.51136023207,1455.38687256684,1291.73477989709,1620.13005471524,1338.82346410519,1225.33089666989,1463.16158022838,1556.89476111459,1359.8046174633,1746.73660491199,1532.73264804654,1587.82142546431,1496.66051184524
"17","Wed, Nov 11, 2015",1632.6961677814,1533.9514520519,1385.99017013423,1585.94253718111,1443.1379978038,1729.70175515537,1540.41775090032,1411.24807260233,1480.19062681136,1912.49722271647,1599.60454421298,1503.12146924868,1677.44706803307,1270.14134804639,1506.50573817889,1506.90992386396,1435.65544588483,1313.51136023207,1444.56825461067,1285.54041973494,1620.13005471524,1343.86993272523,1206.04930576827,1463.16158022838,1541.76375887739,1367.51005909382,1761.86760714919,1552.01423894817,1587.82142546431,1496.66051184524
"18","Thu, Nov 12, 2015",1632.6961677814,1533.9514520519,1385.99017013423,1585.94253718111,1443.1379978038,1729.70175515537,1540.41775090032,1411.24807260233,1480.19062681136,1928.55340468607,1599.60454421298,1503.12146924868,1669.69592280794,1270.14134804639,1506.50573817889,1510.55470850894,1435.65544588483,1297.45517826247,1444.56825461067,1285.54041973494,1620.13005471524,1343.86993272523,1206.04930576827,1470.91272545351,1541.76375887739,1367.51005909382,1761.86760714919,1552.01423894817,1584.17664081932,1496.66051184524
"19","Fri, Nov 13, 2015",1622.15966068217,1544.48795915114,1380.9360173867,1580.60912845215,1448.47140653276,1740.29135345771,1551.9856640466,1417.64267867318,1480.19062681136,1928.55340468607,1593.20993814213,1510.90310890758,1669.69592280794,1258.57343490011,1510.57970447777,1510.55470850894,1435.65544588483,1289.67353860357,1426.94617569792,1274.9508214326,1639.13542936607,1349.23275017916,1187.04393111744,1470.91272545351,1537.68979257852,1372.56421184135,1761.86760714919,1569.63631786092,1578.81382336538,1496.66051184524
"20","Sat, Nov 14, 2015",1622.15966068217,1544.48795915114,1369.46496648279,1580.60912845215,1448.47140653276,1737.85121513827,1562.59762676976,1398.53089501088,1471.63624028006,1940.02445558998,1582.59797541897,1510.90310890758,1678.25030933925,1258.57343490011,1510.57970447777,1510.55470850894,1438.09558420426,1289.67353860357,1426.94617569792,1274.9508214326,1639.13542936607,1337.85245301957,1174.84727862466,1490.02450911581,1537.68979257852,1372.56421184135,1774.06425964197,1569.63631786092,1578.81382336538,1508.04080900483
"21","Sun, Nov 15, 2015",1618.4922420401,1555.18155086103,1369.46496648279,1592.33485237361,1448.47140653276,1737.85121513827,1562.59762676976,1398.53089501088,1464.59453298942,1940.02445558998,1582.59797541897,1510.90310890758,1678.25030933925,1265.61514219075,1522.63205540984,1510.55470850894,1438.09558420426,1277.62118767149,1420.25444104298,1281.64255608754,1628.44183765617,1337.85245301957,1174.84727862466,1490.02450911581,1525.96406865706,1377.50085253588,1774.06425964197,1564.6996771664,1582.48124200745,1508.04080900483
"22","Mon, Nov 16, 2015",1618.4922420401,1568.42349604884,1369.46496648279,1592.33485237361,1452.29108146055,1737.85121513827,1573.2576312513,1398.53089501088,1464.59453298942,1940.02445558998,1569.35603023117,1507.0834339798,1678.25030933925,1245.92423052885,1530.28951968707,1510.55470850894,1438.09558420426,1277.62118767149,1420.25444104298,1281.64255608754,1620.78437337894,1337.85245301957,1164.18727414312,1509.71542077771,1510.50304055525,1377.50085253588,1789.52528774378,1564.6996771664,1582.48124200745,1508.04080900483
"23","Tue, Nov 17, 2015",1615.91063700762,1568.42349604884,1372.04657151527,1588.4605729586,1452.29108146055,1734.40393257324,1573.2576312513,1412.50660303354,1468.04181555445,1949.16775146834,1569.35603023117,1507.0834339798,1678.25030933925,1245.92423052885,1530.28951968707,1504.6235295494,1415.58500389135,1283.55236663104,1406.27873302031,1285.51683550254,1620.78437337894,1337.85245301957,1164.18727414312,1509.71542077771,1510.50304055525,1377.50085253588,1789.52528774378,1555.55638128804,1582.48124200745,1530.55138931774
