No,Player,EFF
1,R. Westbrook,33.9
2,J. Harden,32.5
3,A. Davis,31.4
4,L. James,31.3
5,K. Towns,30.3
6,K. Durant,30.3
7,D. Cousins,28.6
8,G. Antetokounmpo,28.4
9,H. Whiteside,25.5
10,K. Leonard,25.5
11,J. Butler,25.4
12,J. Wall,25.3
13,C. Paul,25.3
14,N. Jokic,25.1
15,S. Curry,25.1
16,R. Gobert,24.5
17,I. Thomas,24.4
18,D. Lillard,24.3
19,D. Jordan,23.7
20,B. Griffin,23.7
21,K. Lowry,23.3
22,P. George,22.9
23,K. Love,22.4
24,D. DeRozan,22.3
25,K. Irving,22.1
26,D. Howard,21.5
27,A. Drummond,21.3
28,M. Gasol,21.2
29,M. Conley,21
30,G. Hayward,21
31,K. Walker,20.9
32,E. Bledsoe,20.8
33,D. Green,20.6
34,J. Embiid,20.6
35,N. Vucevic,20.2
36,P. Millsap,20.1
37,C. McCollum,19.8
38,A. Horford,19.8
39,J. Parker,19.4
40,G. Dragic,19.3
41,B. Beal,19.2
42,J. Teague,19.2
43,R. Gay,19
44,C. Anthony,18.9
45,B. Lopez,18.8
46,L. Aldridge,18.6
47,K. Porzingis,18.6
48,M. Turner,18.5
49,M. Gortat,18.4
50,N. Batum,18.3
51,T. Chandler,18.1
52,D. Gallinari,17.9
53,R. Rubio,17.9
54,J. Holiday,17.8
55,J. Randle,17.7
56,K. Thompson,17.7
57,C. Capela,17.6
58,O. Porter Jr.,17.6
59,J. Valanciunas,17.5
60,A. Wiggins,16.9
61,P. Gasol,16.9
62,G. Hill,16.8
63,E. Payton,16.7
64,M. Plumlee,16.6
65,D. Schroder,16.6
66,S. Ibaka,16.6
67,D. Rose,16.4
68,D. Wade,16.4
69,H. Barnes,16.4
70,G. Dieng,16.3
71,A. Bradley,16.2
72,J. Crowder,16
73,Z. LaVine,15.9
74,W. Chandler,15.9
75,T. Harris,15.8
76,G. Monroe,15.7
77,J. Lin,15.5
78,T. Thompson,15.4
79,E. Kanter,15.4
80,D. Booker,15.3
81,M. Morris,15.3
82,S. Adams,15.3
83,K. Middleton,15.3
84,C. Zeller,15.3
85,Z. Randolph,15.3
86,D. Nowitzki,15.2
87,T. Booker,15.2
88,J. Johnson,15.2
89,P. Beverley,15
90,G. Harris,14.9
91,R. Covington,14.8
92,T. Warren,14.8
93,L. Williams,14.5
94,T. Young,14.5
95,K. Faried,14.4
96,M. Williams,14.2
97,T. Johnson,14.2
98,V. Oladipo,14.2
99,M. Kidd-Gilchrist,14.2
100,T. Ariza,14.2
101,W. Barton,14.1
102,D. Russell,14
103,R. Rondo,14
104,D. Collison,13.8
105,N. Noel,13.6
106,J. Nurkic,13.5
107,E. Fournier,13.5
108,E. Ilyasova,13.4
109,R. Lopez,13.4
