"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"1",1,"10/26/16","","DAL","W",130,121,47,93,0.505,10,19,0.526,26,34,0.765,8,52,30,11,6,16,23,45,104,0.433,18,48,0.375,13,18,0.722,10,49,26,8,8,15,27
"2",2,"10/28/16","@","BRK","L",94,103,37,98,0.378,7,24,0.292,13,20,0.65,14,49,22,7,6,13,22,38,87,0.437,10,33,0.303,17,20,0.85,12,52,20,6,4,16,23
"3",3,"10/29/16","@","CHI","L",101,118,43,88,0.489,7,18,0.389,8,9,0.889,8,33,34,8,7,13,16,45,86,0.523,9,21,0.429,19,21,0.905,13,47,34,8,6,12,14
"4",4,"11/1/16","","LAL","W",115,108,41,87,0.471,10,28,0.357,23,29,0.793,11,43,19,10,8,15,20,40,89,0.449,6,28,0.214,22,25,0.88,11,44,14,8,2,19,25
"5",5,"11/3/16","@","MIL","L",107,125,38,81,0.469,10,23,0.435,21,27,0.778,10,32,29,14,4,21,23,47,82,0.573,12,27,0.444,19,24,0.792,12,41,32,10,6,21,23
"6",6,"11/5/16","","CHI","W",111,94,46,86,0.535,12,26,0.462,7,12,0.583,8,36,27,8,9,11,20,34,79,0.43,6,18,0.333,20,25,0.8,13,40,17,8,5,16,13
"7",7,"11/7/16","@","CHO","L",100,122,40,94,0.426,9,33,0.273,11,15,0.733,12,52,23,8,4,18,25,41,84,0.488,12,32,0.375,28,32,0.875,3,43,30,12,4,11,15
"8",8,"11/9/16","","PHI","W",122,115,49,90,0.544,9,19,0.474,15,20,0.75,7,43,25,9,6,16,17,46,95,0.484,14,36,0.389,9,19,0.474,10,43,23,11,6,17,21
"9",9,"11/11/16","@","PHI","L",105,109,39,88,0.443,5,19,0.263,22,23,0.957,4,40,23,14,3,13,28,36,86,0.419,11,32,0.344,26,31,0.839,13,54,24,7,6,19,21
"10",10,"11/12/16","","BOS","L",99,105,36,86,0.419,6,27,0.222,21,28,0.75,11,40,17,9,9,13,22,35,80,0.438,8,25,0.32,27,33,0.818,15,47,22,7,7,13,21
