"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"1",1,1,"10/27/16","@","POR","W",114,106,37,91,0.407,8,29,0.276,32,46,0.696,15,48,12,10,4,7,25,14.2777777777778,39,85,0.459,4,18,0.222,24,32,0.75,9,48,18,4,4,14,34,14.275
"2",2,2,"10/30/16","","UTA","W",88,75,34,83,0.41,6,27,0.222,14,20,0.7,14,49,17,8,4,13,14,14.2777777777778,29,73,0.397,7,19,0.368,10,13,0.769,7,43,18,8,2,18,22,11.42
"3",3,3,"10/31/16","","PHO","W",116,98,40,80,0.5,6,16,0.375,30,38,0.789,5,44,21,8,4,16,23,14.2777777777778,35,84,0.417,5,15,0.333,23,31,0.742,10,44,19,11,0,20,33,11.59
"4",4,4,"11/2/16","","OKC","L",83,85,34,87,0.391,7,22,0.318,8,18,0.444,8,41,22,13,5,17,19,14.5333333333333,34,84,0.405,5,20,0.25,12,20,0.6,10,52,14,8,4,21,24,12.6
"5",5,5,"11/4/16","@","MEM","W",99,88,32,85,0.376,8,27,0.296,27,33,0.818,11,47,19,17,6,11,23,14.2777777777778,31,84,0.369,9,26,0.346,17,22,0.773,13,48,26,4,9,18,28,12.1
"6",6,6,"11/5/16","@","SAS","W",116,92,47,91,0.516,9,23,0.391,13,14,0.929,7,41,24,8,6,8,19,14.2777777777778,30,74,0.405,10,25,0.4,22,25,0.88,7,40,19,5,5,15,18,10.3666666666667
"7",7,7,"11/7/16","","DET","W",114,82,41,76,0.539,13,25,0.52,19,22,0.864,2,46,28,8,7,10,20,14.2777777777778,30,82,0.366,4,12,0.333,18,26,0.692,11,39,14,5,2,11,19,10.91
"8",8,8,"11/9/16","","POR","W",111,80,38,87,0.437,11,32,0.344,24,33,0.727,14,55,24,9,7,7,15,14.2777777777778,31,88,0.352,6,30,0.2,12,14,0.857,11,47,16,4,3,14,23,11.29
"9",9,9,"11/11/16","@","OKC","W",110,108,39,86,0.453,11,27,0.407,21,35,0.6,11,45,18,9,3,10,20,14.2777777777778,38,88,0.432,16,28,0.571,16,19,0.842,9,45,21,3,1,16,27,12.4222222222222
"10",10,10,"11/12/16","@","MIN","W",119,105,40,76,0.526,11,24,0.458,28,37,0.757,9,42,25,7,4,14,19,14.5333333333333,40,89,0.449,8,22,0.364,17,21,0.81,15,39,26,11,3,13,31,13.7333333333333
"11",11,11,"11/14/16","","BRK","W",127,95,48,90,0.533,14,25,0.56,17,21,0.81,9,43,32,17,6,11,22,14.5333333333333,34,77,0.442,10,33,0.303,17,22,0.773,9,37,18,6,2,21,21,8.9
"12",12,12,"11/16/16","","MEM","L",107,111,37,81,0.457,9,25,0.36,24,34,0.706,8,36,15,13,7,8,19,15.5125,40,82,0.488,15,26,0.577,16,19,0.842,9,43,24,6,2,15,22,12.5875
"13",13,13,"11/18/16","@","SAC","W",121,115,40,76,0.526,13,29,0.448,28,34,0.824,5,37,27,7,6,14,24,15.5125,38,86,0.442,10,26,0.385,29,35,0.829,9,37,21,7,4,14,24,14.4
"14",14,14,"11/19/16","","CHI","W",102,95,36,77,0.468,11,27,0.407,19,23,0.826,12,39,20,6,2,14,20,15.5125,33,77,0.429,9,30,0.3,20,24,0.833,15,40,17,8,4,10,20,12.5888888888889
"15",15,15,"11/21/16","","TOR","W",123,115,39,74,0.527,10,25,0.4,35,42,0.833,6,42,23,5,4,14,24,14.2777777777778,40,80,0.5,8,19,0.421,27,32,0.844,4,32,19,10,2,11,31,13.0222222222222
"16",16,16,"11/23/16","@","DAL","W",124,104,43,85,0.506,15,32,0.469,23,31,0.742,6,43,26,11,4,9,17,14.2777777777778,38,84,0.452,11,24,0.458,17,18,0.944,10,44,23,7,3,16,24,11.03
