"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"1",1,1,"10/27/15","","NOP","W",111,95,41,96,0.427,9,30,0.3,20,22,0.909,21,56,29,8,7,20,29,14.34,35,83,0.422,6,18,0.333,19,27,0.704,8,33,21,9,3,18,26,10.8666666666667
"2",2,2,"10/30/15","@","HOU","W",112,92,43,93,0.462,9,26,0.346,17,25,0.68,11,47,26,9,4,8,24,14.4111111111111,30,82,0.366,5,23,0.217,27,36,0.75,12,49,19,3,9,16,20,12.5333333333333
"3",3,3,"10/31/15","@","NOP","W",134,120,46,84,0.548,17,30,0.567,25,35,0.714,3,38,26,10,4,10,24,13.52,46,100,0.46,8,22,0.364,20,23,0.87,16,48,22,4,4,15,23,11.9444444444444
"4",4,4,"11/2/15","","MEM","W",119,69,43,84,0.512,11,25,0.44,22,30,0.733,10,65,32,8,13,14,15,12.0166666666667,26,96,0.271,3,23,0.13,14,20,0.7,11,44,21,8,7,11,24,11.6272727272727
"5",5,5,"11/4/15","","LAC","W",112,108,39,85,0.459,10,26,0.385,24,31,0.774,9,42,28,6,5,12,22,14.4111111111111,43,88,0.489,8,22,0.364,14,22,0.636,10,41,24,6,4,11,26,13.45
"6",6,6,"11/6/15","","DEN","W",119,104,46,93,0.495,17,37,0.459,10,18,0.556,13,53,40,10,6,20,22,14.4111111111111,39,92,0.424,8,24,0.333,18,22,0.818,10,44,23,13,5,19,20,12.4777777777778
"7",7,7,"11/7/15","@","SAC","W",103,94,38,92,0.413,8,39,0.205,19,22,0.864,15,46,27,13,2,18,15,15.3125,38,87,0.437,6,19,0.316,12,16,0.75,13,45,26,9,3,21,19,10.9555555555556
"8",8,8,"11/9/15","","DET","W",109,95,43,91,0.473,12,21,0.571,11,13,0.846,13,41,29,13,4,16,18,15.1333333333333,40,85,0.471,6,19,0.316,9,15,0.6,12,41,15,9,3,20,14,11.6444444444444
"9",9,9,"11/11/15","@","MEM","W",100,84,36,75,0.48,11,27,0.407,17,23,0.739,7,36,22,12,8,23,30,15.1333333333333,24,70,0.343,3,15,0.2,33,36,0.917,10,41,15,14,5,21,26,11.9888888888889
"10",10,10,"11/12/15","@","MIN","W",129,116,48,89,0.539,18,38,0.474,15,16,0.938,6,33,34,8,7,11,25,16.25,43,87,0.494,3,9,0.333,27,36,0.75,15,47,21,4,1,13,18,10.74
"11",11,11,"11/14/15","","BRK","W",107,99,43,97,0.443,12,34,0.353,9,10,0.9,11,50,31,9,10,14,19,14.6625,41,98,0.418,2,18,0.111,15,16,0.938,11,50,22,12,4,12,13,13.025
"12",12,12,"11/17/15","","TOR","W",115,110,43,80,0.538,11,29,0.379,18,27,0.667,9,34,31,10,6,20,29,15.8875,37,79,0.468,6,18,0.333,30,39,0.769,12,40,18,11,2,18,25,14.0571428571429
"13",13,13,"11/19/15","@","LAC","W",124,117,38,73,0.521,17,30,0.567,31,36,0.861,8,44,31,4,4,19,20,16.0125,44,88,0.5,13,29,0.448,16,24,0.667,9,35,21,11,2,10,25,14.1
"14",14,14,"11/20/15","","CHI","W",106,94,39,79,0.494,10,29,0.345,18,24,0.75,11,49,20,7,6,15,15,16.25,35,88,0.398,7,22,0.318,17,23,0.739,15,43,22,11,2,12,19,12.2333333333333
"15",15,15,"11/22/15","@","DEN","W",118,105,47,89,0.528,15,29,0.517,9,13,0.692,11,46,35,15,8,21,25,15.1333333333333,37,86,0.43,4,15,0.267,27,35,0.771,13,41,23,9,3,19,15,11.925
"16",16,16,"11/24/15","","LAL","W",111,77,45,92,0.489,12,35,0.343,9,15,0.6,12,48,32,9,6,8,13,13.5272727272727,31,83,0.373,3,21,0.143,12,16,0.75,8,45,16,8,2,14,15,10.1272727272727
"17",17,17,"11/27/15","@","PHO","W",135,116,46,81,0.568,22,38,0.579,21,31,0.677,11,53,32,7,9,23,26,13.2090909090909,45,92,0.489,10,26,0.385,16,23,0.696,7,30,21,13,2,14,26,10.7181818181818
"18",18,18,"11/28/15","","SAC","W",120,101,39,80,0.488,16,30,0.533,26,31,0.839,13,48,32,8,7,14,19,13.62,39,100,0.39,10,25,0.4,13,15,0.867,19,48,22,9,7,14,24,11.9666666666667
"19",19,19,"11/30/15","@","UTA","W",106,103,40,82,0.488,14,29,0.483,12,15,0.8,14,45,21,2,5,15,19,14.3333333333333,40,89,0.449,6,19,0.316,17,22,0.773,10,35,18,9,2,8,16,11.9111111111111
"20",20,20,"12/2/15","@","CHO","W",116,99,46,88,0.523,16,34,0.471,8,11,0.727,11,53,31,2,9,18,23,13.62,35,94,0.372,9,31,0.29,20,30,0.667,13,41,19,10,7,8,13,11.11
