"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"1",1,1,"10/25/16","","SAS","L",100,129,40,85,0.471,7,33,0.212,13,18,0.722,8,35,24,11,6,16,19,15.4666666666667,47,98,0.48,12,24,0.5,23,26,0.885,21,55,25,13,3,13,19,12.48
"2",2,2,"10/28/16","@","NOP","W",122,114,44,91,0.484,9,28,0.321,25,28,0.893,9,49,32,8,2,14,22,17.8142857142857,47,100,0.47,5,22,0.227,15,23,0.652,12,49,29,8,5,13,24,11.6555555555556
"3",3,3,"10/30/16","@","PHO","W",106,100,35,83,0.422,8,29,0.276,28,33,0.848,7,43,27,6,5,15,23,16.3875,37,90,0.411,8,23,0.348,18,25,0.72,11,50,19,10,6,11,26,12.5222222222222
"4",4,4,"11/1/16","@","POR","W",127,104,50,89,0.562,10,26,0.385,17,23,0.739,7,45,36,14,4,16,19,15.4666666666667,37,86,0.43,14,39,0.359,16,21,0.762,6,32,23,12,4,18,17,12.59
"5",5,5,"11/3/16","","OKC","W",122,96,46,89,0.517,14,30,0.467,16,20,0.8,15,46,27,9,14,15,18,15.0666666666667,35,87,0.402,10,27,0.37,16,28,0.571,13,41,20,8,6,16,20,10.54
"6",6,6,"11/4/16","@","LAL","L",97,117,39,86,0.453,5,32,0.156,14,20,0.7,9,40,26,13,3,20,13,15.0666666666667,45,95,0.474,8,30,0.267,19,21,0.905,16,51,26,9,5,16,19,11.7333333333333
"7",7,7,"11/7/16","","NOP","W",116,106,45,90,0.5,16,35,0.457,10,12,0.833,10,38,35,14,4,15,17,15.4666666666667,39,80,0.488,7,21,0.333,21,27,0.778,11,43,26,8,1,19,16,11.5111111111111
"8",8,8,"11/9/16","","DAL","W",116,95,43,74,0.581,17,33,0.515,13,22,0.591,5,39,33,3,5,15,22,13.4818181818182,34,86,0.395,6,28,0.214,21,28,0.75,13,42,20,10,2,7,20,10.1625
"9",9,9,"11/10/16","@","DEN","W",125,101,46,85,0.541,14,30,0.467,19,20,0.95,9,44,33,15,6,15,18,13.8,38,94,0.404,13,36,0.361,12,17,0.706,17,44,26,7,3,18,18,13.2
"10",10,10,"11/13/16","","PHO","W",133,120,45,87,0.517,16,33,0.485,27,31,0.871,8,43,32,8,7,16,20,16.1625,46,90,0.511,8,24,0.333,20,26,0.769,8,38,27,10,3,13,29,10.92
"11",11,11,"11/16/16","@","TOR","W",127,121,44,87,0.506,13,36,0.361,26,28,0.929,7,35,33,9,7,12,25,15.2666666666667,37,82,0.451,10,25,0.4,37,41,0.902,13,46,16,8,1,14,22,12.67
"12",12,12,"11/18/16","@","BOS","W",104,88,44,90,0.489,9,28,0.321,7,12,0.583,9,50,33,10,7,11,20,15.2666666666667,31,83,0.373,11,32,0.344,15,19,0.789,7,43,19,6,3,13,12,9.8
