"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"1",1,1,"10/27/16","","WAS","W",114,99,44,88,0.5,12,26,0.462,14,18,0.778,14,52,28,13,7,21,19,11.4666666666667,40,94,0.426,6,20,0.3,13,18,0.722,12,40,25,14,4,19,20,12.5142857142857
"2",2,2,"10/29/16","@","PHI","W",104,72,42,85,0.494,5,20,0.25,15,23,0.652,6,47,31,11,7,12,14,10.95,28,80,0.35,5,18,0.278,11,15,0.733,4,39,16,9,5,20,20,11.3636363636364
"3",3,3,"10/31/16","","SAC","W",106,95,33,79,0.418,11,30,0.367,29,47,0.617,17,43,24,11,6,13,20,10.95,36,75,0.48,10,23,0.435,13,19,0.684,6,38,26,10,6,19,34,12.27
"4",4,4,"11/2/16","","LAL","L",116,123,41,85,0.482,11,32,0.344,23,29,0.793,10,37,30,10,1,18,19,10.95,48,90,0.533,9,22,0.409,18,20,0.9,11,42,24,11,9,15,25,11.7333333333333
"5",5,5,"11/4/16","@","WAS","L",92,95,32,83,0.386,5,25,0.2,23,36,0.639,10,47,22,12,3,18,24,11.4666666666667,31,80,0.388,5,20,0.25,28,35,0.8,11,46,13,7,3,19,23,13.1428571428571
"6",6,6,"11/5/16","","HOU","W",112,97,45,85,0.529,8,20,0.4,14,24,0.583,13,44,29,17,6,19,13,11.4666666666667,37,85,0.435,12,36,0.333,11,13,0.846,12,43,22,9,7,26,26,12.99
"7",7,7,"11/8/16","@","CLE","W",110,106,41,81,0.506,11,29,0.379,17,24,0.708,11,50,22,1,4,19,21,11.625,37,99,0.374,11,42,0.262,21,25,0.84,13,39,21,12,1,6,20,15.2875
"8",8,8,"11/9/16","","CHI","W",115,107,42,83,0.506,9,20,0.45,22,27,0.815,13,48,24,8,7,21,20,10.95,41,91,0.451,9,27,0.333,16,21,0.762,8,31,24,14,3,13,21,12.7
"9",9,9,"11/12/16","","PHI","W",117,96,48,95,0.505,13,32,0.406,8,14,0.571,15,52,31,10,6,16,14,10.95,36,83,0.434,11,29,0.379,13,20,0.65,10,39,21,14,4,19,20,11.1
"10",10,10,"11/15/16","@","MIA","W",93,90,37,80,0.463,6,17,0.353,13,19,0.684,6,35,18,14,4,19,13,11.4666666666667,36,89,0.404,7,23,0.304,11,14,0.786,17,48,13,11,7,23,23,14
"11",11,11,"11/16/16","","MIL","W",107,100,35,72,0.486,10,32,0.313,27,31,0.871,3,39,29,6,8,16,17,9.675,39,98,0.398,8,32,0.25,14,18,0.778,15,47,25,9,2,14,25,12.1375
"12",12,12,"11/18/16","@","CHO","L",96,100,39,84,0.464,7,28,0.25,11,17,0.647,8,49,25,9,6,16,18,11.6,37,90,0.411,10,29,0.345,16,24,0.667,8,44,25,11,4,11,16,13.0333333333333
"13",13,13,"11/20/16","@","NYK","L",94,104,34,85,0.4,6,21,0.286,20,29,0.69,14,48,17,7,6,13,15,11.6,42,88,0.477,10,27,0.37,10,14,0.714,11,50,21,8,1,15,23,12.925
"14",14,14,"11/22/16","","NOP","L",94,112,39,85,0.459,10,29,0.345,6,10,0.6,6,40,22,5,6,15,15,10.2545454545455,45,86,0.523,11,25,0.44,11,12,0.917,5,40,29,11,9,9,16,12.4666666666667
"15",15,15,"11/23/16","@","IND","W",96,85,36,85,0.424,5,20,0.25,19,22,0.864,17,56,17,11,7,21,18,11.625,34,84,0.405,7,27,0.259,10,14,0.714,7,37,16,15,5,18,20,14.2142857142857
"16",16,16,"11/25/16","@","UTA","L",68,95,26,83,0.313,8,25,0.32,8,12,0.667,6,40,11,8,4,14,16,11.4666666666667,35,80,0.438,10,34,0.294,15,18,0.833,9,55,17,9,9,16,16,12.2
"17",17,17,"11/27/16","@","LAL","L",94,109,39,88,0.443,12,35,0.343,4,10,0.4,7,38,25,5,6,12,19,11.4666666666667,42,95,0.442,8,20,0.4,17,20,0.85,15,53,20,7,2,9,15,9.56666666666667
"18",18,18,"11/28/16","@","GSW","L",100,105,36,86,0.419,7,29,0.241,21,30,0.7,14,51,20,11,4,18,22,11.4666666666667,37,85,0.435,12,35,0.343,19,24,0.792,7,41,25,6,10,14,20,16.3875
"19",19,19,"11/30/16","@","PHO","L",107,109,45,89,0.506,9,25,0.36,8,10,0.8,7,40,20,9,6,20,22,10.5,40,89,0.449,10,21,0.476,19,25,0.76,13,41,15,11,4,15,17,11.25
"20",20,20,"12/2/16","","DET","L",85,121,32,88,0.364,6,24,0.25,15,20,0.75,6,32,22,6,2,7,12,9.25,48,89,0.539,17,29,0.586,8,12,0.667,11,54,28,4,3,15,15,11.5666666666667
"21",21,21,"12/3/16","@","TOR","L",84,128,35,88,0.398,7,28,0.25,7,14,0.5,13,38,21,7,5,18,13,9.25,53,92,0.576,13,24,0.542,9,11,0.818,12,48,28,14,7,12,17,13.2555555555556
"22",22,22,"12/5/16","","OKC","L",99,102,34,77,0.442,7,22,0.318,24,32,0.75,7,36,26,13,3,18,24,11.4666666666667,37,80,0.463,10,31,0.323,18,28,0.643,8,43,26,9,5,19,27,12.3111111111111
"23",23,23,"12/7/16","","MIA","W",103,95,43,88,0.489,4,19,0.211,13,15,0.867,14,47,27,9,9,14,20,11.6125,34,80,0.425,11,27,0.407,16,20,0.8,8,33,20,6,6,16,16,12.7625
"24",24,24,"12/9/16","@","MIL","W",114,110,40,84,0.476,12,34,0.353,22,29,0.759,9,46,32,7,8,17,11,11.6125,44,94,0.468,12,28,0.429,10,14,0.714,9,43,26,11,5,15,25,13.2666666666667
"25",25,25,"12/13/16","","ORL","L",120,131,45,89,0.506,11,28,0.393,19,21,0.905,13,45,29,6,4,15,16,11.4666666666667,51,87,0.586,15,34,0.441,14,20,0.7,5,28,36,8,5,9,17,11.1666666666667
"26",26,26,"12/16/16","@","TOR","W",125,121,46,86,0.535,11,25,0.44,22,32,0.688,15,44,26,6,6,14,22,11.4666666666667,47,86,0.547,10,21,0.476,17,26,0.654,8,28,20,7,5,9,27,13.3555555555556
"27",27,27,"12/17/16","","CHO","L",99,107,40,86,0.465,10,26,0.385,9,16,0.563,9,47,26,4,2,12,18,11.4666666666667,43,88,0.489,12,27,0.444,9,13,0.692,7,43,26,8,3,12,17,13.4333333333333
"28",28,28,"12/19/16","@","OKC","W",110,108,41,75,0.547,9,23,0.391,19,24,0.792,5,35,24,5,2,15,20,10.1875,39,87,0.448,10,35,0.286,20,26,0.769,15,44,13,8,3,12,18,10.43
"29",29,29,"12/21/16","","MIN","L",84,92,34,82,0.415,7,26,0.269,9,13,0.692,8,35,19,9,8,10,15,11.3142857142857,35,83,0.422,9,29,0.31,13,14,0.929,15,52,21,6,6,17,11,14.9
"30",30,30,"12/23/16","@","DEN","W",109,108,37,86,0.43,8,25,0.32,27,33,0.818,10,41,26,10,4,8,25,9.33333333333333,37,78,0.474,8,25,0.32,26,35,0.743,7,45,27,3,7,15,29,13.95
"31",31,31,"12/26/16","@","MIN","L",90,104,35,83,0.422,8,32,0.25,12,17,0.706,17,46,20,8,7,19,19,10.5363636363636,37,82,0.451,15,31,0.484,15,18,0.833,11,40,26,11,3,14,19,14.9
"32",32,32,"12/28/16","","NYK","W",102,98,37,101,0.366,7,27,0.259,21,27,0.778,17,55,19,8,3,13,19,10.95,35,93,0.376,7,27,0.259,21,26,0.808,14,55,20,8,7,17,23,11.2888888888889
"33",33,33,"12/30/16","","DET","W",105,98,39,88,0.443,8,26,0.308,19,25,0.76,12,44,29,10,2,15,21,10.95,35,84,0.417,9,31,0.29,19,21,0.905,14,43,22,9,7,18,24,12.3
"34",34,34,"1/1/17","","SAS","W",114,112,42,92,0.457,14,28,0.5,16,27,0.593,11,46,25,6,6,11,21,11.4666666666667,42,90,0.467,9,27,0.333,19,22,0.864,9,47,27,5,6,12,21,14.1888888888889
"35",35,35,"1/4/17","@","ORL","W",111,92,44,81,0.543,10,19,0.526,13,18,0.722,3,39,27,12,3,12,12,10.95,37,86,0.43,9,28,0.321,9,10,0.9,10,40,19,9,6,17,17,13.2222222222222
"36",36,36,"1/5/17","@","NOP","W",99,94,38,90,0.422,9,23,0.391,14,17,0.824,12,55,23,9,6,14,14,10.26,34,93,0.366,15,35,0.429,11,14,0.786,15,52,19,8,4,15,18,12.7555555555556
"37",37,37,"1/7/17","@","DAL","W",97,82,30,74,0.405,11,22,0.5,26,32,0.813,6,47,19,8,1,10,15,11.625,32,82,0.39,9,36,0.25,9,10,0.9,6,41,18,7,3,14,25,12.52
"38",38,38,"1/10/17","@","BRK","W",117,97,44,92,0.478,7,23,0.304,22,38,0.579,15,53,25,11,12,12,17,11.0333333333333,35,87,0.402,10,29,0.345,17,23,0.739,14,48,22,5,4,17,24,10.33
"39",39,39,"1/13/17","","BOS","L",101,103,36,84,0.429,11,30,0.367,18,21,0.857,12,43,22,5,5,12,17,10.9666666666667,36,83,0.434,17,44,0.386,14,19,0.737,9,43,22,7,3,12,16,13.55
"40",40,40,"1/15/17","","MIL","W",111,98,42,80,0.525,13,26,0.5,14,18,0.778,14,37,29,9,4,19,20,10.7,39,79,0.494,6,19,0.316,14,18,0.778,13,36,25,11,4,16,25,13.2666666666667
"41",41,41,"1/16/17","@","NYK","W",108,107,40,87,0.46,12,32,0.375,16,23,0.696,8,36,26,11,3,10,15,9.325,42,85,0.494,8,26,0.308,15,23,0.652,15,53,21,8,3,18,22,10.6444444444444
"42",42,42,"1/18/17","@","DET","L",95,118,30,78,0.385,6,25,0.24,29,37,0.784,8,32,22,1,4,12,21,8.51666666666667,45,91,0.495,10,25,0.4,18,28,0.643,18,60,27,6,0,12,29,11.6375
"43",43,43,"1/20/17","","CHI","W",102,93,39,82,0.476,9,22,0.409,15,19,0.789,10,40,23,16,3,19,19,9.94,34,81,0.42,7,28,0.25,18,19,0.947,12,41,18,12,5,24,17,11.0923076923077
"44",44,44,"1/21/17","","PHI","W",110,93,45,91,0.495,7,20,0.35,13,23,0.565,11,47,24,8,5,13,18,10.7,33,78,0.423,12,29,0.414,15,18,0.833,7,39,27,8,6,22,19,11.3555555555556
"45",45,45,"1/23/17","","LAC","L",105,115,37,88,0.42,9,29,0.31,22,26,0.846,8,40,28,8,2,8,17,11.25,42,84,0.5,14,24,0.583,17,22,0.773,10,46,23,4,8,11,19,10.9
"46",46,46,"1/25/17","@","CHI","W",119,114,43,83,0.518,17,30,0.567,16,19,0.842,6,39,29,5,5,13,20,11.325,43,94,0.457,8,27,0.296,20,26,0.769,13,42,18,6,5,6,16,12.1111111111111
"47",47,47,"1/27/17","","WAS","L",86,112,30,83,0.361,9,31,0.29,17,25,0.68,8,41,18,9,8,19,16,9.82727272727273,43,89,0.483,13,31,0.419,13,19,0.684,13,52,26,12,10,18,24,12.9142857142857
"48",48,48,"1/29/17","","NYK","W",142,139,52,119,0.437,10,31,0.323,28,40,0.7,17,64,36,4,2,14,24,11.0375,51,128,0.398,18,51,0.353,19,23,0.826,15,63,32,9,11,12,39,10.8888888888889
"49",49,49,"2/1/17","@","MIA","L",93,116,34,86,0.395,7,26,0.269,18,21,0.857,9,43,13,10,6,15,14,8.51666666666667,45,93,0.484,12,32,0.375,14,19,0.737,10,47,23,10,11,12,18,13
"50",50,50,"2/2/17","@","HOU","W",113,108,44,85,0.518,8,30,0.267,17,23,0.739,8,56,26,8,5,20,20,10.1777777777778,35,93,0.376,13,51,0.255,25,33,0.758,7,37,19,11,4,9,20,14.3666666666667
"51",51,51,"2/4/17","","ORL","W",113,86,41,78,0.526,10,28,0.357,21,27,0.778,10,48,28,8,2,15,20,9.79,27,78,0.346,7,27,0.259,25,28,0.893,7,33,17,8,4,13,19,12.06
"52",52,52,"2/6/17","","UTA","L",95,120,33,74,0.446,6,17,0.353,23,32,0.719,7,30,16,6,3,12,18,9.47,49,80,0.613,10,26,0.385,12,18,0.667,9,44,31,9,7,12,23,12.29
"53",53,53,"2/8/17","","DEN","W",117,106,47,93,0.505,8,27,0.296,15,18,0.833,12,48,31,6,4,10,18,10.2444444444444,40,100,0.4,13,44,0.295,13,21,0.619,21,49,25,8,4,10,20,12.925
"54",54,54,"2/10/17","@","SAC","L",107,108,36,71,0.507,11,30,0.367,24,31,0.774,3,37,19,6,5,16,17,9.79,38,80,0.475,18,36,0.5,14,21,0.667,8,39,27,12,2,18,27,12
"55",55,55,"2/13/17","@","POR","W",109,104,32,83,0.386,8,28,0.286,37,48,0.771,7,52,20,9,11,9,23,11.8,37,103,0.359,16,42,0.381,14,25,0.56,22,66,22,4,4,14,34,12.6375
"56",56,56,"2/15/17","@","LAC","L",84,99,32,79,0.405,7,26,0.269,13,19,0.684,10,45,20,5,1,20,13,8.99090909090909,37,79,0.468,14,37,0.378,11,12,0.917,5,40,24,18,3,16,17,11.7555555555556
