"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"53",53,53,"2/4/17","@","MIN","W",107,99,32,77,0.416,10,28,0.357,33,39,0.846,13,42,17,7,3,9,25,10.4444444444444,35,84,0.417,10,26,0.385,19,24,0.792,16,45,22,4,3,12,27,14.35
"54",54,54,"2/6/17","","SAS","W",89,74,32,81,0.395,4,19,0.211,21,25,0.84,15,50,18,8,11,13,17,12.07,30,82,0.366,4,19,0.211,10,18,0.556,11,44,11,8,6,16,20,10.76
"55",55,55,"2/8/17","","PHO","W",110,91,35,72,0.486,14,24,0.583,26,34,0.765,11,41,24,6,8,22,25,11.2777777777778,29,87,0.333,5,23,0.217,28,34,0.824,18,46,13,12,5,15,27,12.35
"56",56,56,"2/10/17","","GSW","L",107,122,34,87,0.391,9,26,0.346,30,37,0.811,18,47,20,6,4,18,28,12.01,39,77,0.506,15,33,0.455,29,38,0.763,5,34,31,14,13,12,26,15.725
"57",57,57,"2/13/17","@","BRK","W",112,103,39,77,0.506,9,22,0.409,25,27,0.926,5,41,25,7,1,12,16,11.45,38,82,0.463,12,37,0.324,15,18,0.833,6,32,23,8,0,12,24,10.4818181818182
"58",58,58,"2/15/17","","NOP","L",91,95,33,89,0.371,6,33,0.182,19,25,0.76,13,48,22,8,3,15,19,11.4454545454545,37,75,0.493,8,18,0.444,13,22,0.591,4,38,18,10,5,12,23,11.8555555555556
"59",59,59,"2/24/17","@","IND","L",92,102,35,84,0.417,9,27,0.333,13,23,0.565,12,39,20,11,5,11,15,12.0666666666667,40,78,0.513,11,26,0.423,11,11,1,8,50,23,8,7,16,19,12.1222222222222
"60",60,60,"2/26/17","@","DEN","W",105,98,36,80,0.45,11,33,0.333,22,25,0.88,13,49,21,9,2,15,20,12.0666666666667,37,84,0.44,11,34,0.324,13,17,0.765,10,39,26,9,3,12,23,14.6222222222222
"61",61,61,"2/28/17","","PHO","W",130,112,48,86,0.558,12,25,0.48,22,29,0.759,12,39,24,6,3,10,19,11.68,43,83,0.518,7,21,0.333,19,24,0.792,8,32,22,6,5,12,25,10.98
"62",62,62,"3/3/17","@","DAL","L",100,104,38,82,0.463,9,28,0.321,15,22,0.682,7,39,16,4,0,10,23,12.0666666666667,39,82,0.476,5,27,0.185,21,27,0.778,8,45,23,5,3,8,20,11.7222222222222
