"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2016-10-27","@","POR","W",114,106,37,91,0.407,8,29,0.276,32,46,0.696,15,48,12,10,4,7,25,14.2777777777778,1876.73261002581,39,85,0.459,4,18,0.222,24,32,0.75,9,48,18,4,4,14,34,14.275,1528.53074525011
"2",2,"2016-10-30","","UTA","W",88,75,34,83,0.41,6,27,0.222,14,20,0.7,14,49,17,8,4,13,14,14.2777777777778,1899.66453223456,29,73,0.397,7,19,0.368,10,13,0.769,7,43,18,8,2,18,22,11.42,1646.85588297322
"3",3,"2016-10-31","","PHO","W",116,98,40,80,0.5,6,16,0.375,30,38,0.789,5,44,21,8,4,16,23,14.2777777777778,1913.03375702813,35,84,0.417,5,15,0.333,23,31,0.742,10,44,19,11,0,20,33,11.59,1002.02460621738
"4",4,"2016-11-02","","OKC","L",83,85,34,87,0.391,7,22,0.318,8,18,0.444,8,41,22,13,5,17,19,14.5333333333333,1911.80044610442,34,84,0.405,5,20,0.25,12,20,0.6,10,52,14,8,4,21,24,12.6,2082.3023098565
"5",5,"2016-11-04","@","MEM","W",99,88,32,85,0.376,8,27,0.296,27,33,0.818,11,47,19,17,6,11,23,14.2777777777778,1910.66636649884,31,84,0.369,9,26,0.346,17,22,0.773,13,48,26,4,9,18,28,12.1,1475.4331816868
"6",6,"2016-11-05","@","SAS","W",116,92,47,91,0.516,9,23,0.391,13,14,0.929,7,41,24,8,6,8,19,14.2777777777778,1928.01000271442,30,74,0.405,10,25,0.4,22,25,0.88,7,40,19,5,5,15,18,10.3666666666667,2484.53230988817
"7",7,"2016-11-07","","DET","W",114,82,41,76,0.539,13,25,0.52,19,22,0.864,2,46,28,8,7,10,20,14.2777777777778,1928.01000271442,30,82,0.366,4,12,0.333,18,26,0.692,11,39,14,5,2,11,19,10.91,1516.10923518279
"8",8,"2016-11-09","","POR","W",111,80,38,87,0.437,11,32,0.344,24,33,0.727,14,55,24,9,7,7,15,14.2777777777778,1941.36292632163,31,88,0.352,6,30,0.2,12,14,0.857,11,47,16,4,3,14,23,11.29,1513.79008922266
"9",9,"2016-11-11","@","OKC","W",110,108,39,86,0.453,11,27,0.407,21,35,0.6,11,45,18,9,3,10,20,14.2777777777778,1941.36292632163,38,88,0.432,16,28,0.571,16,19,0.842,9,45,21,3,1,16,27,12.4222222222222,2077.88708754973
"10",10,"2016-11-12","@","MIN","W",119,105,40,76,0.526,11,24,0.458,28,37,0.757,9,42,25,7,4,14,19,14.5333333333333,1956.83899020311,40,89,0.449,8,22,0.364,17,21,0.81,15,39,26,11,3,13,31,13.7333333333333,936.865233583519
