Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
69,69,3/18/17,@,CHO,L,93,98,29,79,0.367,11,33,0.333,24,31,0.774,8,44,21,6,7,12,21,,35,82,0.427,9,24,0.375,19,27,0.704,6,41,23,8,8,7,20
70,70,3/20/17,@,BOS,L,102,110,37,86,0.43,8,35,0.229,20,26,0.769,8,39,24,6,4,18,28,,40,93,0.43,10,33,0.303,20,28,0.714,19,53,19,10,6,13,24
71,71,3/22/17,,ATL,W,104,100,38,95,0.4,11,34,0.324,17,23,0.739,17,54,23,9,6,19,26,,34,86,0.395,8,25,0.32,24,29,0.828,11,44,20,11,5,16,19
72,72,3/24/17,,BRK,W,129,108,49,97,0.505,10,26,0.385,21,22,0.955,11,46,29,9,5,10,19,,43,82,0.524,3,15,0.2,19,26,0.731,6,38,24,5,4,14,22
73,73,3/25/17,@,CLE,W,127,115,49,82,0.598,8,18,0.444,21,26,0.808,11,40,24,10,4,11,23,,41,83,0.494,12,33,0.364,21,27,0.778,11,32,24,6,6,13,18
74,74,3/28/17,@,LAL,W,119,108,48,94,0.511,6,23,0.261,17,25,0.68,13,41,24,12,3,12,20,,43,85,0.506,8,22,0.364,14,16,0.875,11,43,21,6,9,18,19
75,75,3/29/17,@,LAC,L,124,133,46,93,0.495,13,34,0.382,19,29,0.655,14,43,22,7,0,10,31,,47,83,0.566,12,30,0.4,27,37,0.73,8,41,27,6,4,10,22
76,76,3/31/17,@,UTA,L,88,95,35,87,0.402,5,17,0.294,13,16,0.813,14,45,12,8,1,14,23,,33,72,0.458,10,25,0.4,19,31,0.613,7,42,20,9,7,10,18
77,77,4/2/17,@,GSW,L,115,139,43,92,0.467,10,27,0.37,19,25,0.76,9,38,28,9,3,14,20,,50,88,0.568,16,36,0.444,23,26,0.885,10,44,34,7,10,16,20
78,78,4/4/17,,CHO,W,118,111,43,84,0.512,17,34,0.5,15,18,0.833,6,36,31,10,3,12,18,,40,78,0.513,12,34,0.353,19,22,0.864,8,36,21,5,2,16,17
79,79,4/6/17,@,NYK,W,106,103,36,74,0.486,14,34,0.412,20,28,0.714,9,39,17,5,8,13,22,,40,95,0.421,7,20,0.35,16,21,0.762,20,49,20,9,2,11,19
80,80,4/8/17,,MIA,L,103,106,39,81,0.481,8,22,0.364,17,22,0.773,12,44,21,7,6,19,24,,37,80,0.463,7,18,0.389,25,36,0.694,8,36,23,13,7,13,19
81,81,4/10/17,@,DET,W,105,101,42,83,0.506,7,19,0.368,14,16,0.875,9,48,27,8,5,17,13,,43,94,0.457,10,26,0.385,5,5,1,6,36,22,9,2,10,18
82,82,4/12/17,@,MIA,L,102,110,42,87,0.483,7,26,0.269,11,14,0.786,8,34,18,9,0,10,13,,46,88,0.523,8,24,0.333,10,12,0.833,14,51,19,2,4,17,13
