"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"1",1,1,"10/25/16","","NYK","W",117,88,45,94,0.479,13,35,0.371,14,19,0.737,11,51,31,12,5,14,22,13.22,32,87,0.368,9,27,0.333,15,20,0.75,13,42,17,6,6,18,22,12.2555555555556
"2",2,2,"10/28/16","@","TOR","W",94,91,33,79,0.418,12,32,0.375,16,22,0.727,9,40,20,8,3,17,15,14.825,35,90,0.389,4,16,0.25,17,18,0.944,18,51,12,9,3,18,20,12.7444444444444
"3",3,3,"10/29/16","","ORL","W",105,99,36,88,0.409,11,37,0.297,22,30,0.733,13,40,17,8,6,9,27,14.825,38,84,0.452,8,28,0.286,15,26,0.577,13,50,21,6,5,20,23,12.8222222222222
"4",4,4,"11/1/16","","HOU","W",128,120,43,83,0.518,16,32,0.5,26,31,0.839,12,46,22,4,2,11,21,14.2777777777778,43,90,0.478,17,44,0.386,17,25,0.68,11,32,30,5,2,7,25,13.1666666666667
"5",5,5,"11/3/16","","BOS","W",128,122,41,84,0.488,14,34,0.412,32,37,0.865,7,42,24,6,6,8,19,14.2777777777778,46,96,0.479,11,32,0.344,19,22,0.864,10,39,25,4,6,8,28,11.1125
"6",6,6,"11/5/16","@","PHI","W",102,101,37,91,0.407,14,38,0.368,14,18,0.778,11,49,23,10,5,16,15,14.2777777777778,40,87,0.46,14,38,0.368,7,12,0.583,5,45,21,9,9,17,23,11.84
"7",7,7,"11/8/16","","ATL","L",106,110,37,99,0.374,11,42,0.262,21,25,0.84,13,39,21,12,1,6,20,15.2875,41,81,0.506,11,29,0.379,17,24,0.708,11,50,22,1,4,19,21,11.625
"8",8,8,"11/11/16","@","WAS","W",105,94,36,86,0.419,14,33,0.424,19,26,0.731,13,47,16,9,6,15,21,14.2777777777778,38,87,0.437,3,15,0.2,15,19,0.789,10,46,16,7,5,15,21,10.05
"9",9,9,"11/13/16","","CHO","W",100,93,39,92,0.424,14,38,0.368,8,15,0.533,12,53,25,3,8,9,13,13.8,36,95,0.379,11,29,0.379,10,12,0.833,10,45,23,7,3,5,19,12.57
"10",10,10,"11/15/16","","TOR","W",121,117,44,83,0.53,13,33,0.394,20,28,0.714,10,46,26,4,7,17,18,13.8,46,96,0.479,13,29,0.448,12,18,0.667,12,40,24,11,5,8,25,13.4375
"11",11,11,"11/16/16","@","IND","L",93,103,35,86,0.407,11,30,0.367,12,20,0.6,11,51,19,3,5,18,16,10.5222222222222,43,86,0.5,10,28,0.357,7,11,0.636,5,40,22,8,12,10,16,14.1
"12",12,12,"11/18/16","","DET","W",104,81,40,83,0.482,11,25,0.44,13,14,0.929,5,52,26,4,8,13,14,12.56,29,93,0.312,6,19,0.316,17,20,0.85,11,44,23,5,4,7,15,10.91
"13",13,13,"11/23/16","","POR","W",137,125,48,90,0.533,21,36,0.583,20,27,0.741,9,41,30,6,4,10,15,14.0111111111111,47,90,0.522,13,29,0.448,18,19,0.947,9,38,27,6,6,9,23,13.65
"14",14,14,"11/25/16","","DAL","W",128,90,43,85,0.506,20,43,0.465,22,24,0.917,9,47,30,9,3,14,16,11.5818181818182,37,91,0.407,8,35,0.229,8,12,0.667,11,39,29,5,4,13,21,11.1
"15",15,15,"11/27/16","@","PHI","W",112,108,38,92,0.413,12,40,0.3,24,28,0.857,14,46,19,5,3,9,14,15.4142857142857,43,92,0.467,15,34,0.441,7,10,0.7,13,50,29,5,5,16,24,11.84
