"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2016-10-26","","MIN","W",102,98,36,80,0.45,11,24,0.458,19,27,0.704,11,45,19,6,11,13,25,12.3,1859.25611847805,36,86,0.419,6,18,0.333,20,29,0.69,15,45,20,6,5,10,23,13.8,977.325333995989
"2",2,"2016-10-29","@","NYK","L",104,111,37,86,0.43,9,25,0.36,21,26,0.808,11,40,19,3,2,12,30,10.91,1899.66453223456,40,76,0.526,6,21,0.286,25,39,0.641,6,41,24,4,4,12,25,12.2555555555556,1030.37297372744
"3",3,"2016-10-30","","WAS","W",112,103,39,88,0.443,15,31,0.484,19,26,0.731,11,47,24,9,2,14,26,11.5444444444444,1899.66453223456,38,86,0.442,5,25,0.2,22,25,0.88,8,40,19,8,4,14,23,12.5142857142857,1423.59478515097
"4",4,"2016-11-01","@","MIN","L",80,116,27,75,0.36,4,24,0.167,22,29,0.759,8,32,10,17,4,20,22,7.92727272727273,1913.03375702813,43,78,0.551,12,20,0.6,18,23,0.783,10,50,29,10,5,21,22,13.1777777777778,975.093994818811
"5",5,"2016-11-02","","NOP","W",89,83,33,94,0.351,8,27,0.296,15,20,0.75,13,52,20,12,5,17,22,12.1,1911.80044610442,30,81,0.37,11,34,0.324,12,16,0.75,5,43,17,8,9,21,26,11.4111111111111,1202.9640603364
"6",6,"2016-11-04","","LAC","L",88,99,31,84,0.369,9,26,0.346,17,22,0.773,13,48,26,4,9,18,28,12.1,1910.66636649884,32,85,0.376,8,27,0.296,27,33,0.818,11,47,19,17,6,11,23,14.2777777777778,2054.03508123552
"7",7,"2016-11-06","","POR","L",94,100,31,81,0.383,6,26,0.231,26,32,0.813,12,44,15,9,5,13,20,12.4555555555556,1928.01000271442,32,71,0.451,14,33,0.424,22,27,0.815,5,37,19,7,5,15,25,13.4,1535.00945324315
"8",8,"2016-11-08","","DEN","W",108,107,44,86,0.512,7,24,0.292,13,19,0.684,8,32,29,14,5,14,30,11.8,1929.86854402192,35,70,0.5,10,24,0.417,27,34,0.794,6,39,24,6,4,22,23,14.475,1144.23489518502
"9",9,"2016-11-12","@","MIL","L",96,106,35,78,0.449,6,30,0.2,20,21,0.952,3,32,20,8,4,13,26,10.97,1956.83899020311,36,68,0.529,7,18,0.389,27,36,0.75,5,35,20,9,5,12,20,13.2666666666667,1125.6385791285
"10",10,"2016-11-14","@","UTA","W",102,96,36,76,0.474,8,21,0.381,22,26,0.846,14,44,13,4,2,16,26,10.9,1956.83899020311,35,73,0.479,8,28,0.286,18,22,0.818,6,29,17,8,1,8,27,12,1695.30990714648
"11",11,"2016-11-16","@","LAC","W",111,107,40,82,0.488,15,26,0.577,16,19,0.842,9,43,24,6,2,15,22,12.5875,1974.05537908718,37,81,0.457,9,25,0.36,24,34,0.706,8,36,15,13,7,8,19,15.5125,2155.93611229299
"12",12,"2016-11-18","@","DAL","W",80,64,31,77,0.403,9,25,0.36,9,12,0.75,7,48,16,7,3,12,25,12.4555555555556,1969.08525929079,21,73,0.288,5,25,0.2,17,22,0.773,10,45,9,3,7,17,14,10.22,1425.23325899472
"13",13,"2016-11-19","","MIN","W",93,71,29,76,0.382,2,18,0.111,33,38,0.868,13,46,15,8,7,9,19,13.2875,1969.08525929079,25,64,0.391,7,22,0.318,14,22,0.636,5,34,16,5,5,16,25,13.7,953.847583001182
"14",14,"2016-11-21","@","CHO","W",105,90,40,84,0.476,12,26,0.462,13,17,0.765,6,40,24,7,8,10,24,13.2875,1968.53319733927,30,73,0.411,9,31,0.29,21,33,0.636,8,39,20,6,9,10,13,12.2666666666667,1411.45329449355
"15",15,"2016-11-23","@","PHI","W",104,99,38,99,0.384,10,29,0.345,18,24,0.75,9,46,24,13,9,15,28,12.0222222222222,1982.82801787953,35,93,0.376,12,36,0.333,17,23,0.739,8,56,24,9,10,26,32,11.8111111111111,490.419075123023
"16",16,"2016-11-25","","MIA","L",81,90,29,82,0.354,4,19,0.211,19,23,0.826,16,51,14,3,14,17,16,9.56363636363636,1973.08060123792,33,85,0.388,12,31,0.387,12,18,0.667,10,44,17,8,8,8,21,12.1777777777778,1552.45519166882
"17",17,"2016-11-26","@","MIA","W",110,107,37,73,0.507,9,25,0.36,27,33,0.818,2,34,23,5,5,6,19,10.7222222222222,1973.08060123792,40,81,0.494,11,31,0.355,16,24,0.667,8,39,18,3,6,9,21,12.1777777777778,1547.34254201602
"18",18,"2016-11-28","","CHO","L",85,104,36,89,0.404,7,29,0.241,6,13,0.462,8,42,21,10,4,12,25,9.56363636363636,1965.21020041547,36,82,0.439,9,26,0.346,23,31,0.742,9,47,24,3,4,13,14,12.22,1425.07552075301
"19",19,"2016-11-30","@","TOR","L",105,120,36,81,0.444,11,27,0.407,22,26,0.846,12,30,16,13,1,15,25,8.34444444444444,1964.93963535416,38,69,0.551,16,32,0.5,28,33,0.848,10,42,23,8,3,18,25,13.2555555555556,1960.29717883743
"20",20,"2016-12-01","","ORL","W",95,94,33,79,0.418,7,18,0.389,22,28,0.786,8,39,18,9,9,10,25,8.34444444444444,1964.93963535416,33,74,0.446,6,24,0.25,22,31,0.71,7,42,15,5,9,17,19,12.9111111111111,1063.57632952157
"21",21,"2016-12-03","","LAL","W",103,100,41,88,0.466,10,30,0.333,11,15,0.733,14,43,32,13,7,11,19,9.0375,1931.8686065487,35,81,0.432,7,21,0.333,23,29,0.793,14,44,16,7,4,18,18,10.2333333333333,554.536667060404
