"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2015-10-27","@","CHI","L",95,97,38,94,0.404,9,29,0.31,10,17,0.588,11,50,26,5,7,10,21,12.8,1552.47635835371,37,87,0.425,7,19,0.368,16,23,0.696,7,47,13,6,10,13,22,12.55,1569.533975
"2",2,"2015-10-28","@","MEM","W",106,76,41,84,0.488,13,29,0.448,11,17,0.647,12,54,29,7,2,19,25,11.71,1552.47635835371,29,82,0.354,2,16,0.125,16,22,0.727,11,40,15,8,3,16,18,12.14,1558.08052029626
"3",3,"2015-10-30","","MIA","W",102,92,39,86,0.453,6,25,0.24,18,21,0.857,14,49,25,4,4,11,19,12.8,1572.34276046052,33,77,0.429,6,21,0.286,20,22,0.909,6,38,21,5,7,13,20,13.16,1464.38655204233
"4",4,"2015-11-02","@","PHI","W",107,100,42,81,0.519,8,22,0.364,15,20,0.75,7,43,28,5,9,16,19,11.7222222222222,1577.34203612762,38,85,0.447,7,24,0.292,17,23,0.739,9,37,22,7,5,13,18,11,1276.43724631953
"5",5,"2015-11-04","","NYK","W",96,86,33,83,0.398,7,27,0.259,23,32,0.719,9,48,21,5,2,11,12,11.7222222222222,1601.94330702208,33,84,0.393,8,24,0.333,12,15,0.8,9,40,16,6,7,12,23,11.84,1293.19556668541
"6",6,"2015-11-06","","PHI","W",108,102,45,88,0.511,10,26,0.385,8,12,0.667,11,45,29,9,0,17,20,11.7222222222222,1611.53703772801,41,79,0.519,10,23,0.435,10,15,0.667,7,38,23,9,4,16,18,10.0888888888889,1258.99645370537
"7",7,"2015-11-08","","IND","W",101,97,38,83,0.458,8,24,0.333,17,25,0.68,11,48,25,5,4,10,20,14.3142857142857,1625.94642434529,39,90,0.433,6,18,0.333,13,19,0.684,12,47,22,5,4,7,20,11.7777777777778,1479.31058054844
"8",8,"2015-11-10","","UTA","W",118,114,37,74,0.5,11,24,0.458,33,43,0.767,11,35,24,9,6,16,21,13.8625,1621.87754982524,40,82,0.488,10,22,0.455,24,28,0.857,13,37,30,11,0,16,35,11.9111111111111,1587.82142546431
"9",9,"2015-11-13","@","NYK","W",90,84,33,78,0.423,6,28,0.214,18,31,0.581,12,49,12,6,1,12,19,12.7,1622.15966068217,29,79,0.367,9,27,0.333,17,21,0.81,10,46,16,7,4,14,26,11.89,1274.9508214326
"10",10,"2015-11-14","@","MIL","L",105,108,37,91,0.407,14,38,0.368,17,27,0.63,14,54,21,6,8,20,24,13.8625,1622.15966068217,43,102,0.422,6,16,0.375,16,22,0.727,15,51,20,6,9,12,25,14.2,1438.09558420426
"11",11,"2015-11-17","@","DET","L",99,104,38,80,0.475,11,33,0.333,12,20,0.6,3,40,21,8,2,14,25,12.7,1615.91063700762,36,84,0.429,7,21,0.333,25,31,0.806,11,48,20,11,1,13,15,11.7125,1468.04181555445
"12",12,"2015-11-19","","MIL","W",115,100,40,71,0.563,11,24,0.458,24,30,0.8,13,43,29,3,2,17,24,10.55,1625.61990193231,38,73,0.521,3,8,0.375,21,26,0.808,6,22,22,8,2,11,29,13.4888888888889,1398.19136841882
"13",13,"2015-11-21","","ATL","W",109,97,41,85,0.482,11,29,0.379,16,19,0.842,11,51,27,4,8,14,22,11.6625,1612.33759144997,32,86,0.372,11,28,0.393,22,25,0.88,12,38,22,10,4,12,20,11.2111111111111,1612.33759144997
"14",14,"2015-11-23","","ORL","W",117,103,43,81,0.531,18,35,0.514,13,22,0.591,8,41,34,5,3,10,15,10.7444444444444,1612.33759144997,40,81,0.494,10,22,0.455,13,21,0.619,9,39,25,6,6,10,21,12.27,1318.97458222752
