"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"1",1,1,"10/28/15","@","DET","L",87,92,35,75,0.467,2,12,0.167,15,21,0.714,4,38,15,4,5,12,25,12.1625,30,74,0.405,7,19,0.368,25,34,0.735,8,43,16,2,4,10,20,11.6444444444444
"2",2,2,"10/30/15","@","PHI","W",99,71,36,88,0.409,7,13,0.538,20,25,0.8,13,51,19,10,9,7,22,11.9111111111111,19,63,0.302,6,15,0.4,27,37,0.73,8,39,15,4,5,18,22,10.4875
"3",3,3,"10/31/15","@","IND","W",97,76,39,88,0.443,6,15,0.4,13,18,0.722,15,47,15,13,4,17,24,11.9111111111111,28,70,0.4,4,17,0.235,16,21,0.762,7,34,10,8,7,24,19,12.0333333333333
"4",4,4,"11/4/15","","POR","L",92,108,33,88,0.375,5,24,0.208,21,33,0.636,16,40,9,12,8,9,22,11.9111111111111,41,77,0.532,11,25,0.44,15,32,0.469,13,48,11,5,7,19,25,12.4888888888889
"5",5,5,"11/5/15","@","DEN","W",96,84,37,85,0.435,11,24,0.458,11,17,0.647,12,43,23,6,6,10,26,11.9111111111111,28,72,0.389,5,20,0.25,23,34,0.676,11,45,16,4,6,13,14,11.9
"6",6,6,"11/7/15","","MEM","W",89,79,31,74,0.419,12,27,0.444,15,18,0.833,9,49,18,7,10,21,20,11.9111111111111,30,91,0.33,6,19,0.316,13,14,0.929,13,44,16,8,1,14,21,13.6142857142857
"7",7,7,"11/10/15","@","CLE","L",114,118,40,82,0.488,10,22,0.455,24,28,0.857,13,37,30,11,0,16,35,11.9111111111111,37,74,0.5,11,24,0.458,33,43,0.767,11,35,24,9,6,16,21,13.8625
"8",8,8,"11/12/15","@","MIA","L",91,92,34,89,0.382,4,17,0.235,19,25,0.76,11,42,13,10,9,10,23,11.3875,36,77,0.468,4,13,0.308,16,25,0.64,8,47,14,6,11,15,20,12.2888888888889
"9",9,9,"11/13/15","@","ORL","L",93,102,34,87,0.391,8,25,0.32,17,23,0.739,12,41,24,14,6,17,24,9.23,32,76,0.421,10,27,0.37,28,31,0.903,10,45,20,11,11,20,20,12.075
"10",10,10,"11/15/15","@","ATL","W",97,96,39,76,0.513,7,21,0.333,12,17,0.706,10,40,21,7,7,17,15,12.7625,37,76,0.487,8,22,0.364,14,17,0.824,8,33,26,9,5,15,16,11.9444444444444
"11",11,11,"11/18/15","","TOR","W",93,89,35,72,0.486,7,22,0.318,16,22,0.727,7,41,15,9,5,17,20,12.7625,34,80,0.425,5,20,0.25,16,18,0.889,9,37,14,10,4,14,17,13.6666666666667
"12",12,12,"11/20/15","@","DAL","L",93,102,35,80,0.438,6,20,0.3,17,21,0.81,18,48,14,4,2,17,24,12.7625,39,83,0.47,8,28,0.286,16,17,0.941,8,34,24,10,5,8,19,12.1888888888889
"13",13,13,"11/23/15","","OKC","L",89,111,28,73,0.384,5,19,0.263,28,40,0.7,13,41,15,11,3,21,18,11.44,42,77,0.545,11,27,0.407,16,18,0.889,6,36,22,12,10,16,31,13.45
"14",14,14,"11/25/15","@","LAC","W",102,91,39,77,0.506,6,13,0.462,18,25,0.72,11,39,19,12,4,16,20,13.4428571428571,38,75,0.507,4,12,0.333,11,17,0.647,11,35,18,11,7,19,22,14.2888888888889
"15",15,15,"11/28/15","","NOP","W",101,87,38,82,0.463,9,18,0.5,16,21,0.762,12,49,18,11,9,15,25,10.5222222222222,29,69,0.42,5,17,0.294,24,30,0.8,4,35,19,8,4,16,19,13.1571428571429
"16",16,16,"11/30/15","","GSW","L",103,106,40,89,0.449,6,19,0.316,17,22,0.773,10,35,18,9,2,8,16,11.9111111111111,40,82,0.488,14,29,0.483,12,15,0.8,14,45,21,2,5,15,19,14.3333333333333
"17",17,17,"12/3/15","","ORL","L",94,103,31,72,0.431,14,33,0.424,18,24,0.75,5,39,18,4,8,19,16,10.34,40,89,0.449,8,23,0.348,15,15,1,9,40,19,13,4,10,20,12.3444444444444
"18",18,18,"12/5/15","","IND","W",122,119,43,92,0.467,8,23,0.348,28,37,0.757,19,54,21,7,3,15,30,10.4444444444444,40,93,0.43,12,29,0.414,27,34,0.794,12,44,17,10,2,15,34,11.9777777777778
"19",19,19,"12/8/15","@","SAC","L",106,114,38,92,0.413,15,36,0.417,15,22,0.682,19,44,23,7,0,12,22,10.34,43,77,0.558,10,28,0.357,18,24,0.75,9,40,29,6,2,15,18,14.4875
"20",20,20,"12/9/15","","NYK","W",106,85,39,80,0.488,9,21,0.429,19,23,0.826,9,51,26,6,2,14,26,10.12,31,78,0.397,8,21,0.381,15,27,0.556,7,36,20,10,3,10,24,11.8
"21",21,21,"12/11/15","","OKC","L",90,94,33,78,0.423,8,28,0.286,16,24,0.667,11,39,17,7,4,11,16,10.9222222222222,37,79,0.468,6,17,0.353,14,16,0.875,11,45,14,4,2,13,19,14.5
"22",22,22,"12/13/15","@","OKC","L",98,104,39,94,0.415,8,22,0.364,12,20,0.6,16,44,14,6,2,11,24,10.6,35,79,0.443,7,21,0.333,27,30,0.9,8,42,18,7,13,10,18,13.45
"23",23,23,"12/14/15","@","SAS","L",81,118,32,79,0.405,3,11,0.273,14,17,0.824,7,32,18,8,3,11,23,9.66363636363636,42,75,0.56,9,21,0.429,25,27,0.926,9,48,24,6,2,11,17,11.8538461538462
"24",24,24,"12/16/15","","NOP","L",94,104,32,67,0.478,7,20,0.35,23,29,0.793,5,34,17,4,4,12,20,10.9222222222222,34,73,0.466,10,21,0.476,26,28,0.929,8,36,14,9,2,10,24,13.075
"25",25,25,"12/18/15","","DEN","W",97,88,34,73,0.466,10,25,0.4,19,25,0.76,5,39,15,8,1,14,19,10.6888888888889,31,79,0.392,6,28,0.214,20,25,0.8,15,44,15,10,4,14,20,12.4333333333333
"26",26,26,"12/21/15","","PHO","W",110,89,36,79,0.456,9,25,0.36,29,37,0.784,11,47,16,8,6,10,16,10.9222222222222,31,79,0.392,7,24,0.292,20,22,0.909,9,40,12,3,0,13,26,11.75
"27",27,27,"12/23/15","@","GSW","L",85,103,33,80,0.413,7,20,0.35,12,14,0.857,12,40,14,9,3,19,18,10.34,39,83,0.47,9,23,0.391,16,16,1,9,40,26,10,9,15,11,14.3333333333333
"28",28,28,"12/26/15","","LAC","L",104,109,36,74,0.486,10,27,0.37,22,27,0.815,8,36,18,7,4,16,22,8.23636363636364,38,79,0.481,13,26,0.5,20,24,0.833,7,34,24,9,6,12,23,12.4125
"29",29,29,"12/28/15","","PHI","W",95,91,28,84,0.333,7,26,0.269,32,36,0.889,15,53,13,11,9,15,18,8.02,36,86,0.419,5,21,0.238,14,19,0.737,8,37,20,8,9,18,27,10.18
"30",30,30,"12/30/15","@","MIN","L",80,94,28,80,0.35,10,39,0.256,14,20,0.7,15,44,15,8,8,19,24,8.58888888888889,36,77,0.468,5,10,0.5,17,27,0.63,13,47,27,13,3,10,16,11.72
"31",31,31,"12/31/15","","POR","W",109,96,43,86,0.5,15,33,0.455,8,11,0.727,12,42,19,7,5,5,18,8.58888888888889,35,78,0.449,16,36,0.444,10,14,0.714,8,39,19,1,0,10,16,10.55
"32",32,32,"1/2/16","","MEM","W",92,87,31,75,0.413,9,27,0.333,21,28,0.75,9,48,17,4,7,16,24,8.36666666666667,33,81,0.407,7,18,0.389,14,26,0.538,8,40,17,8,4,11,24,13.5714285714286
"33",33,33,"1/4/16","","HOU","L",91,93,30,75,0.4,12,29,0.414,19,25,0.76,15,44,17,9,4,15,20,7.91,33,68,0.485,11,26,0.423,16,21,0.762,6,34,17,8,2,16,16,12.3555555555556
