"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2016-04-16","@","OKC","L",70,108,25,84,0.298,4,18,0.222,16,26,0.615,9,33,16,5,0,12,25,7.93333333333333,1996.31108028154,36,80,0.45,12,35,0.343,24,28,0.857,14,56,23,7,6,18,25,12.04,2260.91412274795
"2",2,"2016-04-18","@","OKC","W",85,84,35,82,0.427,5,19,0.263,10,19,0.526,11,45,14,8,4,12,17,10.0444444444444,1996.31108028154,31,92,0.337,7,32,0.219,15,18,0.833,19,54,11,9,4,15,19,14.575,2260.60732856513
"3",3,"2016-04-21","","OKC","L",102,131,36,76,0.474,6,23,0.261,24,35,0.686,6,29,24,9,3,12,27,10.3777777777778,2013.28653269751,45,78,0.577,15,27,0.556,26,35,0.743,9,42,28,10,5,14,27,13.4,2287.35522032185
"4",4,"2016-04-23","","OKC","L",108,119,43,83,0.518,8,23,0.348,14,17,0.824,7,33,25,3,2,11,27,10.3777777777778,2007.02506255001,44,83,0.53,7,16,0.438,24,34,0.706,12,42,26,6,3,9,19,14.7625,2300.85342519319
"5",5,"2016-04-25","@","OKC","L",104,118,38,81,0.469,8,24,0.333,20,24,0.833,13,35,24,5,3,9,24,10.575,2000.04238811954,41,81,0.506,10,30,0.333,26,32,0.813,14,42,19,6,5,8,22,13.4,2315.71082375186
