"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2016-10-27","@","ATL","L",99,114,40,94,0.426,6,20,0.3,13,18,0.722,12,40,25,14,4,19,20,12.5142857142857,1876.73261002581,44,88,0.5,12,26,0.462,14,18,0.778,14,52,28,13,7,21,19,11.4666666666667,1876.73261002581
"2",2,"2016-10-30","@","MEM","L",103,112,38,86,0.442,5,25,0.2,22,25,0.88,8,40,19,8,4,14,23,12.5142857142857,1899.66453223456,39,88,0.443,15,31,0.484,19,26,0.731,11,47,24,9,2,14,26,11.5444444444444,1485.09950100449
"3",3,"2016-11-02","","TOR","L",103,113,42,72,0.583,3,10,0.3,16,24,0.667,6,36,21,8,5,20,20,16.08,1911.80044610442,43,77,0.558,10,25,0.4,17,25,0.68,4,31,21,16,2,13,24,12.21,1887.14371142356
"4",4,"2016-11-04","","ATL","W",95,92,31,80,0.388,5,20,0.25,28,35,0.8,11,46,13,7,3,19,23,13.1428571428571,1910.66636649884,32,83,0.386,5,25,0.2,23,36,0.639,10,47,22,12,3,18,24,11.4666666666667,1910.66636649884
"5",5,"2016-11-05","@","ORL","L",86,88,34,86,0.395,6,17,0.353,12,17,0.706,14,49,11,4,5,10,23,10.2,1928.01000271442,31,78,0.397,9,28,0.321,17,27,0.63,10,43,21,4,6,8,16,12.06,1159.36248931231
"6",6,"2016-11-07","","HOU","L",106,114,39,94,0.415,10,27,0.37,18,20,0.9,16,45,20,12,5,13,16,13.1428571428571,1928.01000271442,41,79,0.519,17,37,0.459,15,18,0.833,6,37,28,6,7,18,18,13.1666666666667,1599.4777610509
"7",7,"2016-11-09","","BOS","W",118,93,46,92,0.5,10,21,0.476,16,20,0.8,19,54,29,9,7,11,26,12.0625,1941.36292632163,35,81,0.432,10,31,0.323,13,22,0.591,7,31,21,5,4,11,19,10.54,1741.92189386103
"8",8,"2016-11-11","","CLE","L",94,105,38,87,0.437,3,15,0.2,15,19,0.789,10,46,16,7,5,15,21,10.05,1941.36292632163,36,86,0.419,14,33,0.424,19,26,0.731,13,47,16,9,6,15,21,14.2777777777778,2315.49970211753
"9",9,"2016-11-12","@","CHI","L",95,106,38,91,0.418,4,13,0.308,15,18,0.833,13,49,19,3,7,12,22,7.9,1956.83899020311,39,97,0.402,5,15,0.333,23,25,0.92,15,52,21,7,6,10,20,13.225,1844.45375806257
"10",10,"2016-11-16","@","PHI","L",102,109,38,91,0.418,8,23,0.348,18,25,0.72,11,40,18,8,1,11,26,10.1428571428571,1974.05537908718,42,77,0.545,10,28,0.357,15,22,0.682,5,41,30,6,1,17,26,11.1,518.580735004627
