"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"1",1,1,"2016-04-16","","BOS","W",102,101,35,86,0.407,5,26,0.192,27,35,0.771,13,53,23,4,9,11,20,13.0625,37,102,0.363,11,35,0.314,16,19,0.842,15,50,27,6,6,10,32,11.0444444444444
"2",2,2,"2016-04-19","","BOS","W",89,72,32,82,0.39,11,29,0.379,14,16,0.875,3,49,20,7,15,15,16,10.81,28,88,0.318,5,28,0.179,11,12,0.917,10,43,16,5,10,14,15,10.26
"3",3,3,"2016-04-22","@","BOS","L",103,111,38,86,0.442,9,36,0.25,18,21,0.857,7,41,19,10,7,13,24,13.0625,38,82,0.463,11,32,0.344,24,33,0.727,7,44,23,10,6,15,20,11.6125
"4",4,4,"2016-04-24","@","BOS","L",95,104,37,99,0.374,12,42,0.286,9,13,0.692,12,49,18,8,6,14,20,13.0625,40,94,0.426,11,33,0.333,13,19,0.684,12,52,25,7,7,14,19,11.6125
"5",5,5,"2016-04-26","","BOS","W",110,83,42,96,0.438,14,35,0.4,12,16,0.75,13,51,30,13,3,12,17,9.93636363636364,29,77,0.377,7,29,0.241,18,25,0.72,10,44,19,5,6,20,17,9.28181818181818
"6",6,6,"2016-04-28","@","BOS","W",104,92,38,74,0.514,8,24,0.333,20,27,0.741,3,42,26,6,12,18,23,11.6111111111111,34,94,0.362,7,32,0.219,17,18,0.944,10,43,16,5,4,12,29,12.025
"7",7,7,"2016-05-02","@","CLE","L",93,104,33,87,0.379,11,34,0.324,16,21,0.762,15,48,21,6,7,12,22,13.0625,37,83,0.446,15,31,0.484,15,21,0.714,10,44,27,9,7,8,20,13.9875
"8",8,8,"2016-05-04","@","CLE","L",98,123,30,71,0.423,11,27,0.407,27,30,0.9,8,40,18,3,3,16,23,10.2583333333333,41,87,0.471,25,45,0.556,16,23,0.696,12,43,27,8,1,8,22,11.8454545454545
"9",9,9,"2016-05-06","","CLE","L",108,121,41,84,0.488,16,34,0.471,10,12,0.833,6,28,29,8,7,14,21,13.7375,42,85,0.494,21,39,0.538,16,27,0.593,18,55,26,9,1,18,21,14.1
"10",10,10,"2016-05-08","","CLE","L",99,100,40,83,0.482,9,31,0.29,10,14,0.714,9,42,22,10,7,12,16,13.7375,38,88,0.432,16,37,0.432,8,13,0.615,14,41,23,6,7,15,14,14.1
