"","X.1","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp"
"1",1,1,"2016-04-17","","CHO","W",123,91,49,85,0.576,9,18,0.5,16,21,0.762,14,42,27,7,4,6,24,12.95,28,65,0.431,6,17,0.353,29,37,0.784,7,28,11,5,2,11,17,10.7875
"2",2,2,"2016-04-20","","CHO","W",115,103,44,76,0.579,9,16,0.563,18,22,0.818,3,35,19,6,6,8,25,12.95,38,89,0.427,1,16,0.063,26,33,0.788,15,39,9,3,1,7,16,10.7875
"3",3,3,"2016-04-23","@","CHO","L",80,96,27,79,0.342,7,22,0.318,19,30,0.633,12,53,13,1,8,14,20,14.2571428571429,35,90,0.389,5,18,0.278,21,22,0.955,9,47,18,5,4,3,24,10.2625
"4",4,4,"2016-04-25","@","CHO","L",85,89,30,76,0.395,11,29,0.379,14,21,0.667,10,46,20,2,8,17,26,12.0222222222222,30,75,0.4,4,16,0.25,25,30,0.833,6,36,10,7,7,9,20,10.2625
"5",5,5,"2016-04-27","","CHO","L",88,90,34,81,0.42,5,18,0.278,15,19,0.789,6,50,17,7,6,14,16,13.2375,33,84,0.393,12,24,0.5,12,15,0.8,5,41,21,8,3,12,14,10.1888888888889
"6",6,6,"2016-04-29","@","CHO","W",97,90,38,83,0.458,8,16,0.5,13,15,0.867,11,46,14,4,10,12,24,13.05,32,76,0.421,5,17,0.294,21,25,0.84,5,31,12,8,5,9,17,10.7875
"7",7,7,"2016-05-01","","CHO","W",106,73,43,89,0.483,9,24,0.375,11,16,0.688,10,58,24,2,8,9,16,12.0222222222222,27,84,0.321,7,22,0.318,12,12,1,3,36,14,4,1,7,14,10.7875
"8",8,8,"2016-05-03","@","TOR","W",102,96,40,89,0.449,8,11,0.727,14,21,0.667,11,52,12,12,4,17,17,14.2571428571429,40,89,0.449,5,21,0.238,11,15,0.733,4,41,19,10,6,15,25,11.0111111111111
"9",9,9,"2016-05-05","@","TOR","L",92,96,39,79,0.494,5,14,0.357,9,13,0.692,9,45,14,6,7,21,21,12.7625,39,93,0.419,4,18,0.222,14,26,0.538,13,39,14,15,1,9,21,11.925
"10",10,10,"2016-05-07","","TOR","L",91,95,33,77,0.429,4,18,0.222,21,24,0.875,8,38,11,8,2,9,24,10.3375,33,70,0.471,8,18,0.444,21,28,0.75,6,35,16,5,0,13,22,11.925
"11",11,11,"2016-05-09","","TOR","W",94,87,36,80,0.45,1,15,0.067,21,25,0.84,6,39,15,9,5,11,15,10.3,33,84,0.393,6,20,0.3,15,19,0.789,7,39,12,7,2,14,23,8.98888888888889
"12",12,12,"2016-05-11","@","TOR","L",91,99,31,77,0.403,6,21,0.286,23,28,0.821,13,44,12,4,2,13,22,9.64,35,81,0.432,7,17,0.412,22,26,0.846,11,39,16,10,7,9,20,9.475
"13",13,13,"2016-05-13","","TOR","W",103,91,40,84,0.476,7,21,0.333,16,20,0.8,7,41,15,2,6,7,18,11.1875,34,82,0.415,4,16,0.25,19,25,0.76,8,43,10,4,4,8,18,10.6571428571429
"14",14,14,"2016-05-15","@","TOR","L",89,116,32,72,0.444,7,25,0.28,18,23,0.783,7,30,16,6,7,13,29,11.1875,39,85,0.459,9,20,0.45,29,43,0.674,20,50,17,8,4,9,23,10.6571428571429
