Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,10/26/16,,DET,W,109,91,41,86,0.477,3,18,0.167,24,29,0.828,14,51,17,8,0,11,22,,35,84,0.417,4,22,0.182,17,22,0.773,8,40,17,8,0,13,24
2,2,10/28/16,,CLE,L,91,94,35,90,0.389,4,16,0.25,17,18,0.944,18,51,12,9,3,18,20,,33,79,0.418,12,32,0.375,16,22,0.727,9,40,20,8,3,17,15
3,3,10/31/16,,DEN,W,105,102,41,88,0.466,4,16,0.25,19,25,0.76,11,43,16,7,9,7,28,,33,81,0.407,9,22,0.409,27,35,0.771,11,46,14,2,9,8,18
4,4,11/2/16,@,WAS,W,113,103,43,77,0.558,10,25,0.4,17,25,0.68,4,31,21,16,2,13,24,,42,72,0.583,3,10,0.3,16,24,0.667,6,36,21,8,5,20,20
5,5,11/4/16,,MIA,W,96,87,37,84,0.44,6,25,0.24,16,18,0.889,13,50,14,7,5,15,16,,34,88,0.386,9,28,0.321,10,15,0.667,12,43,19,10,5,13,22
6,6,11/6/16,,SAC,L,91,96,30,84,0.357,7,30,0.233,24,31,0.774,13,43,22,6,5,6,26,,34,78,0.436,5,16,0.313,23,31,0.742,13,47,21,4,5,9,22
7,7,11/9/16,@,OKC,W,112,102,43,83,0.518,11,26,0.423,15,22,0.682,7,35,25,10,6,11,24,,31,74,0.419,12,34,0.353,28,31,0.903,11,39,18,6,5,19,21
8,8,11/11/16,@,CHO,W,113,111,43,90,0.478,6,22,0.273,21,22,0.955,8,45,18,8,5,5,21,,38,93,0.409,17,41,0.415,18,24,0.75,18,57,22,1,4,11,16
9,9,11/12/16,,NYK,W,118,107,39,83,0.47,7,22,0.318,33,38,0.868,11,44,18,10,6,11,20,,44,97,0.454,7,23,0.304,12,16,0.75,17,49,19,3,2,16,23
10,10,11/15/16,@,CLE,L,117,121,46,96,0.479,13,29,0.448,12,18,0.667,12,40,24,11,5,8,25,,44,83,0.53,13,33,0.394,20,28,0.714,10,46,26,4,7,17,18
11,11,11/16/16,,GSW,L,121,127,37,82,0.451,10,25,0.4,37,41,0.902,13,46,16,8,1,14,22,,44,87,0.506,13,36,0.361,26,28,0.929,7,35,33,9,7,12,25
12,12,11/18/16,@,DEN,W,113,111,43,94,0.457,8,23,0.348,19,31,0.613,7,45,23,8,2,12,25,,39,83,0.47,4,25,0.16,29,39,0.744,9,58,29,8,3,19,26
13,13,11/20/16,@,SAC,L,99,102,34,85,0.4,9,24,0.375,22,24,0.917,16,48,16,7,6,15,21,,36,81,0.444,11,27,0.407,19,25,0.76,4,37,26,8,8,13,18
14,14,11/21/16,@,LAC,L,115,123,40,80,0.5,8,19,0.421,27,32,0.844,4,32,19,10,2,11,31,,39,74,0.527,10,25,0.4,35,42,0.833,6,42,23,5,4,14,24
15,15,11/23/16,@,HOU,W,115,102,43,88,0.489,12,23,0.522,17,21,0.81,15,38,28,14,7,14,15,,38,78,0.487,14,42,0.333,12,12,1,11,39,29,6,7,26,22
16,16,11/25/16,@,MIL,W,105,99,38,82,0.463,14,32,0.438,15,19,0.789,11,38,18,3,5,9,17,,40,79,0.506,12,29,0.414,7,12,0.583,7,38,26,4,2,11,19
17,17,11/28/16,,PHI,W,122,95,42,77,0.545,13,19,0.684,25,31,0.806,8,42,22,11,8,12,14,,36,86,0.419,14,34,0.412,9,13,0.692,12,38,27,9,4,14,21
18,18,11/30/16,,MEM,W,120,105,38,69,0.551,16,32,0.5,28,33,0.848,10,42,23,8,3,18,25,,36,81,0.444,11,27,0.407,22,26,0.846,12,30,16,13,1,15,25
19,19,12/2/16,,LAL,W,113,80,45,83,0.542,12,29,0.414,11,13,0.846,7,44,25,8,5,10,18,,32,93,0.344,6,26,0.231,10,17,0.588,19,46,16,6,2,16,18
20,20,12/3/16,,ATL,W,128,84,53,92,0.576,13,24,0.542,9,11,0.818,12,48,28,14,7,12,17,,35,88,0.398,7,28,0.25,7,14,0.5,13,38,21,7,5,18,13
21,21,12/5/16,,CLE,L,112,116,38,88,0.432,13,32,0.406,23,27,0.852,10,33,22,8,5,7,22,,40,84,0.476,14,32,0.438,22,27,0.815,13,48,21,4,3,14,21
22,22,12/8/16,,MIN,W,124,110,43,87,0.494,12,27,0.444,26,33,0.788,16,42,25,5,5,8,19,,45,88,0.511,9,28,0.321,11,15,0.733,16,43,19,3,1,13,26
23,23,12/9/16,@,BOS,W,101,94,34,82,0.415,9,20,0.45,24,27,0.889,8,50,12,9,2,11,22,,31,83,0.373,17,42,0.405,15,22,0.682,8,46,24,5,4,13,18
24,24,12/12/16,,MIL,W,122,100,42,81,0.519,14,25,0.56,24,28,0.857,14,46,26,7,2,14,18,,42,89,0.472,4,24,0.167,12,17,0.706,12,37,27,8,3,11,20
25,25,12/14/16,@,PHI,W,123,114,41,87,0.471,10,29,0.345,31,36,0.861,15,39,21,9,3,9,20,,43,86,0.5,9,29,0.31,19,25,0.76,14,43,29,5,4,14,27
26,26,12/16/16,,ATL,L,121,125,47,86,0.547,10,21,0.476,17,26,0.654,8,28,20,7,5,9,27,,46,86,0.535,11,25,0.44,22,32,0.688,15,44,26,6,6,14,22
27,27,12/18/16,@,ORL,W,109,79,43,87,0.494,7,27,0.259,16,21,0.762,10,47,20,10,7,10,16,,34,83,0.41,3,21,0.143,8,9,0.889,10,42,13,5,3,19,17
28,28,12/20/16,,BRK,W,116,104,42,91,0.462,8,18,0.444,24,31,0.774,12,48,19,13,9,13,21,,36,91,0.396,10,35,0.286,22,28,0.786,14,52,20,9,5,16,23
29,29,12/23/16,@,UTA,W,104,98,43,81,0.531,8,21,0.381,10,15,0.667,5,36,12,12,4,10,19,,35,79,0.443,10,27,0.37,18,21,0.857,9,40,21,7,2,16,16
30,30,12/26/16,@,POR,W,95,91,32,95,0.337,12,34,0.353,19,24,0.792,14,52,17,11,4,12,12,,35,83,0.422,8,23,0.348,13,18,0.722,11,54,22,8,4,18,22
31,31,12/28/16,@,GSW,L,111,121,40,103,0.388,13,35,0.371,18,22,0.818,19,45,24,13,6,7,18,,46,81,0.568,14,23,0.609,15,18,0.833,9,51,33,4,9,20,16
32,32,12/29/16,@,PHO,L,91,99,30,75,0.4,7,27,0.259,24,29,0.828,9,43,10,12,5,18,24,,37,83,0.446,9,21,0.429,16,23,0.696,12,47,20,10,4,20,28
33,33,1/1/17,@,LAL,W,123,114,42,75,0.56,10,17,0.588,29,32,0.906,5,40,18,5,9,16,25,,37,92,0.402,15,32,0.469,25,31,0.806,16,43,19,8,3,7,21
34,34,1/3/17,@,SAS,L,82,110,31,83,0.373,4,18,0.222,16,22,0.727,14,43,8,8,4,12,17,,43,78,0.551,13,24,0.542,11,15,0.733,6,43,32,7,15,15,18
35,35,1/5/17,,UTA,W,101,93,36,91,0.396,8,21,0.381,21,28,0.75,21,45,14,10,6,4,19,,34,73,0.466,7,20,0.35,18,21,0.857,12,46,16,2,4,18,22
36,36,1/7/17,@,CHI,L,118,123,37,85,0.435,8,31,0.258,36,43,0.837,6,41,20,11,5,10,22,,38,97,0.392,11,28,0.393,36,39,0.923,17,60,25,5,2,14,27
37,37,1/8/17,,HOU,L,122,129,42,78,0.538,11,25,0.44,27,30,0.9,4,39,19,7,3,17,25,,46,89,0.517,11,38,0.289,26,31,0.839,10,39,27,9,6,15,22
38,38,1/10/17,,BOS,W,114,106,41,87,0.471,10,22,0.455,22,27,0.815,17,50,17,9,7,17,21,,40,85,0.471,9,27,0.333,17,20,0.85,6,33,21,7,3,14,20
39,39,1/13/17,,BRK,W,132,113,52,97,0.536,11,28,0.393,17,21,0.81,13,49,21,7,9,8,17,,40,86,0.465,17,36,0.472,16,20,0.8,4,35,26,5,1,11,16
40,40,1/15/17,,NYK,W,116,101,44,89,0.494,8,22,0.364,20,23,0.87,10,42,21,9,4,10,20,,35,84,0.417,12,29,0.414,19,27,0.704,11,41,21,7,7,14,16
41,41,1/17/17,@,BRK,W,119,109,48,92,0.522,10,19,0.526,13,16,0.813,10,44,18,8,6,9,19,,40,89,0.449,7,26,0.269,22,24,0.917,11,41,20,7,6,13,19
42,42,1/18/17,@,PHI,L,89,94,34,86,0.395,6,24,0.25,15,23,0.652,12,43,17,10,2,9,24,,31,69,0.449,8,24,0.333,24,32,0.75,5,46,20,5,7,22,21
43,43,1/20/17,@,CHO,L,78,113,29,86,0.337,7,30,0.233,13,14,0.929,8,33,10,7,5,12,20,,40,80,0.5,12,25,0.48,21,25,0.84,11,51,24,9,4,14,13
44,44,1/22/17,,PHO,L,103,115,33,83,0.398,7,27,0.259,30,35,0.857,7,35,19,9,8,9,20,,40,79,0.506,9,22,0.409,26,28,0.929,7,45,20,6,1,15,28
45,45,1/24/17,,SAS,L,106,108,38,84,0.452,6,25,0.24,24,28,0.857,10,46,10,9,8,13,25,,38,85,0.447,7,24,0.292,25,33,0.758,6,35,20,7,6,12,18
46,46,1/25/17,@,MEM,L,99,101,39,92,0.424,10,34,0.294,11,19,0.579,13,45,16,6,4,8,22,,36,78,0.462,10,22,0.455,19,25,0.76,9,45,18,3,7,9,17
47,47,1/27/17,,MIL,W,102,86,37,84,0.44,10,25,0.4,18,23,0.783,12,47,20,9,11,14,19,,31,80,0.388,7,23,0.304,17,24,0.708,12,43,19,6,7,19,22
