"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"1",1,"10/28/15","","DEN","L",85,105,30,87,0.345,8,35,0.229,17,26,0.654,15,44,17,13,8,16,19,40,79,0.506,13,27,0.481,12,18,0.667,9,49,26,9,10,21,26
"2",2,"10/30/15","","GSW","L",92,112,30,82,0.366,5,23,0.217,27,36,0.75,12,49,19,3,9,16,20,43,93,0.462,9,26,0.346,17,25,0.68,11,47,26,9,4,8,24
"3",3,"11/1/15","@","MIA","L",89,109,32,79,0.405,10,36,0.278,15,18,0.833,3,34,20,9,3,17,23,42,86,0.488,9,22,0.409,16,21,0.762,11,48,24,11,5,12,16
"4",4,"11/2/15","","OKC","W",110,105,41,89,0.461,9,29,0.31,19,29,0.655,7,34,22,18,7,12,22,40,84,0.476,10,23,0.435,15,22,0.682,14,55,17,7,9,24,24
"5",5,"11/4/15","","ORL","W",119,114,42,88,0.477,11,34,0.324,24,34,0.706,16,48,28,8,1,19,20,46,91,0.505,7,20,0.35,15,19,0.789,9,38,28,12,6,14,25
"6",6,"11/6/15","@","SAC","W",116,110,40,82,0.488,15,36,0.417,21,27,0.778,14,49,23,8,4,21,26,40,93,0.43,9,28,0.321,21,29,0.724,14,43,26,14,3,15,19
"7",7,"11/7/15","@","LAC","W",109,105,38,86,0.442,7,30,0.233,26,29,0.897,11,47,16,7,3,14,27,42,88,0.477,4,22,0.182,17,25,0.68,11,41,29,8,5,12,23
"8",8,"11/11/15","","BRK","L",98,106,42,98,0.429,8,34,0.235,6,12,0.5,13,45,25,9,9,7,14,42,98,0.429,8,17,0.471,14,17,0.824,20,60,25,5,11,11,13
"9",9,"11/13/15","@","DEN","L",98,107,33,77,0.429,9,29,0.31,23,31,0.742,8,40,19,10,8,20,25,37,81,0.457,9,20,0.45,24,32,0.75,12,46,25,10,4,18,23
"10",10,"11/14/15","","DAL","L",98,110,32,84,0.381,9,34,0.265,25,32,0.781,12,43,22,9,5,12,23,43,89,0.483,8,28,0.286,16,21,0.762,8,45,24,6,7,11,21
"11",11,"11/16/15","","BOS","L",95,111,36,85,0.424,11,32,0.344,12,23,0.522,14,46,23,10,6,22,20,44,93,0.473,11,36,0.306,12,17,0.706,16,49,27,16,3,19,22
"12",12,"11/18/15","","POR","W",108,103,32,92,0.348,14,44,0.318,30,35,0.857,13,51,22,11,6,17,20,35,88,0.398,9,30,0.3,24,29,0.828,10,48,18,11,7,19,27
"13",13,"11/20/15","@","MEM","L",84,96,28,74,0.378,6,29,0.207,22,37,0.595,9,49,15,11,9,23,23,36,85,0.424,8,24,0.333,16,19,0.842,8,47,26,16,4,11,30
"14",14,"11/21/15","","NYK","L",102,107,35,81,0.432,12,28,0.429,20,28,0.714,16,42,18,6,4,12,26,34,80,0.425,12,25,0.48,27,34,0.794,19,45,20,4,8,11,22
"15",15,"11/25/15","","MEM","L",93,102,30,71,0.423,10,34,0.294,23,27,0.852,6,37,19,14,7,19,22,39,80,0.488,3,16,0.188,21,23,0.913,9,41,21,8,3,17,23
"16",16,"11/27/15","","PHI","W",116,114,38,73,0.521,11,20,0.55,29,37,0.784,10,49,21,5,6,22,21,40,83,0.482,16,35,0.457,18,26,0.692,8,33,24,18,5,12,24
"17",17,"11/29/15","@","NYK","W",116,111,43,95,0.453,7,25,0.28,23,36,0.639,17,39,16,16,2,8,19,45,78,0.577,6,18,0.333,15,17,0.882,5,43,22,5,7,21,24
"18",18,"11/30/15","@","DET","L",105,116,35,88,0.398,11,27,0.407,24,28,0.857,16,45,19,11,7,16,27,45,85,0.529,8,23,0.348,18,37,0.486,14,46,22,8,8,11,19
"19",19,"12/2/15","","NOP","W",108,101,36,87,0.414,8,27,0.296,28,39,0.718,9,42,20,9,7,10,23,36,88,0.409,7,25,0.28,22,25,0.88,16,56,20,5,6,23,32
"20",20,"12/4/15","@","DAL","W",100,96,39,84,0.464,12,26,0.462,10,18,0.556,15,45,20,12,5,18,22,37,81,0.457,8,29,0.276,14,20,0.7,11,42,23,8,5,17,17
"21",21,"12/5/15","","SAC","W",120,113,36,78,0.462,16,34,0.471,32,43,0.744,13,43,25,9,5,17,18,46,98,0.469,10,26,0.385,11,13,0.846,13,47,35,12,7,13,27
"22",22,"12/8/15","@","BRK","L",105,110,39,82,0.476,15,35,0.429,12,17,0.706,10,36,26,20,3,23,15,45,81,0.556,7,18,0.389,13,16,0.813,12,42,27,14,7,24,17
"23",23,"12/9/15","@","WAS","W",109,103,40,83,0.482,12,33,0.364,17,25,0.68,6,42,23,8,4,19,23,39,89,0.438,5,25,0.2,20,24,0.833,11,47,20,8,3,18,25
"24",24,"12/12/15","","LAL","W",126,97,47,90,0.522,15,33,0.455,17,28,0.607,15,52,32,16,7,16,15,35,88,0.398,10,32,0.313,17,20,0.85,11,40,21,11,4,19,23
"25",25,"12/14/15","@","DEN","L",108,114,41,87,0.471,18,40,0.45,8,11,0.727,5,26,26,14,1,11,22,42,82,0.512,8,25,0.32,22,25,0.88,15,52,26,8,5,18,15
"26",26,"12/15/15","@","SAC","L",97,107,34,82,0.415,12,39,0.308,17,23,0.739,7,36,22,17,3,21,28,38,75,0.507,11,24,0.458,20,29,0.69,9,47,25,13,3,28,19
"27",27,"12/17/15","@","LAL","W",107,87,34,88,0.386,12,31,0.387,27,42,0.643,23,54,22,9,8,13,17,36,84,0.429,5,24,0.208,10,18,0.556,13,46,22,5,5,14,27
"28",28,"12/19/15","","LAC","W",107,97,34,76,0.447,8,25,0.32,31,49,0.633,13,55,22,7,7,15,29,34,86,0.395,11,38,0.289,18,29,0.621,7,38,21,10,6,12,36
"29",29,"12/21/15","","CHO","W",102,95,33,71,0.465,7,28,0.25,29,41,0.707,9,49,18,3,4,19,33,29,83,0.349,12,41,0.293,25,31,0.806,9,35,20,8,3,11,27
"30",30,"12/23/15","@","ORL","L",101,104,41,83,0.494,7,29,0.241,12,17,0.706,9,36,19,5,6,11,18,44,84,0.524,7,16,0.438,9,13,0.692,11,42,26,5,3,12,15
"31",31,"12/25/15","","SAS","W",88,84,32,74,0.432,7,15,0.467,17,26,0.654,8,42,23,8,2,17,17,36,88,0.409,5,20,0.25,7,8,0.875,14,47,24,11,4,15,20
"32",32,"12/26/15","@","NOP","L",108,110,38,84,0.452,15,33,0.455,17,20,0.85,10,35,21,8,3,10,20,38,75,0.507,13,24,0.542,21,26,0.808,8,40,25,5,8,15,17
"33",33,"12/29/15","","ATL","L",115,121,39,72,0.542,11,20,0.55,26,39,0.667,7,46,23,6,4,19,21,43,99,0.434,14,41,0.341,21,25,0.84,17,45,27,10,7,12,24
"34",34,"12/31/15","","GSW","L",110,114,36,78,0.462,12,30,0.4,26,29,0.897,4,33,21,13,5,15,22,43,84,0.512,11,23,0.478,17,27,0.63,12,43,35,8,5,18,20
"35",35,"1/2/16","@","SAS","L",103,121,37,74,0.5,9,22,0.409,20,33,0.606,8,37,26,7,4,15,20,45,86,0.523,13,24,0.542,18,19,0.947,8,39,31,9,2,11,22
"36",36,"1/4/16","@","UTA","W",93,91,33,68,0.485,11,26,0.423,16,21,0.762,6,34,17,8,2,16,16,30,75,0.4,12,29,0.414,19,25,0.76,15,44,17,9,4,15,20
"37",37,"1/7/16","","UTA","W",103,94,39,75,0.52,7,23,0.304,18,26,0.692,11,41,15,11,3,16,16,38,78,0.487,7,28,0.25,11,17,0.647,10,35,25,9,5,19,17
"38",38,"1/10/16","","IND","W",107,103,39,89,0.438,14,38,0.368,15,23,0.652,10,49,24,11,3,22,21,43,90,0.478,9,31,0.29,8,10,0.8,5,39,33,12,5,18,21
"39",39,"1/12/16","@","MEM","W",107,91,33,77,0.429,18,35,0.514,23,27,0.852,18,42,21,10,4,14,19,33,72,0.458,7,18,0.389,18,24,0.75,13,31,22,9,3,17,24
"40",40,"1/13/16","","MIN","W",107,104,37,75,0.493,7,30,0.233,26,38,0.684,8,39,19,11,3,16,19,36,78,0.462,8,17,0.471,24,30,0.8,14,43,25,11,1,20,27
"41",41,"1/15/16","","CLE","L",77,91,26,74,0.351,6,25,0.24,19,29,0.655,10,40,15,10,6,18,20,34,87,0.391,8,35,0.229,15,23,0.652,17,49,19,10,6,14,24
"42",42,"1/17/16","@","LAL","W",112,95,44,91,0.484,6,21,0.286,18,24,0.75,11,51,21,10,5,13,19,37,82,0.451,6,19,0.316,15,19,0.789,3,36,25,8,7,14,16
"43",43,"1/18/16","@","LAC","L",132,140,44,88,0.5,11,32,0.344,33,52,0.635,16,52,31,8,5,14,28,47,91,0.516,22,37,0.595,24,33,0.727,9,41,28,10,6,12,30
"44",44,"1/20/16","","DET","L",114,123,43,95,0.453,12,24,0.5,16,18,0.889,11,48,21,7,3,13,41,38,80,0.475,12,30,0.4,35,59,0.593,14,52,23,8,7,10,17
"45",45,"1/22/16","","MIL","W",102,98,38,94,0.404,15,44,0.341,11,16,0.688,15,42,27,10,10,11,21,39,85,0.459,3,14,0.214,17,22,0.773,14,48,30,7,10,15,17
"46",46,"1/24/16","","DAL","W",115,104,43,89,0.483,15,44,0.341,14,21,0.667,9,40,27,9,7,7,21,36,79,0.456,15,30,0.5,17,22,0.773,8,36,17,4,4,14,20
"47",47,"1/25/16","@","NOP","W",112,111,38,80,0.475,19,40,0.475,17,21,0.81,7,38,22,7,5,13,20,42,91,0.462,13,29,0.448,14,25,0.56,16,50,23,8,4,12,16
"48",48,"1/27/16","@","SAS","L",99,130,28,73,0.384,8,30,0.267,35,52,0.673,12,40,14,7,11,15,22,50,90,0.556,12,23,0.522,18,21,0.857,12,49,34,7,3,13,28
"49",49,"1/29/16","@","OKC","L",108,116,36,95,0.379,9,39,0.231,27,43,0.628,11,40,23,14,7,10,21,41,86,0.477,8,19,0.421,26,30,0.867,11,57,23,6,7,18,29
"50",50,"1/30/16","","WAS","L",122,123,41,86,0.477,17,35,0.486,23,33,0.697,10,37,24,8,3,10,23,45,86,0.523,11,32,0.344,22,30,0.733,7,45,30,6,5,12,25
"51",51,"2/2/16","","MIA","W",115,102,44,84,0.524,16,35,0.457,11,16,0.688,3,34,30,9,6,11,19,38,85,0.447,6,17,0.353,20,27,0.741,13,51,26,5,3,17,18
"52",52,"2/4/16","@","PHO","W",111,105,37,86,0.43,15,42,0.357,22,32,0.688,18,49,24,16,5,16,23,32,83,0.386,11,29,0.379,30,32,0.938,18,54,22,9,1,24,26
"53",53,"2/6/16","","POR","L",79,96,25,77,0.325,7,36,0.194,22,30,0.733,12,43,13,13,4,23,21,35,87,0.402,11,35,0.314,15,23,0.652,20,54,21,15,6,21,21
"54",54,"2/9/16","@","GSW","L",110,123,37,87,0.425,13,33,0.394,23,35,0.657,13,43,24,8,4,12,22,44,94,0.468,12,34,0.353,23,26,0.885,14,49,28,5,6,12,26
"55",55,"2/10/16","@","POR","L",103,116,37,77,0.481,11,34,0.324,18,34,0.529,8,40,23,6,3,20,22,41,89,0.461,8,28,0.286,26,34,0.765,16,49,21,11,2,13,27
"56",56,"2/19/16","@","PHO","W",116,100,37,78,0.474,7,24,0.292,35,56,0.625,13,51,20,16,4,20,32,30,82,0.366,11,35,0.314,29,35,0.829,9,40,23,7,6,20,33
"57",57,"2/23/16","@","UTA","L",114,117,36,87,0.414,11,34,0.324,31,41,0.756,11,35,17,15,4,14,28,38,74,0.514,10,24,0.417,31,38,0.816,8,41,22,11,4,21,29
"58",58,"2/25/16","@","POR","W",119,105,44,82,0.537,10,29,0.345,21,35,0.6,12,46,26,14,5,16,25,37,80,0.463,13,35,0.371,18,22,0.818,11,40,22,4,3,21,30
"59",59,"2/27/16","","SAS","L",94,104,35,84,0.417,8,25,0.32,16,22,0.727,9,39,19,5,4,14,27,37,76,0.487,8,19,0.421,22,28,0.786,7,43,24,4,4,13,21
"60",60,"2/29/16","@","MIL","L",121,128,41,87,0.471,15,36,0.417,24,35,0.686,16,41,30,12,1,16,24,48,81,0.593,8,15,0.533,24,33,0.727,10,42,30,12,4,17,24
"61",61,"3/2/16","","NOP","W",100,95,36,81,0.444,3,35,0.086,25,38,0.658,8,51,20,15,9,21,14,36,90,0.4,14,37,0.378,9,13,0.692,6,43,24,10,3,22,28
