"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"31",31,"12/26/15","@","MIL","W",111,90,42,81,0.519,13,29,0.448,14,19,0.737,9,44,31,7,10,8,17,34,81,0.42,6,14,0.429,16,18,0.889,9,38,25,3,5,13,17
"32",32,"12/28/15","@","CHI","L",97,104,38,88,0.432,6,20,0.3,15,24,0.625,11,46,23,5,5,7,19,40,87,0.46,8,21,0.381,16,24,0.667,11,49,23,4,10,10,15
"33",33,"12/30/15","","WAS","W",94,91,28,82,0.341,6,24,0.25,32,39,0.821,15,55,14,5,6,16,16,35,87,0.402,8,22,0.364,13,17,0.765,8,44,24,8,4,10,27
"34",34,"1/1/16","","CHO","W",104,94,36,91,0.396,15,33,0.455,17,18,0.944,20,54,21,6,4,13,19,34,85,0.4,10,32,0.313,16,18,0.889,14,43,15,7,7,10,16
"35",35,"1/3/16","","CHI","L",113,115,42,92,0.457,13,31,0.419,16,19,0.842,13,37,21,6,8,8,19,42,82,0.512,9,21,0.429,22,25,0.88,8,42,23,4,8,11,18
"36",36,"1/4/16","@","CLE","L",100,122,36,73,0.493,8,19,0.421,20,29,0.69,8,26,24,9,5,9,19,41,74,0.554,17,33,0.515,23,26,0.885,11,40,25,6,4,13,22
"37",37,"1/6/16","@","BRK","W",91,74,35,80,0.438,4,22,0.182,17,18,0.944,12,49,16,12,7,17,15,31,78,0.397,5,16,0.313,7,12,0.583,6,39,18,8,4,18,18
"38",38,"1/8/16","@","WAS","W",97,88,34,75,0.453,5,14,0.357,24,26,0.923,6,47,11,7,13,22,18,33,84,0.393,8,25,0.32,14,15,0.933,7,35,18,9,9,19,22
"39",39,"1/9/16","@","PHI","W",108,95,41,75,0.547,5,17,0.294,21,27,0.778,6,37,19,7,7,13,16,39,80,0.488,11,17,0.647,6,14,0.429,9,35,26,9,5,13,23
"40",40,"1/14/16","@","ORL","W",106,103,37,90,0.411,8,24,0.333,24,31,0.774,11,47,20,11,11,10,16,44,97,0.454,9,23,0.391,6,8,0.75,6,46,28,4,9,15,22
"41",41,"1/18/16","","BRK","W",112,100,43,85,0.506,13,24,0.542,13,18,0.722,8,36,24,8,4,7,17,39,76,0.513,5,14,0.357,17,19,0.895,8,40,24,4,4,14,18
"42",42,"1/20/16","","BOS","W",115,109,46,83,0.554,11,29,0.379,12,17,0.706,9,37,23,7,5,13,15,43,85,0.506,12,26,0.462,11,15,0.733,8,33,30,8,1,14,19
"43",43,"1/22/16","","MIA","W",101,81,35,75,0.467,13,25,0.52,18,21,0.857,6,41,19,4,8,12,15,33,81,0.407,4,17,0.235,11,17,0.647,14,42,13,4,2,12,16
"44",44,"1/24/16","","LAC","W",112,94,41,83,0.494,12,22,0.545,18,26,0.692,8,44,19,8,3,15,26,34,76,0.447,8,26,0.308,18,30,0.6,7,34,21,6,3,13,28
"45",45,"1/26/16","","WAS","W",106,89,35,79,0.443,11,29,0.379,25,32,0.781,11,48,20,7,3,15,22,32,78,0.41,4,15,0.267,21,28,0.75,7,35,20,7,3,11,24
"46",46,"1/28/16","","NYK","W",103,93,37,85,0.435,8,20,0.4,21,29,0.724,15,50,21,7,11,10,19,38,87,0.437,7,18,0.389,10,20,0.5,12,40,20,6,8,9,19
