"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"1",1,"10/28/15","","CLE","L",76,106,29,82,0.354,2,16,0.125,16,22,0.727,11,40,15,8,3,16,18,41,84,0.488,13,29,0.448,11,17,0.647,12,54,29,7,2,19,25
"2",2,"10/29/15","@","IND","W",112,103,41,82,0.5,7,16,0.438,23,29,0.793,12,42,26,12,5,14,25,37,78,0.474,12,30,0.4,17,24,0.708,10,38,23,7,4,20,22
"3",3,"10/31/15","","BRK","W",101,91,34,80,0.425,9,23,0.391,24,28,0.857,11,42,26,6,2,9,19,38,79,0.481,3,13,0.231,12,18,0.667,8,43,21,3,3,12,22
"4",4,"11/2/15","@","GSW","L",69,119,26,96,0.271,3,23,0.13,14,20,0.7,11,44,21,8,7,11,24,43,84,0.512,11,25,0.44,22,30,0.733,10,65,32,8,13,14,15
"5",5,"11/3/15","@","SAC","W",103,89,40,83,0.482,3,20,0.15,20,25,0.8,12,50,23,5,7,16,31,29,74,0.392,7,20,0.35,24,40,0.6,8,35,17,8,1,13,21
"6",6,"11/5/15","@","POR","L",96,115,37,77,0.481,7,20,0.35,15,21,0.714,7,36,20,4,5,8,14,44,87,0.506,15,30,0.5,12,20,0.6,14,47,29,3,3,8,19
"7",7,"11/7/15","@","UTA","L",79,89,30,91,0.33,6,19,0.316,13,14,0.929,13,44,16,8,1,14,21,31,74,0.419,12,27,0.444,15,18,0.833,9,49,18,7,10,21,20
"8",8,"11/9/15","@","LAC","L",92,94,35,80,0.438,2,11,0.182,20,29,0.69,10,40,21,11,3,14,28,28,68,0.412,5,19,0.263,33,37,0.892,8,40,14,5,8,18,20
"9",9,"11/11/15","","GSW","L",84,100,24,70,0.343,3,15,0.2,33,36,0.917,10,41,15,14,5,21,26,36,75,0.48,11,27,0.407,17,23,0.739,7,36,22,12,8,23,30
"10",10,"11/13/15","","POR","W",101,100,36,86,0.419,6,16,0.375,23,27,0.852,14,35,22,10,0,8,21,33,69,0.478,8,22,0.364,26,29,0.897,10,43,17,5,10,22,22
"11",11,"11/15/15","@","MIN","W",114,106,40,71,0.563,9,17,0.529,25,27,0.926,4,34,21,7,6,15,16,41,82,0.5,5,16,0.313,19,21,0.905,9,33,20,10,2,12,24
"12",12,"11/16/15","","OKC","W",122,114,37,84,0.44,12,17,0.706,36,39,0.923,12,34,23,11,4,10,22,41,81,0.506,10,24,0.417,22,31,0.71,12,44,22,7,6,19,28
"13",13,"11/20/15","","HOU","W",96,84,36,85,0.424,8,24,0.333,16,19,0.842,8,47,26,16,4,11,30,28,74,0.378,6,29,0.207,22,37,0.595,9,49,15,11,9,23,23
"14",14,"11/21/15","@","SAS","L",82,92,32,74,0.432,1,9,0.111,17,17,1,7,35,19,13,2,16,23,34,72,0.472,7,21,0.333,17,22,0.773,7,40,20,7,6,17,20
"15",15,"11/24/15","","DAL","W",110,96,37,86,0.43,7,21,0.333,29,37,0.784,5,42,20,12,4,9,24,30,77,0.39,11,34,0.324,25,28,0.893,4,48,22,4,6,19,25
"16",16,"11/25/15","@","HOU","W",102,93,39,80,0.488,3,16,0.188,21,23,0.913,9,41,21,8,3,17,23,30,71,0.423,10,34,0.294,23,27,0.852,6,37,19,14,7,19,22
"17",17,"11/27/15","","ATL","L",101,116,35,80,0.438,12,30,0.4,19,21,0.905,5,37,20,3,1,13,25,35,75,0.467,14,39,0.359,32,36,0.889,6,40,25,4,3,10,21
"18",18,"11/29/15","","PHI","W",92,84,34,81,0.42,4,13,0.308,20,27,0.741,15,49,19,11,7,26,18,30,77,0.39,12,36,0.333,12,16,0.75,8,41,23,18,9,25,29
"19",19,"12/1/15","@","NOP","W",113,104,43,90,0.478,2,10,0.2,25,26,0.962,13,49,21,3,4,6,23,35,81,0.432,9,27,0.333,25,33,0.758,9,37,25,3,11,8,21
"20",20,"12/3/15","","SAS","L",83,103,30,80,0.375,2,16,0.125,21,25,0.84,9,37,19,6,6,11,17,40,80,0.5,10,18,0.556,13,18,0.722,10,48,27,8,8,15,21
"21",21,"12/6/15","","PHO","W",95,93,36,90,0.4,5,15,0.333,18,24,0.75,15,46,23,8,5,12,16,36,82,0.439,9,31,0.29,12,17,0.706,11,47,20,8,5,18,24
"22",22,"12/8/15","","OKC","L",88,125,33,81,0.407,3,14,0.214,19,22,0.864,11,33,14,6,4,15,17,47,84,0.56,13,26,0.5,18,23,0.783,10,46,31,11,3,12,17
"23",23,"12/9/15","@","DET","W",93,92,41,88,0.466,4,15,0.267,7,13,0.538,16,53,23,4,4,17,15,37,87,0.425,8,29,0.276,10,15,0.667,13,43,17,9,6,12,16
"24",24,"12/11/15","","CHO","L",99,123,32,80,0.4,7,20,0.35,28,37,0.757,11,40,19,8,5,12,24,39,78,0.5,18,37,0.486,27,30,0.9,7,41,23,5,5,13,24
"25",25,"12/13/15","@","MIA","L",97,100,40,77,0.519,7,19,0.368,10,14,0.714,5,33,23,10,3,13,21,37,77,0.481,7,22,0.318,19,23,0.826,7,35,18,9,1,10,15
"26",26,"12/14/15","","WAS","W",112,95,44,78,0.564,10,15,0.667,14,15,0.933,6,39,26,8,5,17,18,37,86,0.43,9,24,0.375,12,20,0.6,10,36,22,9,3,14,13
"27",27,"12/16/15","@","CHI","L",85,98,32,76,0.421,5,19,0.263,16,28,0.571,5,41,27,6,5,13,20,38,86,0.442,9,24,0.375,13,19,0.684,9,45,22,5,6,14,17
"28",28,"12/18/15","@","DAL","L",88,97,30,80,0.375,6,17,0.353,22,24,0.917,10,39,13,11,3,12,19,34,78,0.436,10,29,0.345,19,21,0.905,11,50,27,7,4,19,17
"29",29,"12/19/15","","IND","W",96,84,37,83,0.446,5,19,0.263,17,21,0.81,9,46,21,9,6,9,20,30,77,0.39,5,28,0.179,19,25,0.76,13,45,12,8,2,17,20
"30",30,"12/22/15","@","PHI","W",104,90,40,85,0.471,5,15,0.333,19,24,0.792,9,36,26,16,3,12,23,31,66,0.47,7,23,0.304,21,32,0.656,10,42,19,6,3,26,21
"31",31,"12/23/15","@","WAS","L",91,100,33,72,0.458,3,17,0.176,22,32,0.688,6,35,12,13,7,8,17,37,82,0.451,11,25,0.44,15,19,0.789,12,44,26,3,2,14,23
"32",32,"12/26/15","@","CHO","L",92,98,37,90,0.411,7,19,0.368,11,21,0.524,16,48,21,9,5,13,24,28,69,0.406,14,32,0.438,28,32,0.875,7,43,21,10,13,16,24
"33",33,"12/27/15","","LAL","W",112,96,45,80,0.563,6,16,0.375,16,22,0.727,7,41,30,11,4,10,22,32,84,0.381,8,29,0.276,24,32,0.75,18,46,16,6,5,13,18
"34",34,"12/29/15","","MIA","W",99,90,38,87,0.437,4,15,0.267,19,20,0.95,16,46,25,4,6,8,18,35,79,0.443,11,29,0.379,9,18,0.5,8,38,23,5,6,14,22
"35",35,"1/2/16","@","UTA","L",87,92,33,81,0.407,7,18,0.389,14,26,0.538,8,40,17,8,4,11,24,31,75,0.413,9,27,0.333,21,28,0.75,9,48,17,4,7,16,24
"36",36,"1/4/16","@","POR","W",91,78,35,91,0.385,3,15,0.2,18,26,0.692,17,52,21,10,3,11,19,28,72,0.389,7,28,0.25,15,24,0.625,7,42,14,7,4,21,19
"37",37,"1/6/16","@","OKC","L",94,112,35,90,0.389,7,21,0.333,17,24,0.708,9,39,21,9,4,8,24,38,83,0.458,8,17,0.471,28,33,0.848,13,52,20,3,6,15,23
"38",38,"1/8/16","","DEN","W",91,84,30,82,0.366,8,18,0.444,23,30,0.767,11,43,14,10,6,7,19,32,87,0.368,4,19,0.211,16,19,0.842,19,59,19,2,4,17,24
"39",39,"1/10/16","","BOS","W",101,98,31,84,0.369,4,16,0.25,35,40,0.875,21,58,12,8,9,21,23,37,88,0.42,7,22,0.318,17,23,0.739,11,39,22,17,4,16,28
"40",40,"1/12/16","","HOU","L",91,107,33,72,0.458,7,18,0.389,18,24,0.75,13,31,22,9,3,17,24,33,77,0.429,18,35,0.514,23,27,0.852,18,42,21,10,4,14,19
"41",41,"1/14/16","","DET","W",103,101,37,76,0.487,9,16,0.563,20,25,0.8,5,29,21,13,3,15,19,37,72,0.514,15,32,0.469,12,17,0.706,8,35,18,3,2,20,21
"42",42,"1/16/16","","NYK","W",103,95,39,82,0.476,5,10,0.5,20,26,0.769,13,44,24,2,5,8,19,35,77,0.455,5,20,0.25,20,24,0.833,6,36,20,4,6,8,20
"43",43,"1/18/16","","NOP","W",101,99,35,75,0.467,8,19,0.421,23,30,0.767,11,40,27,9,3,10,25,36,74,0.486,6,19,0.316,21,23,0.913,6,34,19,8,5,15,22
