"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"1",1,"10/28/15","@","OKC","L",106,112,45,93,0.484,5,15,0.333,11,13,0.846,7,36,22,11,9,13,18,42,86,0.488,7,19,0.368,21,22,0.955,11,45,21,7,4,19,19
"2",2,"10/30/15","","BRK","W",102,75,40,86,0.465,9,22,0.409,13,13,1,12,56,23,7,4,18,16,31,77,0.403,5,16,0.313,8,15,0.533,2,32,17,6,6,15,17
"3",3,"11/1/15","@","BOS","W",95,87,36,83,0.434,5,19,0.263,18,25,0.72,10,51,22,10,6,18,16,35,98,0.357,6,29,0.207,11,14,0.786,16,45,21,10,5,16,23
"4",4,"11/2/15","@","NYK","W",94,84,39,79,0.494,4,13,0.308,12,17,0.706,8,45,21,6,7,13,12,32,89,0.36,4,13,0.308,16,21,0.762,17,49,17,8,3,10,18
"5",5,"11/4/15","@","WAS","L",99,102,37,81,0.457,7,22,0.318,18,20,0.9,9,49,21,5,3,20,21,42,87,0.483,8,23,0.348,10,14,0.714,4,33,27,11,3,10,19
"6",6,"11/7/15","","CHO","W",114,94,45,81,0.556,9,21,0.429,15,23,0.652,6,42,35,11,3,12,26,34,73,0.466,6,19,0.316,20,31,0.645,6,33,15,7,0,15,18
"7",7,"11/9/15","@","SAC","W",106,88,46,87,0.529,6,23,0.261,8,11,0.727,8,46,34,11,7,16,19,34,84,0.405,7,19,0.368,13,19,0.684,11,42,25,10,5,19,14
"8",8,"11/11/15","@","POR","W",113,101,46,82,0.561,7,15,0.467,14,18,0.778,8,42,27,4,4,11,21,39,88,0.443,9,22,0.409,14,23,0.609,10,36,26,6,3,9,15
"9",9,"11/14/15","","PHI","W",92,83,33,85,0.388,5,16,0.313,21,25,0.84,12,54,23,10,7,13,9,33,82,0.402,8,22,0.364,9,11,0.818,6,41,15,7,3,15,21
"10",10,"11/16/15","","POR","W",93,80,38,89,0.427,7,23,0.304,10,13,0.769,12,47,29,9,10,6,13,31,75,0.413,7,19,0.368,11,13,0.846,4,39,15,4,3,12,18
"11",11,"11/18/15","","DEN","W",109,98,42,86,0.488,9,18,0.5,16,20,0.8,10,50,33,5,13,10,13,38,98,0.388,5,15,0.333,17,18,0.944,17,50,25,7,5,6,17
"12",12,"11/20/15","@","NOP","L",90,104,34,84,0.405,9,17,0.529,13,16,0.813,5,43,22,5,8,8,17,40,88,0.455,8,22,0.364,16,17,0.941,7,53,26,3,3,9,17
"13",13,"11/21/15","","MEM","W",92,82,34,72,0.472,7,21,0.333,17,22,0.773,7,40,20,7,6,17,20,32,74,0.432,1,9,0.111,17,17,1,7,35,19,13,2,16,23
"14",14,"11/23/15","","PHO","W",98,84,42,82,0.512,9,20,0.45,5,10,0.5,11,38,21,18,3,20,20,34,73,0.466,7,19,0.368,9,10,0.9,9,37,23,13,3,28,17
"15",15,"11/25/15","","DAL","W",88,83,33,81,0.407,8,28,0.286,14,19,0.737,12,52,23,6,4,13,12,34,83,0.41,6,22,0.273,9,12,0.75,9,46,21,7,1,13,21
"16",16,"11/27/15","@","DEN","W",91,80,36,75,0.48,8,22,0.364,11,14,0.786,5,42,22,11,7,18,17,31,77,0.403,7,20,0.35,11,13,0.846,8,37,17,8,2,18,19
"17",17,"11/28/15","","ATL","W",108,88,40,85,0.471,9,17,0.529,19,20,0.95,12,49,25,11,9,16,14,37,87,0.425,6,26,0.231,8,13,0.615,12,43,28,9,5,18,17
"18",18,"11/30/15","@","CHI","L",89,92,37,90,0.411,2,14,0.143,13,18,0.722,12,47,20,5,4,9,17,37,86,0.43,6,16,0.375,12,20,0.6,12,51,25,4,6,10,21
"19",19,"12/2/15","","MIL","W",95,70,37,90,0.411,7,21,0.333,14,20,0.7,11,54,25,11,9,11,12,26,78,0.333,3,14,0.214,15,18,0.833,6,44,17,7,6,16,20
"20",20,"12/3/15","@","MEM","W",103,83,40,80,0.5,10,18,0.556,13,18,0.722,10,48,27,8,8,15,21,30,80,0.375,2,16,0.125,21,25,0.84,9,37,19,6,6,11,17
"21",21,"12/5/15","","BOS","W",108,105,44,83,0.53,5,17,0.294,15,22,0.682,11,47,26,3,3,14,22,39,86,0.453,12,29,0.414,15,22,0.682,11,39,22,9,3,14,22
"22",22,"12/7/15","@","PHI","W",119,68,47,76,0.618,4,11,0.364,21,25,0.84,7,47,32,4,1,7,17,26,75,0.347,4,24,0.167,12,21,0.571,6,31,14,3,1,13,25
"23",23,"12/9/15","@","TOR","L",94,97,34,76,0.447,7,25,0.28,19,24,0.792,13,35,23,10,2,17,19,37,64,0.578,3,10,0.3,20,22,0.909,4,34,23,10,2,20,24
"24",24,"12/11/15","","LAL","W",109,87,44,82,0.537,6,14,0.429,15,25,0.6,11,49,26,9,6,13,13,36,88,0.409,9,25,0.36,6,10,0.6,9,36,20,7,5,15,21
