"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2015-10-28","","NOP","W",112,94,44,88,0.5,12,32,0.375,12,14,0.857,6,51,22,7,4,12,21,12.4888888888889,1559.07366738655,36,91,0.396,11,33,0.333,11,18,0.611,5,39,19,7,2,11,17,13.8,1488.42498561038
"2",2,"2015-10-30","@","PHO","L",92,110,34,86,0.395,9,24,0.375,15,19,0.789,11,42,17,9,5,23,33,12.4888888888889,1545.97084800119,37,83,0.446,4,18,0.222,32,42,0.762,11,55,17,13,7,19,17,11.54,1473.59127886671
"3",3,"2015-10-31","","PHO","L",90,101,33,79,0.418,8,30,0.267,16,28,0.571,10,45,20,7,5,16,20,13.3375,1536.68300811505,39,94,0.415,11,32,0.344,12,16,0.75,11,48,16,11,6,13,20,12.5444444444444,1482.87911875285
"4",4,"2015-11-02","@","MIN","W",106,101,41,89,0.461,9,30,0.3,15,20,0.75,11,46,18,5,6,16,27,12.4888888888889,1545.88772746674,34,79,0.43,3,13,0.231,30,39,0.769,8,41,22,10,4,15,22,11.94,1329.58950309075
"5",5,"2015-11-04","@","UTA","W",108,92,41,77,0.532,11,25,0.44,15,32,0.469,13,48,11,5,7,19,25,12.4888888888889,1558.83035873499,33,88,0.375,5,24,0.208,21,33,0.636,16,40,9,12,8,9,22,11.9111111111111,1570.19895551709
"6",6,"2015-11-05","","MEM","W",115,96,44,87,0.506,15,30,0.5,12,20,0.6,14,47,29,3,3,8,19,12.4888888888889,1573.53383681957,37,77,0.481,7,20,0.35,15,21,0.714,7,36,20,4,5,8,14,12.14,1541.99981791833
"7",7,"2015-11-08","","DET","L",103,120,41,76,0.539,9,25,0.36,12,18,0.667,7,40,24,5,2,22,22,13.3375,1561.45830002844,47,96,0.49,11,30,0.367,15,22,0.682,18,46,16,13,5,9,16,11.6444444444444,1504.60539481044
"8",8,"2015-11-09","@","DEN","L",104,108,36,91,0.396,10,29,0.345,22,27,0.815,10,39,20,6,3,9,22,12.4888888888889,1556.89476111459,40,77,0.519,7,19,0.368,21,32,0.656,8,47,20,5,7,14,20,12.1666666666667,1407.14957386817
"9",9,"2015-11-11","","SAS","L",101,113,39,88,0.443,9,22,0.409,14,23,0.609,10,36,26,6,3,9,15,12.7333333333333,1541.76375887739,46,82,0.561,7,15,0.467,14,18,0.778,8,42,27,4,4,11,21,13.81,1761.86760714919
"10",10,"2015-11-13","@","MEM","L",100,101,33,69,0.478,8,22,0.364,26,29,0.897,10,43,17,5,10,22,22,11.9666666666667,1537.68979257852,36,86,0.419,6,16,0.375,23,27,0.852,14,35,22,10,0,8,21,13.1,1510.57970447777
