"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2016-04-17","","DET","W",106,101,39,88,0.443,12,35,0.343,16,21,0.762,12,40,25,7,4,4,18,13.9875,2342.19269886531,37,73,0.507,15,29,0.517,12,16,0.75,5,37,24,4,2,10,21,NA,1517.8088059231
"2",2,"2016-04-20","","DET","W",107,90,40,80,0.5,20,38,0.526,7,14,0.5,6,37,23,7,1,12,24,13.3555555555556,2358.88855245572,34,78,0.436,4,17,0.235,18,32,0.563,11,40,19,7,4,12,18,NA,1501.11295233269
"3",3,"2016-04-22","@","DET","W",101,91,39,80,0.488,12,29,0.414,11,15,0.733,12,46,24,3,4,10,17,13.9875,2371.10953082067,36,74,0.486,6,23,0.261,13,19,0.684,5,32,22,7,3,7,19,NA,1488.89197396774
"4",4,"2016-04-24","@","DET","W",100,98,36,86,0.419,13,36,0.361,15,17,0.882,10,41,16,6,1,5,22,15.3428571428571,2376.73976125569,37,76,0.487,10,24,0.417,14,21,0.667,7,42,22,3,4,9,18,NA,1483.26174353272
"5",5,"2016-05-02","","ATL","W",104,93,37,83,0.446,15,31,0.484,15,21,0.714,10,44,27,9,7,8,20,13.9875,2391.00884470788,33,87,0.379,11,34,0.324,16,21,0.762,15,48,21,6,7,12,22,13.0625,2024.6232489862
"6",6,"2016-05-04","","ATL","W",123,98,41,87,0.471,25,45,0.556,16,23,0.696,12,43,27,8,1,8,22,11.8454545454545,2415.91172206541,30,71,0.423,11,27,0.407,27,30,0.9,8,40,18,3,3,16,23,10.2583333333333,1999.72037162867
"7",7,"2016-05-06","@","ATL","W",121,108,42,85,0.494,21,39,0.538,16,27,0.593,18,55,26,9,1,18,21,14.1,2432.76114489635,41,84,0.488,16,34,0.471,10,12,0.833,6,28,29,8,7,14,21,13.7375,1982.87094879773
"8",8,"2016-05-08","@","ATL","W",100,99,38,88,0.432,16,37,0.432,8,13,0.615,14,41,23,6,7,15,14,14.1,2438.29060239001,40,83,0.482,9,31,0.29,10,14,0.714,9,42,22,10,7,12,16,13.7375,1977.34149130407
"9",9,"2016-05-17","","TOR","W",115,84,41,74,0.554,7,20,0.35,26,33,0.788,10,45,22,9,4,16,20,13.3555555555556,2467.37379666753,32,76,0.421,5,24,0.208,15,20,0.75,4,23,19,8,1,14,25,9.88888888888889,2046.10064608708
"10",10,"2016-05-19","","TOR","W",108,89,38,76,0.5,7,21,0.333,25,37,0.676,7,46,24,5,2,9,16,14.5,2487.87187611214,33,82,0.402,9,33,0.273,14,18,0.778,7,38,17,6,4,12,31,9.88888888888889,2025.60256664247
"11",11,"2016-05-21","@","TOR","L",84,99,28,79,0.354,14,41,0.341,14,16,0.875,8,40,15,7,5,9,10,14.1,2484.67539818063,38,83,0.458,12,31,0.387,11,13,0.846,12,54,15,1,4,9,17,9.88888888888889,2028.79904457398
"12",12,"2016-05-23","@","TOR","L",99,105,39,83,0.47,13,41,0.317,8,9,0.889,10,38,23,5,2,10,17,NA,2482.79283447614,42,78,0.538,7,22,0.318,14,19,0.737,9,35,17,8,3,8,16,10.3428571428571,2030.68160827847
