"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2016-04-17","@","MIA","L",91,123,28,65,0.431,6,17,0.353,29,37,0.784,7,28,11,5,2,11,17,10.7875,1303.83619771587,49,85,0.576,9,18,0.5,16,21,0.762,14,42,27,7,4,6,24,12.95,1655.56875946065
"2",2,"2016-04-20","@","MIA","L",103,115,38,89,0.427,1,16,0.063,26,33,0.788,15,39,9,3,1,7,16,10.7875,1303.83619771587,44,76,0.579,9,16,0.563,18,22,0.818,3,35,19,6,6,8,25,12.95,1662.70563643732
"3",3,"2016-04-23","","MIA","W",96,80,35,90,0.389,5,18,0.278,21,22,0.955,9,47,18,5,4,3,24,10.2625,1303.83619771587,27,79,0.342,7,22,0.318,19,30,0.633,12,53,13,1,8,14,20,14.2571428571429,1645.54541721146
"4",4,"2016-04-25","","MIA","W",89,85,30,75,0.4,4,16,0.25,25,30,0.833,6,36,10,7,7,9,20,10.2625,1303.83619771587,30,76,0.395,11,29,0.379,14,21,0.667,10,46,20,2,8,17,26,12.0222222222222,1637.64549233465
"5",5,"2016-04-27","@","MIA","W",90,88,33,84,0.393,12,24,0.5,12,15,0.8,5,41,21,8,3,12,14,10.1888888888889,1303.83619771587,34,81,0.42,5,18,0.278,15,19,0.789,6,50,17,7,6,14,16,13.2375,1631.15081286835
"6",6,"2016-04-29","","MIA","L",90,97,32,76,0.421,5,17,0.294,21,25,0.84,5,31,12,8,5,9,17,10.7875,1303.83619771587,38,83,0.458,8,16,0.5,13,15,0.867,11,46,14,4,10,12,24,13.05,1635.06678778793
"7",7,"2016-05-01","@","MIA","L",73,106,27,84,0.321,7,22,0.318,12,12,1,3,36,14,4,1,7,14,10.7875,1303.83619771587,43,89,0.483,9,24,0.375,11,16,0.688,10,58,24,2,8,9,16,12.0222222222222,1647.54420267593
