"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2016-10-26","","DAL","W",130,121,47,93,0.505,10,19,0.526,26,34,0.765,8,52,30,11,6,16,23,12.8111111111111,1622.03154046482,45,104,0.433,18,48,0.375,13,18,0.722,10,49,26,8,8,15,27,13.3444444444444,1486.00599020604
"2",2,"2016-10-28","@","BRK","L",94,103,37,98,0.378,7,24,0.292,13,20,0.65,14,49,22,7,6,13,22,13.225,1621.04553577258,38,87,0.437,10,33,0.303,17,20,0.85,12,52,20,6,4,16,23,11.03,935.344382273038
"3",3,"2016-10-29","@","CHI","L",101,118,43,88,0.489,7,18,0.389,8,9,0.889,8,33,34,8,7,13,16,11.25,1613.63965082766,45,86,0.523,9,21,0.429,19,21,0.905,13,47,34,8,6,12,14,12.18,1798.43726887478
"4",4,"2016-11-01","","LAL","W",115,108,41,87,0.471,10,28,0.357,23,29,0.793,11,43,19,10,8,15,20,12.6666666666667,1622.82988669223,40,89,0.449,6,28,0.214,22,25,0.88,11,44,14,8,2,19,25,11.03,676.870902158341
"5",5,"2016-11-03","@","MIL","L",107,125,38,81,0.469,10,23,0.435,21,27,0.778,10,32,29,14,4,21,23,12.6666666666667,1619.70736894588,47,82,0.573,12,27,0.444,19,24,0.792,12,41,32,10,6,21,23,13.08,1126.26102723098
"6",6,"2016-11-05","","CHI","W",111,94,46,86,0.535,12,26,0.462,7,12,0.583,8,36,27,8,9,11,20,12.6666666666667,1638.11531277508,34,79,0.43,6,18,0.333,20,25,0.8,13,40,17,8,5,16,13,11.7727272727273,1819.49438022387
"7",7,"2016-11-07","@","CHO","L",100,122,40,94,0.426,9,33,0.273,11,15,0.733,12,52,23,8,4,18,25,11.64,1616.97220434084,41,84,0.488,12,32,0.375,28,32,0.875,3,43,30,12,4,11,15,12.09,1389.32381548017
"8",8,"2016-11-09","","PHI","W",122,115,49,90,0.544,9,19,0.474,15,20,0.75,7,43,25,9,6,16,17,12.6666666666667,1625.70042153222,46,95,0.484,14,36,0.389,9,19,0.474,10,43,23,11,6,17,21,11.1,554.16696008441
"9",9,"2016-11-11","@","PHI","L",105,109,39,88,0.443,5,19,0.263,22,23,0.957,4,40,23,14,3,13,28,12.6666666666667,1625.27918098262,36,86,0.419,11,32,0.344,26,31,0.839,13,54,24,7,6,19,21,11.99,554.58820063401
"10",10,"2016-11-12","","BOS","L",99,105,36,86,0.419,6,27,0.222,21,28,0.75,11,40,17,9,9,13,22,11.4375,1615.65370132163,35,80,0.438,8,25,0.32,27,33,0.818,15,47,22,7,7,13,21,10.7111111111111,1776.07982058037
"11",11,"2016-11-14","","ORL","W",88,69,35,90,0.389,8,25,0.32,10,10,1,7,49,22,9,9,9,14,12.3111111111111,1635.83518877777,27,84,0.321,5,25,0.2,10,13,0.769,9,52,12,3,5,14,17,11.79,1086.53672507621
"12",12,"2016-11-16","","CLE","W",103,93,43,86,0.5,10,28,0.357,7,11,0.636,5,40,22,8,12,10,16,14.1,1636.84699328293,35,86,0.407,11,30,0.367,12,20,0.6,11,51,19,3,5,18,16,10.5222222222222,2333.52966844485
"13",13,"2016-11-18","","PHO","L",96,116,36,76,0.474,1,7,0.143,23,29,0.793,10,35,18,5,8,18,19,9.44444444444444,1635.43638416832,46,97,0.474,9,26,0.346,15,18,0.833,18,46,21,14,7,11,28,10.92,959.204841368398
"14",14,"2016-11-20","@","OKC","W",115,111,40,89,0.449,11,22,0.5,24,31,0.774,15,51,23,13,2,22,20,10.95,1636.75056204991,44,101,0.436,10,36,0.278,13,18,0.722,15,49,28,10,7,20,23,12.7333333333333,2095.7858189529
"15",15,"2016-11-21","","GSW","L",83,120,33,103,0.32,6,23,0.261,11,12,0.917,15,49,13,5,4,11,23,9.3625,1609.88709494986,40,90,0.444,13,36,0.361,27,32,0.844,12,60,31,9,10,12,17,13.8,2783.2156120692
"16",16,"2016-11-23","","ATL","L",85,96,34,84,0.405,7,27,0.259,10,14,0.714,7,37,16,15,5,18,20,14.2142857142857,1594.70145191861,36,85,0.424,5,20,0.25,19,22,0.864,17,56,17,11,7,21,18,11.625,1982.82801787953
"17",17,"2016-11-25","","BRK","W",118,97,48,87,0.552,11,26,0.423,11,16,0.688,9,47,25,11,5,14,19,10.95,1614.4064262892,36,79,0.456,11,34,0.324,14,23,0.609,9,38,24,8,4,19,17,10.35,799.27708021011
