"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","EFF","ELO","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp","EFF_opp","ELO_opp"
"1",1,"2016-10-26","@","LAL","L",114,120,44,86,0.512,7,29,0.241,19,27,0.704,10,39,29,10,1,14,23,12.27,1579.89224560089,45,89,0.506,12,35,0.343,18,22,0.818,11,39,21,10,4,15,24,11.7333333333333,708.67261550873
"2",2,"2016-10-28","@","DAL","W",106,98,33,70,0.471,15,32,0.469,25,31,0.806,5,41,21,6,1,18,22,12.27,1590.56535400786,35,80,0.438,8,29,0.276,20,24,0.833,6,34,13,11,2,9,21,13.1125,1475.33288179907
"3",3,"2016-10-30","","DAL","W",93,92,34,81,0.42,11,31,0.355,14,21,0.667,9,47,16,5,4,17,21,13.1666666666667,1595.11701212547,32,86,0.372,11,31,0.355,17,20,0.85,13,43,17,8,3,9,17,12.4444444444444,1470.78122368147
"4",4,"2016-11-01","@","CLE","L",120,128,43,90,0.478,17,44,0.386,17,25,0.68,11,32,30,5,2,7,25,13.1666666666667,1584.17661946124,43,83,0.518,16,32,0.5,26,31,0.839,12,46,22,4,2,11,21,14.2777777777778,2291.39907189284
"5",5,"2016-11-02","@","NYK","W",118,99,42,89,0.472,15,40,0.375,19,27,0.704,19,54,25,12,8,19,21,12.3,1605.10760782584,37,85,0.435,8,20,0.4,17,25,0.68,7,34,18,10,6,16,22,11.2555555555556,993.701034010686
"6",6,"2016-11-05","@","ATL","L",97,112,37,85,0.435,12,36,0.333,11,13,0.846,12,43,22,9,7,26,26,12.99,1587.76397161025,45,85,0.529,8,20,0.4,14,24,0.583,13,44,29,17,6,19,13,11.4666666666667,1928.01000271442
"7",7,"2016-11-07","@","WAS","W",114,106,41,79,0.519,17,37,0.459,15,18,0.833,6,37,28,6,7,18,18,13.1666666666667,1599.4777610509,39,94,0.415,10,27,0.37,18,20,0.9,16,45,20,12,5,13,16,13.1428571428571,1396.27779046289
"8",8,"2016-11-09","@","SAS","W",101,99,37,78,0.474,10,30,0.333,17,22,0.773,8,45,25,7,4,19,24,14.2875,1599.67938258423,33,84,0.393,7,23,0.304,26,30,0.867,10,39,22,14,5,10,15,12.68,2484.33068835485
"9",9,"2016-11-12","","SAS","L",100,106,34,89,0.382,15,47,0.319,17,21,0.81,16,46,22,6,4,14,19,13.1666666666667,1590.72181645023,41,76,0.539,5,18,0.278,19,24,0.792,2,35,21,6,11,10,19,14.1888888888889,2504.42995834536
"10",10,"2016-11-14","","PHI","W",115,88,44,91,0.484,17,40,0.425,10,17,0.588,16,55,20,6,10,17,19,13.1666666666667,1611.76222385674,34,90,0.378,5,22,0.227,15,17,0.882,10,39,18,10,7,12,17,11.84,518.071729346018
"11",11,"2016-11-16","@","OKC","L",103,105,40,92,0.435,14,40,0.35,9,14,0.643,12,47,25,10,4,16,10,13.1666666666667,1605.53362257627,40,84,0.476,12,25,0.48,13,14,0.929,5,44,25,7,7,16,15,12.4222222222222,2081.66643277246
"12",12,"2016-11-17","","POR","W",126,109,46,95,0.484,14,32,0.438,20,25,0.8,17,54,26,6,6,13,17,14.4,1621.42351789396,41,90,0.456,10,28,0.357,17,21,0.81,10,41,24,6,4,12,19,12.2777777777778,1501.65725902391
"13",13,"2016-11-19","","UTA","W",111,102,42,94,0.447,12,32,0.375,15,20,0.75,10,39,28,8,3,4,16,14.3666666666667,1630.44710348138,39,76,0.513,12,27,0.444,12,17,0.706,5,43,22,3,5,12,17,12.575,1682.5232841318
"14",14,"2016-11-21","@","DET","W",99,96,35,78,0.449,10,31,0.323,19,27,0.704,12,46,22,4,6,15,20,14.3666666666667,1637.38102282397,36,87,0.414,7,17,0.412,17,24,0.708,12,39,19,7,3,14,20,11.9111111111111,1485.74511889736
"15",15,"2016-11-23","","TOR","L",102,115,38,78,0.487,14,42,0.333,12,12,1,11,39,29,6,7,26,22,14.4,1620.79527311507,43,88,0.489,12,23,0.522,17,21,0.81,15,38,28,14,7,14,15,13.2555555555556,1915.5929628476
"16",16,"2016-11-25","@","SAC","W",117,104,40,85,0.471,21,50,0.42,16,20,0.8,8,42,27,8,2,14,19,14.3666666666667,1637.54463371737,39,80,0.488,9,32,0.281,17,21,0.81,4,37,24,7,6,14,18,13.0888888888889,1150.13054783515
"17",17,"2016-11-27","@","POR","W",130,114,46,82,0.561,17,36,0.472,21,28,0.75,7,36,26,7,8,11,23,14.3666666666667,1654.56091301621,40,83,0.482,12,33,0.364,22,29,0.759,8,35,24,7,2,14,24,14.5142857142857,1504.08817530563
"18",18,"2016-11-29","@","UTA","L",101,120,37,91,0.407,11,30,0.367,16,22,0.727,15,38,14,5,6,7,20,14.3666666666667,1637.83598150577,41,74,0.554,15,28,0.536,23,27,0.852,5,40,23,4,5,8,20,12.2,1742.90389461952
"19",19,"2016-12-01","@","GSW","W",132,127,48,108,0.444,14,44,0.318,22,30,0.733,15,56,26,11,4,19,28,14.4,1638.1720187125,43,104,0.413,12,44,0.273,29,37,0.784,13,54,31,12,7,17,27,17.1,2834.19219892554
"20",20,"2016-12-02","@","DEN","W",128,110,45,88,0.511,17,37,0.459,21,25,0.84,10,41,25,11,7,11,14,14.4,1658.43672770969,46,104,0.442,9,31,0.29,9,16,0.563,24,54,22,5,4,16,20,13.225,1062.928055422
"21",21,"2016-12-05","","BOS","W",107,106,34,76,0.447,12,38,0.316,27,31,0.871,7,46,20,8,7,16,14,14.4,1661.36410982576,42,99,0.424,11,32,0.344,11,12,0.917,10,42,27,7,4,11,20,13.3777777777778,1813.1861292389
"22",22,"2016-12-07","","LAL","W",134,95,51,94,0.543,15,36,0.417,17,21,0.81,15,52,35,20,2,20,22,14.3666666666667,1688.21763056098,34,87,0.391,5,20,0.25,22,27,0.815,14,39,14,13,4,27,22,10.375,519.788371847368
"23",23,"2016-12-09","@","OKC","W",102,99,36,92,0.391,11,42,0.262,19,30,0.633,16,52,26,9,1,15,24,14.07,1689.3266053221,34,81,0.42,7,28,0.25,24,31,0.774,9,46,18,9,5,17,19,12.3111111111111,2160.06731653154
