Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
30,30,12/25/15,@,LAL,W,94,84,38,85,0.447,10,26,0.385,8,11,0.727,8,45,22,10,3,16,20,,32,77,0.416,7,23,0.304,13,25,0.52,6,40,17,10,2,15,13
31,31,12/26/15,@,UTA,W,109,104,38,79,0.481,13,26,0.5,20,24,0.833,7,34,24,9,6,12,23,,36,74,0.486,10,27,0.37,22,27,0.815,8,36,18,7,4,16,22
32,32,12/28/15,@,WAS,W,108,91,41,78,0.526,7,23,0.304,19,25,0.76,3,37,23,11,4,16,18,,34,87,0.391,7,24,0.292,16,24,0.667,13,45,19,10,3,16,18
33,33,12/30/15,@,CHO,W,122,117,37,71,0.521,15,30,0.5,33,41,0.805,8,39,27,7,7,12,26,,38,88,0.432,9,30,0.3,32,36,0.889,17,42,20,8,3,11,26
34,34,12/31/15,@,NOP,W,95,89,35,90,0.389,10,34,0.294,15,19,0.789,13,47,24,8,6,12,14,,36,82,0.439,7,25,0.28,10,15,0.667,5,42,21,6,3,15,22
35,35,1/2/16,,PHI,W,130,99,49,81,0.605,12,23,0.522,20,25,0.8,6,47,28,7,6,14,17,,41,89,0.461,9,23,0.391,8,17,0.471,9,33,30,8,4,12,21
36,36,1/6/16,@,POR,W,109,98,42,83,0.506,11,23,0.478,14,17,0.824,10,42,24,7,6,10,22,,38,86,0.442,9,26,0.346,13,23,0.565,17,49,21,5,4,13,18
37,37,1/9/16,,CHO,W,97,83,40,91,0.44,8,31,0.258,9,10,0.9,13,47,19,6,9,9,19,,31,84,0.369,7,23,0.304,14,19,0.737,11,47,14,4,3,15,16
38,38,1/10/16,,NOP,W,114,111,42,89,0.472,12,36,0.333,18,34,0.529,8,47,26,8,3,14,24,,40,100,0.4,8,30,0.267,23,29,0.793,15,56,20,8,2,14,24
39,39,1/13/16,,MIA,W,104,90,40,94,0.426,11,25,0.44,13,16,0.813,10,43,26,18,5,7,25,,31,70,0.443,9,24,0.375,19,29,0.655,5,49,26,5,7,23,16
40,40,1/16/16,,SAC,L,103,110,38,96,0.396,13,39,0.333,14,19,0.737,14,46,24,6,4,11,24,,36,76,0.474,13,25,0.52,25,33,0.758,9,52,28,5,8,17,19
41,41,1/18/16,,HOU,W,140,132,47,91,0.516,22,37,0.595,24,33,0.727,9,41,28,10,6,12,30,,44,88,0.5,11,32,0.344,33,52,0.635,16,52,31,8,5,14,28
42,42,1/21/16,@,CLE,L,102,115,36,80,0.45,6,25,0.24,24,36,0.667,8,35,19,9,3,9,21,,42,83,0.506,13,28,0.464,18,24,0.75,14,47,29,5,2,13,31
43,43,1/22/16,@,NYK,W,116,88,43,76,0.566,13,23,0.565,17,24,0.708,3,36,27,10,3,9,17,,33,85,0.388,4,18,0.222,18,20,0.9,12,42,24,5,2,17,22
44,44,1/24/16,@,TOR,L,94,112,34,76,0.447,8,26,0.308,18,30,0.6,7,34,21,6,3,13,28,,41,83,0.494,12,22,0.545,18,26,0.692,8,44,19,8,3,15,26
