Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2016-04-16,@,ATL,L,101,102,37,102,.363,11,35,.314,16,19,.842,15,50,27,6,6,10,32,,35,86,.407,5,26,.192,27,35,.771,13,53,23,4,9,11,20
2,2,2016-04-19,@,ATL,L,72,89,28,88,.318,5,28,.179,11,12,.917,10,43,16,5,10,14,15,,32,82,.390,11,29,.379,14,16,.875,3,49,20,7,15,15,16
3,3,2016-04-22,,ATL,W,111,103,38,82,.463,11,32,.344,24,33,.727,7,44,23,10,6,15,20,,38,86,.442,9,36,.250,18,21,.857,7,41,19,10,7,13,24
4,4,2016-04-24,,ATL,W,104,95,40,94,.426,11,33,.333,13,19,.684,12,52,25,7,7,14,19,,37,99,.374,12,42,.286,9,13,.692,12,49,18,8,6,14,20
5,5,2016-04-26,@,ATL,L,83,110,29,77,.377,7,29,.241,18,25,.720,10,44,19,5,6,20,17,,42,96,.438,14,35,.400,12,16,.750,13,51,30,13,3,12,17
6,6,2016-04-28,,ATL,L,92,104,34,94,.362,7,32,.219,17,18,.944,10,43,16,5,4,12,29,,38,74,.514,8,24,.333,20,27,.741,3,42,26,6,12,18,23
