Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2016-04-16,,DAL,W,108,70,36,80,.450,12,35,.343,24,28,.857,14,56,23,7,6,18,25,,25,84,.298,4,18,.222,16,26,.615,9,33,16,5,0,12,25
2,2,2016-04-18,,DAL,L,84,85,31,92,.337,7,32,.219,15,18,.833,19,54,11,9,4,15,19,,35,82,.427,5,19,.263,10,19,.526,11,45,14,8,4,12,17
3,3,2016-04-21,@,DAL,W,131,102,45,78,.577,15,27,.556,26,35,.743,9,42,28,10,5,14,27,,36,76,.474,6,23,.261,24,35,.686,6,29,24,9,3,12,27
4,4,2016-04-23,@,DAL,W,119,108,44,83,.530,7,16,.438,24,34,.706,12,42,26,6,3,9,19,,43,83,.518,8,23,.348,14,17,.824,7,33,25,3,2,11,27
5,5,2016-04-25,,DAL,W,118,104,41,81,.506,10,30,.333,26,32,.813,14,42,19,6,5,8,22,,38,81,.469,8,24,.333,20,24,.833,13,35,24,5,3,9,24
6,6,2016-04-30,@,SAS,L,92,124,35,85,.412,6,23,.261,16,21,.762,11,38,23,6,2,10,13,,51,84,.607,9,15,.600,13,18,.722,5,43,39,5,10,8,16
7,7,2016-05-02,@,SAS,W,98,97,38,79,.481,5,19,.263,17,21,.810,9,48,16,8,8,18,19,,40,94,.426,6,23,.261,11,13,.846,9,37,19,10,6,10,16
8,8,2016-05-06,,SAS,L,96,100,34,82,.415,10,30,.333,18,20,.900,11,42,14,5,5,14,23,,33,76,.434,10,19,.526,24,34,.706,4,37,19,8,6,8,19
9,9,2016-05-08,,SAS,W,111,97,40,79,.506,9,23,.391,22,29,.759,10,40,23,6,3,12,18,,40,85,.471,2,12,.167,15,16,.938,9,34,12,11,2,12,21
10,10,2016-05-10,@,SAS,W,95,91,34,78,.436,7,20,.350,20,26,.769,15,54,18,6,6,20,22,,35,88,.398,8,18,.444,13,17,.765,10,36,19,11,6,7,19
11,11,2016-05-12,,SAS,W,113,99,40,85,.471,6,22,.273,27,31,.871,14,50,21,7,7,10,18,,40,93,.430,6,17,.353,13,16,.813,10,40,19,7,3,10,21
12,12,2016-05-16,@,GSW,W,108,102,39,89,.438,8,17,.471,22,32,.688,10,52,22,12,6,11,15,,40,91,.440,11,30,.367,11,17,.647,8,44,26,8,4,14,22
13,13,2016-05-18,@,GSW,L,91,118,35,78,.449,7,23,.304,14,19,.737,7,36,22,9,4,15,22,,43,85,.506,13,28,.464,19,28,.679,15,45,26,9,3,12,21
14,14,2016-05-22,,GSW,W,133,105,46,92,.500,8,25,.320,33,37,.892,11,52,21,6,8,12,23,,38,92,.413,10,32,.313,19,25,.760,10,38,19,9,1,13,21
15,15,2016-05-24,,GSW,W,118,94,39,90,.433,9,26,.346,31,40,.775,16,56,23,16,8,17,22,,33,80,.413,9,30,.300,19,29,.655,8,40,15,11,4,21,26
16,16,2016-05-26,@,GSW,L,111,120,39,91,.429,13,30,.433,20,24,.833,13,45,23,8,2,17,26,,40,85,.471,9,24,.375,31,34,.912,11,45,25,13,7,15,18
17,17,2016-05-28,,GSW,L,101,108,38,90,.422,3,23,.130,22,32,.688,16,49,16,9,10,15,22,,36,88,.409,21,45,.467,15,24,.625,13,44,23,11,4,14,25
18,18,2016-05-30,@,GSW,L,88,96,34,89,.382,7,27,.259,13,17,.765,14,47,20,3,5,7,11,,37,85,.435,17,37,.459,5,8,.625,10,46,20,4,4,11,16
