Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2016-04-16,,BOS,W,102,101,35,86,.407,5,26,.192,27,35,.771,13,53,23,4,9,11,20,,37,102,.363,11,35,.314,16,19,.842,15,50,27,6,6,10,32
2,2,2016-04-19,,BOS,W,89,72,32,82,.390,11,29,.379,14,16,.875,3,49,20,7,15,15,16,,28,88,.318,5,28,.179,11,12,.917,10,43,16,5,10,14,15
3,3,2016-04-22,@,BOS,L,103,111,38,86,.442,9,36,.250,18,21,.857,7,41,19,10,7,13,24,,38,82,.463,11,32,.344,24,33,.727,7,44,23,10,6,15,20
4,4,2016-04-24,@,BOS,L,95,104,37,99,.374,12,42,.286,9,13,.692,12,49,18,8,6,14,20,,40,94,.426,11,33,.333,13,19,.684,12,52,25,7,7,14,19
5,5,2016-04-26,,BOS,W,110,83,42,96,.438,14,35,.400,12,16,.750,13,51,30,13,3,12,17,,29,77,.377,7,29,.241,18,25,.720,10,44,19,5,6,20,17
6,6,2016-04-28,@,BOS,W,104,92,38,74,.514,8,24,.333,20,27,.741,3,42,26,6,12,18,23,,34,94,.362,7,32,.219,17,18,.944,10,43,16,5,4,12,29
7,7,2016-05-02,@,CLE,L,93,104,33,87,.379,11,34,.324,16,21,.762,15,48,21,6,7,12,22,,37,83,.446,15,31,.484,15,21,.714,10,44,27,9,7,8,20
8,8,2016-05-04,@,CLE,L,98,123,30,71,.423,11,27,.407,27,30,.900,8,40,18,3,3,16,23,,41,87,.471,25,45,.556,16,23,.696,12,43,27,8,1,8,22
9,9,2016-05-06,,CLE,L,108,121,41,84,.488,16,34,.471,10,12,.833,6,28,29,8,7,14,21,,42,85,.494,21,39,.538,16,27,.593,18,55,26,9,1,18,21
10,10,2016-05-08,,CLE,L,99,100,40,83,.482,9,31,.290,10,14,.714,9,42,22,10,7,12,16,,38,88,.432,16,37,.432,8,13,.615,14,41,23,6,7,15,14
