Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2016-04-16,,IND,L,90,100,30,79,.380,4,19,.211,26,38,.684,20,52,17,6,5,19,27,,34,79,.430,11,21,.524,21,29,.724,9,38,19,11,8,13,25
2,2,2016-04-18,,IND,W,98,87,35,80,.438,5,18,.278,23,25,.920,12,44,19,8,5,13,25,,29,70,.414,4,20,.200,25,30,.833,6,33,13,7,3,13,23
3,3,2016-04-21,@,IND,W,101,85,39,94,.415,10,31,.323,13,16,.813,15,45,18,6,4,11,27,,26,68,.382,6,22,.273,27,33,.818,9,38,16,3,6,16,18
4,4,2016-04-23,@,IND,L,83,100,27,74,.365,8,30,.267,21,30,.700,11,40,12,8,3,17,20,,40,85,.471,6,16,.375,14,18,.778,15,43,24,10,5,12,22
5,5,2016-04-26,,IND,W,102,99,33,82,.402,6,26,.231,30,35,.857,12,41,12,9,3,7,18,,33,73,.452,13,29,.448,20,23,.870,8,41,22,5,5,14,26
6,6,2016-04-29,@,IND,L,83,101,29,79,.367,9,29,.310,16,25,.640,15,40,14,9,5,16,23,,35,76,.461,8,22,.364,23,26,.885,12,44,21,12,7,14,25
7,7,2016-05-01,,IND,W,89,84,34,89,.382,8,24,.333,13,17,.765,18,49,21,7,7,8,12,,34,73,.466,9,19,.474,7,8,.875,5,38,12,5,5,13,17
8,8,2016-05-03,,MIA,L,96,102,40,89,.449,5,21,.238,11,15,.733,4,41,19,10,6,15,25,,40,89,.449,8,11,.727,14,21,.667,11,52,12,12,4,17,17
9,9,2016-05-05,,MIA,W,96,92,39,93,.419,4,18,.222,14,26,.538,13,39,14,15,1,9,21,,39,79,.494,5,14,.357,9,13,.692,9,45,14,6,7,21,21
10,10,2016-05-07,@,MIA,W,95,91,33,70,.471,8,18,.444,21,28,.750,6,35,16,5,0,13,22,,33,77,.429,4,18,.222,21,24,.875,8,38,11,8,2,9,24
11,11,2016-05-09,@,MIA,L,87,94,33,84,.393,6,20,.300,15,19,.789,7,39,12,7,2,14,23,,36,80,.450,1,15,.067,21,25,.840,6,39,15,9,5,11,15
12,12,2016-05-11,,MIA,W,99,91,35,81,.432,7,17,.412,22,26,.846,11,39,16,10,7,9,20,,31,77,.403,6,21,.286,23,28,.821,13,44,12,4,2,13,22
13,13,2016-05-13,@,MIA,L,91,103,34,82,.415,4,16,.250,19,25,.760,8,43,10,4,4,8,18,,40,84,.476,7,21,.333,16,20,.800,7,41,15,2,6,7,18
14,14,2016-05-15,,MIA,W,116,89,39,85,.459,9,20,.450,29,43,.674,20,50,17,8,4,9,23,,32,72,.444,7,25,.280,18,23,.783,7,30,16,6,7,13,29
15,15,2016-05-17,@,CLE,L,84,115,32,76,.421,5,24,.208,15,20,.750,4,23,19,8,1,14,25,,41,74,.554,7,20,.350,26,33,.788,10,45,22,9,4,16,20
16,16,2016-05-19,@,CLE,L,89,108,33,82,.402,9,33,.273,14,18,.778,7,38,17,6,4,12,31,,38,76,.500,7,21,.333,25,37,.676,7,46,24,5,2,9,16
17,17,2016-05-21,,CLE,W,99,84,38,83,.458,12,31,.387,11,13,.846,12,54,15,1,4,9,17,,28,79,.354,14,41,.341,14,16,.875,8,40,15,7,5,9,10
18,18,2016-05-23,,CLE,W,105,99,42,78,.538,7,22,.318,14,19,.737,9,35,17,8,3,8,16,,39,83,.470,13,41,.317,8,9,.889,10,38,23,5,2,10,17
19,19,2016-05-25,@,CLE,L,78,116,27,69,.391,3,17,.176,21,35,.600,5,27,19,9,3,18,25,,44,77,.571,10,21,.476,18,24,.750,10,48,23,11,6,16,26
20,20,2016-05-27,,CLE,L,87,113,33,79,.418,8,25,.320,13,17,.765,7,33,10,6,2,12,19,,40,74,.541,17,31,.548,16,21,.762,4,38,22,6,6,10,18
